SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
S101,pillize,990,S,COMP,6.29
S101,aidig,996,S,SIMP,7.06
S101,angelish,737,L,COMP,6.48
S101,freeness,996,L,COMP,8.89
S101,northize,838,L,COMP,7.84
S101,treasonize,719,S,COMP,4.93
S101,brancher,883,S,COMP,7.43
S101,lidary,736,S,COMP,6.26
S101,earilt,993,L,SIMP,2.77
S101,ripence,706,L,COMP,6.15
S101,advertisela,757,S,SIMP,1.56
S101,pickenge,863,L,SIMP,8.13
S101,illist,694,L,COMP,7.77
S101,pitchory,996,L,COMP,6.41
S101,tiltady,697,S,SIMP,5.79
S101,rampime,616,S,SIMP,4.55
S101,digody,759,S,SIMP,6.66
S101,growilt,479,L,SIMP,9.05
S101,beanith,994,L,SIMP,6.05
S101,bearilt,993,L,SIMP,7.87
S101,weldic,993,S,COMP,4.86
S101,bogady,653,L,SIMP,5.56
S101,validel,970,L,SIMP,6.43
S101,gumfil,772,S,SIMP,4.04
S101,dressody,904,L,SIMP,8.26
S101,warnody,719,S,SIMP,7.44
S101,boltoes,616,S,SIMP,5.85
S101,boilous,51644,L,COMP,7
S101,fellowous,991,L,COMP,7.19
S101,tripary,960,L,COMP,7.23
S101,nullith,661,S,SIMP,3.81
S101,flitence,992,L,COMP,6.4
S101,longnels,627,L,SIMP,9.86
S101,bloodel,518,L,SIMP,8.29
S101,antism,671,S,COMP,5.33
S101,habitig,815,L,SIMP,7.63
S101,bindic,641,L,COMP,6.11
S101,addment,993,L,COMP,8.68
S101,taxfil,980,L,SIMP,7.92
S101,urnilt,578,S,SIMP,4.22
S101,kingism,687,L,COMP,7.73
S101,wigith,708,L,SIMP,5.57
S101,coldity,543,L,COMP,8.18
S101,flipory,834,L,COMP,5.21
S101,fanful,789,S,COMP,6.16
S101,agreely,630,L,COMP,8.46
S101,happenance,664,S,COMP,8.85
S101,criticange,917,L,SIMP,7.91
S101,classoes,920,L,SIMP,8.73
