"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","0","0","997","997","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","57921","1000","0.0172648952884","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","z","None","997","NA","NA","NA","NA","38841","997","2","legacy","1024","2","48000","-16","AB_m21","11","odd","CW_S","TOSSING","1609","43385","41785","NA","40468","NA","NA","NA","NA","NA","42282","NA","41280","NA","41212","43382","1626","43635","NA","NA","42385","1609","1609","42785","41212","1609","42385","43635","morph21_Oliver/Morris","0","997","1","yes","1280","26"
"250","50","50","886.5","886.5","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","63710","1000","0.0156961230576","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","z","z","776","NA","NA","NA","NA","38841","776","2","legacy","1024","2","48000","-16","AB_m21","11","odd","NW_L_COMP","BREAKITY","1609","46635","45002","NA","40468","NA","NA","NA","NA","46626","45499","NA","44502","NA","44496","46626","1626","46885","NA","NA","45635","1609","1609","46027","44496","1609","45635","46885","morph21_Oliver/Morris","1","1773","2","yes","1280","23"
"400","66.6666666667","66.6666666667","860.333333333","860.333333333","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","65285","1000","0.0153174542391","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","z","/","808","NA","NA","NA","NA","38841","808","2","legacy","1024","2","48000","-16","AB_m21","11","odd","CW_S","AVOIDABLE","1609","51327","48210","49819","40468","NA","NA","NA","NA","49812","48707","NA","47710","NA","47705","49812","1626","51727","NA","NA","48819","1609","1609","49210","47705","1609","48818","51727","morph21_Oliver/Morris","2","2581","3","yes","1280","2"
"350","75","75","825","825","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","63232","1000","0.0158147773279","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","z","z","719","NA","NA","NA","NA","38841","719","2","legacy","1024","2","48000","-16","AB_m21","11","odd","FILL_NW","DASP","1609","54628","53036","49819","40468","NA","NA","NA","NA","54624","53534","NA","52536","NA","52532","54624","1626","54978","NA","NA","53628","1609","1609","54028","52532","1609","53628","54978","morph21_Oliver/Morris","3","3300","4","yes","1280","13"
"300","80","80","788","788","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","69850","1000","0.0143163922691","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","z","/","640","NA","NA","NA","NA","38841","640","2","legacy","1024","2","48000","-16","AB_m21","11","odd","CW_S","RISKY","1609","57778","56170","49819","40468","NA","NA","NA","NA","57775","56667","NA","55661","NA","55651","57775","1626","58078","NA","NA","56787","1609","1609","57178","55651","1609","56787","58078","morph21_Oliver/Morris","4","3940","5","yes","1280","50"
"400","83.3333333333","83.3333333333","759.333333333","759.333333333","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","67671","1000","0.0147773787886","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","z","z","616","NA","NA","NA","NA","38841","616","2","legacy","1024","2","48000","-16","AB_m21","11","odd","NW_L_SIMP","VALIDEL","1609","62495","59387","60987","40468","NA","NA","NA","NA","60979","59884","NA","58887","NA","58881","60979","1626","62895","NA","NA","59987","1609","1609","60378","58881","1609","59987","62895","morph21_Oliver/Morris","5","4556","6","yes","1280","23"
"200","85.7142857143","85.7142857143","740","740","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","72090","1000","0.0138715494521","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","z","/","624","NA","NA","NA","NA","38841","624","2","legacy","1024","2","48000","-16","AB_m21","11","odd","FILL_W","TAX","1609","65795","64195","60987","40468","NA","NA","NA","NA","65790","64692","NA","63695","NA","63687","65790","1626","65995","NA","NA","64795","1609","1609","65195","63687","1609","64795","65995","morph21_Oliver/Morris","6","5180","7","yes","1280","45"
"400","75","75","706","706","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","73874","1000","0.0135365622546","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","z","z","468","NA","NA","NA","NA","38841","468","2","legacy","1024","2","48000","-16","AB_m21","11","odd","CW_L","WRONGLY","1609","68879","67295","60987","40468","NA","NA","NA","NA","65790","67793","NA","66795","NA","66792","68876","1626","69279","NA","NA","67879","1609","1609","68279","66792","1609","67879","69279","morph21_Oliver/Morris","6","5648","8","yes","1280","37"
"300","66.6666666667","66.6666666667","737.777777778","737.777777778","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","57136","1000","0.017502100252","0","undefined","0","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","z","None","992","NA","NA","NA","NA","38841","992","2","legacy","1024","2","48000","-16","AB_m21","11","odd","FILL_NW","HEEM","1609","73605","70513","72097","40468","NA","NA","NA","NA","65790","71010","NA","70013","NA","70007","72089","1626","73905","NA","NA","71097","1609","1609","71488","70007","1609","71096","73905","morph21_Oliver/Morris","6","6640","9","yes","1280","27"
"200","70","70","724.7","724.7","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","69945","1000","0.0142969476017","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","07/24/17 16:04:29","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-11.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","z","/","607","NA","NA","NA","NA","38841","607","2","legacy","1024","2","48000","-16","AB_m21","11","odd","CW_L","VERBAL","1609","76772","75180","72097","40468","NA","NA","NA","NA","76765","75677","NA","74680","NA","74671","76765","1626","76972","NA","NA","75772","1609","1609","76163","74671","1609","75772","76972","morph21_Oliver/Morris","7","7247","10","yes","1280","50"
