"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","100","100","910","910","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","60844","1000","0.0164354743278","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","910","NA","NA","NA","NA","239015","910","2","legacy","1024","2","48000","-16","BA_m21","125","odd","FILL_W","PREACH","1358","243310","241710","NA","240381","NA","NA","NA","NA","243303","242207","NA","241205","NA","241139","243303","1366","243560","NA","NA","242310","1358","1358","242702","241138","1358","242310","243560","morph21_Oliver/Morris","1","910","1","yes","1280","7"
"250","100","100","904.5","904.5","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","54890","1000","0.0182182546912","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","899","NA","NA","NA","NA","239015","899","2","legacy","1024","2","48000","-16","BA_m21","125","odd","NW_S_COMP","BRANCHEL","1358","246577","244936","NA","240381","NA","NA","NA","NA","246567","245433","NA","244435","NA","244428","246567","1366","246827","NA","NA","245577","1358","1358","245969","244428","1358","245577","246827","morph21_Oliver/Morris","2","1809","2","yes","1280","16"
"200","66.6666666667","66.6666666667","790","790","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","79664","1000","0.01255272143","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","561","NA","NA","NA","NA","239015","561","2","legacy","1024","2","48000","-16","BA_m21","125","odd","NW_S_SIMP","THRILLANCE","1358","251320","248202","249812","240381","NA","NA","NA","NA","246567","248699","NA","247702","NA","247697","249805","1366","251520","NA","NA","248812","1358","1358","249203","247697","1358","248812","251520","morph21_Oliver/Morris","2","2370","3","yes","1280","22"
"250","75","75","801.5","801.5","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","60468","1000","0.0165376728187","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","836","NA","NA","NA","NA","239015","836","2","legacy","1024","2","48000","-16","BA_m21","125","odd","FILL_NW","LOLDS","1358","254320","252745","249812","240381","NA","NA","NA","NA","254318","253242","NA","252245","NA","252240","254318","1366","254570","NA","NA","253329","1358","1358","253720","252240","1358","253328","254570","morph21_Oliver/Morris","3","3206","4","yes","1280","34"
"250","80","80","759.8","759.8","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","73578","1000","0.0135910190546","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","593","NA","NA","NA","NA","239015","593","2","legacy","1024","2","48000","-16","BA_m21","125","odd","CW_S","PEAKING","1358","257420","255795","249812","240381","NA","NA","NA","NA","257416","256292","NA","255295","NA","255288","257416","1366","257670","NA","NA","256420","1358","1358","256820","255288","1358","256420","257670","morph21_Oliver/Morris","4","3799","5","yes","1280","28"
"200","83.3333333333","83.3333333333","748.833333333","748.833333333","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","66315","1000","0.0150795445978","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","694","NA","NA","NA","NA","239015","694","2","legacy","1024","2","48000","-16","BA_m21","125","odd","NW_S_COMP","YANKODY","1358","262004","258904","260496","240381","NA","NA","NA","NA","260490","259401","NA","258404","NA","258399","260490","1366","262204","NA","NA","259495","1358","1358","259887","258399","1358","259495","262204","morph21_Oliver/Morris","5","4493","6","yes","1280","23"
"250","85.7142857143","85.7142857143","713.285714286","713.285714286","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","72425","1000","0.013807386952","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","500","NA","NA","NA","NA","239015","500","2","legacy","1024","2","48000","-16","BA_m21","125","odd","CW_L","LAUGHING","1358","265112","263496","260496","240381","NA","NA","NA","NA","265103","263993","NA","262996","NA","262984","265103","1366","265362","NA","NA","264112","1358","1358","264504","262984","1358","264112","265362","morph21_Oliver/Morris","6","4993","7","yes","1280","27"
"400","75","75","748.5","748.5","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","58421","1000","0.017117132538","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","995","NA","NA","NA","NA","239015","995","2","legacy","1024","2","48000","-16","BA_m21","125","odd","FILL_NW","VELT","1358","268230","266622","260496","240381","NA","NA","NA","NA","265103","267119","NA","266122","NA","266118","268225","1366","268630","NA","NA","267230","1358","1358","267630","266118","1358","267230","268630","morph21_Oliver/Morris","6","5988","8","yes","1280","46"
"400","77.7777777778","77.7777777778","734.888888889","734.888888889","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","72998","1000","0.0136990054522","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","626","NA","NA","NA","NA","239015","626","2","legacy","1024","2","48000","-16","BA_m21","125","odd","CW_L","LOCKER","1358","273055","269922","271547","240381","NA","NA","NA","NA","271543","270419","NA","269422","NA","269418","271543","1366","273456","NA","NA","270547","1358","1358","270947","269418","1358","270547","273456","morph21_Oliver/Morris","7","6614","9","yes","1280","8"
"250","80","80","715.4","715.4","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","74446","1000","0.0134325551406","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","540","NA","NA","NA","NA","239015","540","2","legacy","1024","2","48000","-16","BA_m21","125","odd","CW_L","STRIKER","1358","276297","274689","271547","240381","NA","NA","NA","NA","276288","275186","NA","274189","NA","274184","276288","1366","276547","NA","NA","275297","1358","1358","275689","274184","1358","275297","276547","morph21_Oliver/Morris","8","7154","10","yes","1280","17"
"250","81.8181818182","81.8181818182","697.363636364","697.363636364","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","73040","1000","0.013691128149","1","undefined","1","0","10","10","10","0","10","10","10","NA","10","10","0","10","NA","10","10","0","10","NA","10","NA","10","0","0","10","10","0","10","10","11","/","02/15/18 13:46:25","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","10","10","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-125.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","517","NA","NA","NA","NA","239015","517","2","legacy","1024","2","48000","-16","BA_m21","125","odd","CW_S","JAILER","1358","279456","277847","271547","240381","NA","NA","NA","NA","279445","278344","NA","277347","NA","277341","279445","1366","279706","NA","NA","278456","1358","1358","278847","277341","1358","278456","279706","morph21_Oliver/Morris","9","7671","11","yes","1280","13"
