SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,782,1,CW_S,201,1,DETECTABLE,AB_m21,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S101,546,1,CW_S,201,2,AVOIDABLE,AB_m21,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S101,870,1,CW_S,201,3,NOTICEABLE,AB_m21,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S101,995,0,CW_S,201,4,MAGICAL,AB_m21,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S101,591,1,CW_S,201,5,ALLOWANCE,AB_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S101,556,1,CW_S,201,6,DIETARY,AB_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S101,672,1,CW_S,201,7,WIDOWED,AB_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S101,418,1,CW_S,201,8,BEARDED,AB_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S101,728,1,CW_S,201,9,INSISTENT,AB_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S101,548,1,CW_S,201,10,TOASTER,AB_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S101,661,1,CW_S,201,11,LENDER,AB_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S101,512,1,CW_S,201,12,RAIDER,AB_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S101,598,1,CW_S,201,13,JAILER,AB_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S101,435,1,CW_S,201,14,DESTROYER,AB_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S101,683,1,CW_S,201,15,CAMPAIGNER,AB_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S101,619,1,CW_S,201,16,SEEKER,AB_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S101,544,1,CW_S,201,17,SINGER,AB_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S101,471,1,CW_S,201,18,LISTENER,AB_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S101,779,1,CW_S,201,19,DESIGN,AB_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S101,490,1,CW_S,201,20,ATTACKER,AB_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S101,445,1,CW_S,201,21,BUYER,AB_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S101,655,1,CW_S,201,22,PLANNER,AB_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S101,536,1,CW_S,201,23,TEACHER,AB_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S101,456,1,CW_S,201,24,THRUSTER,AB_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
S101,996,0,CW_S,201,25,ANGELIC,AB_m21,angelic,angel,ic,Rastle,7,567,6.34,S,5,7,Small
S101,472,1,CW_S,201,26,TOSSING,AB_m21,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S101,702,1,CW_S,201,27,TUTORING,AB_m21,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S101,818,1,CW_S,201,28,PEAKING,AB_m21,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S101,520,1,CW_S,201,29,HARMLESS,AB_m21,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S101,534,1,CW_S,201,30,EFFORTLESS,AB_m21,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S101,551,1,CW_S,201,31,GRIMLY,AB_m21,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
S101,713,1,CW_S,201,32,DENSELY,AB_m21,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S101,704,1,CW_S,201,33,NEATLY,AB_m21,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S101,691,1,CW_S,201,34,GUILTY,AB_m21,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S101,987,1,CW_S,201,35,HUGELY,AB_m21,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S101,613,1,CW_S,201,36,COSTLY,AB_m21,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S101,494,1,CW_S,201,37,LOCALLY,AB_m21,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S101,544,1,CW_S,201,38,AMUSEMENT,AB_m21,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S101,547,1,CW_S,201,39,AMAZEMENT,AB_m21,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S101,465,1,CW_S,201,40,ENJOYMENT,AB_m21,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S101,538,1,CW_S,201,41,BOLDNESS,AB_m21,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S101,997,0,CW_S,201,42,MILDNESS,AB_m21,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S101,638,1,CW_S,201,43,DULLNESS,AB_m21,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S101,540,1,CW_S,201,44,AWARENESS,AB_m21,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
