SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,782,1,CW_S,201,1,DETECTABLE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S101,546,1,CW_S,201,2,AVOIDABLE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S101,870,1,CW_S,201,3,NOTICEABLE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S101,995,0,CW_S,201,4,MAGICAL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S101,591,1,CW_S,201,5,ALLOWANCE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S101,556,1,CW_S,201,6,DIETARY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S101,672,1,CW_S,201,7,WIDOWED,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S101,418,1,CW_S,201,8,BEARDED,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S101,728,1,CW_S,201,9,INSISTENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S101,548,1,CW_S,201,10,TOASTER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S101,661,1,CW_S,201,11,LENDER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S101,512,1,CW_S,201,12,RAIDER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S101,598,1,CW_S,201,13,JAILER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S101,435,1,CW_S,201,14,DESTROYER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S101,683,1,CW_S,201,15,CAMPAIGNER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S101,619,1,CW_S,201,16,SEEKER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S101,544,1,CW_S,201,17,SINGER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S101,471,1,CW_S,201,18,LISTENER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S101,779,1,CW_S,201,19,DESIGN,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S101,490,1,CW_S,201,20,ATTACKER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S101,445,1,CW_S,201,21,BUYER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S101,655,1,CW_S,201,22,PLANNER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S101,536,1,CW_S,201,23,TEACHER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
