SubjID,cw_target,cw_response_time,cw_famsize,cw_LogBf
S101,magical,995,S,6.92
S101,singer,544,S,7.69
S101,cooling,810,L,7.27
S101,madness,925,L,7.17
S101,renter,536,L,7.43
S101,parking,525,L,7.57
S101,design,779,S,8.1
S101,campaigner,683,S,7.6
S101,jailer,598,S,6.52
S101,faithful,481,L,7.19
S101,doubtful,527,L,8.33
S101,dancer,993,L,7.6
S101,widowed,672,S,6.21
S101,dietary,556,S,7.07
S101,cleaner,664,L,7.96
S101,conductor,556,L,6.99
S101,deafness,598,L,5.67
S101,speller,586,L,6.66
S101,costly,613,S,8.35
S101,seeker,619,S,7.68
S101,amazement,547,S,6.78
S101,toaster,548,S,5.83
S101,painter,459,L,8.21
S101,excitement,562,L,7.56
S101,tossing,472,S,6.01
S101,detectable,782,S,6.89
S101,laughing,549,L,8.34
S101,grimly,551,S,6.31
S101,shapely,619,L,7.55
S101,amusement,544,S,6.75
S101,creamy,562,L,6.67
S101,verbal,587,L,6.05
S101,chilly,337,S,6.19
S101,striker,588,L,8.14
S101,attacker,490,S,8.13
S101,effortless,534,S,7.81
S101,locally,494,S,8.41
S101,boneless,558,L,7.31
S101,composer,471,L,7.08
S101,blindness,605,L,6.93
S101,destroyer,435,S,7.55
S101,strangeness,438,S,7.98
S101,pusher,402,L,7.83
S101,thruster,456,S,6.37
S101,listener,471,S,8.03
S101,harmless,520,S,7
S101,buyer,445,S,8.39
S101,risky,524,S,7.51
S101,avoidable,546,S,7.68
S101,tutoring,702,S,6.212606096
S101,shameful,150562,L,6.9
S101,heater,543,L,7.97
S101,hunter,888,L,7.47
S101,angelic,996,S,6.34
S101,mildness,997,S,6.52
S101,flexible,604,L,6.5
S101,cloudless,609,L,7.07
S101,noticeable,870,S,8.14
S101,jumping,620,L,7.24
S101,guilty,691,S,7.36
S101,dampish,996,L,6.43
S101,peaking,818,S,6.3
S101,editor,551,L,7.17
S101,raider,512,S,6.22
S101,planner,655,S,8.61
S101,bomber,457,L,7.1
S101,stylish,513,L,7.66
S101,teacher,536,S,8.64
S101,locker,435,L,7.41
S101,dullness,638,S,6.56
S101,puncher,656,L,5.78
S101,sailor,628,L,6.61
S101,barker,0,L,5.96
S101,weedy,463,L,6.59
S101,boldness,538,S,5.94
S101,richness,657,S,7.96
S101,collector,411,L,8.08
S101,dryness,417,L,7.77
S101,quietly,529,L,7.9
S101,densely,713,S,6.48
S101,bearded,418,S,6.36
S101,guarding,509,L,7.62
S101,allowance,591,S,8.52
S101,mossy,645,S,5
S101,kicking,635,L,6.92
S101,bossy,622,S,6.31
S101,insistent,728,S,7.4
S101,enjoyment,465,S,7.93
S101,guileless,620,L,4.11
S101,awareness,540,S,7.78
S101,wrongly,583,L,8.17
S101,bootless,563,L,6.85
S101,knocker,454,L,7.01
S101,swimmer,663,L,7.04
S101,feeder,533,L,7.94
S101,lender,661,S,6.22
S101,hugely,987,S,7.56
S101,professor,717,L,8.18
S101,neatly,704,S,6.83
S101,dreamer,852,L,7.75
S103,harmless,555,S,7
S103,neatly,506,S,6.83
S103,puncher,653,L,5.78
S103,seeker,750,S,7.68
S103,thruster,761,S,6.37
S103,flexible,570,L,6.5
S103,awareness,733,S,7.78
S103,boldness,645,S,5.94
S103,boneless,762,L,7.31
S103,amusement,811,S,6.75
S103,hugely,693,S,7.56
S103,singer,727,S,7.69
S103,detectable,753,S,6.89
S103,swimmer,708,L,7.04
S103,knocker,791,L,7.01
S103,pusher,458,L,7.83
S103,tutoring,537,S,6.212606096
S103,allowance,599,S,8.52
S103,peaking,522,S,6.3
S103,bomber,710,L,7.1
S103,feeder,501,L,7.94
S103,shameful,539,L,6.9
S103,guarding,90820,L,7.62
S103,locker,378,L,7.41
S103,avoidable,613,S,7.68
S103,jumping,603,L,7.24
S103,widowed,559,S,6.21
S103,dreamer,455,L,7.75
S103,renter,544,L,7.43
S103,campaigner,607,S,7.6
S103,insistent,767,S,7.4
S103,dampish,757,L,6.43
S103,faithful,490,L,7.19
S103,conductor,472,L,6.99
S103,verbal,612,L,6.05
S103,grimly,599,S,6.31
S103,toaster,855,S,5.83
S103,strangeness,495,S,7.98
S103,creamy,518,L,6.67
S103,hunter,401,L,7.47
S103,angelic,729,S,6.34
S103,barker,736,L,5.96
S103,bootless,517,L,6.85
S103,mildness,631,S,6.52
S103,speller,667,L,6.66
S103,dietary,690,S,7.07
S103,bearded,511,S,6.36
S103,doubtful,711,L,8.33
S103,collector,725,L,8.08
S103,deafness,980,L,5.67
S103,composer,501,L,7.08
S103,striker,994,L,8.14
S103,heater,995,L,7.97
S103,cooling,996,L,7.27
S103,stylish,993,L,7.66
S103,shapely,995,L,7.55
S103,painter,994,L,8.21
S103,blindness,995,L,6.93
S103,risky,996,S,7.51
S103,attacker,992,S,8.13
S103,dullness,996,S,6.56
S103,lender,881,S,6.22
S103,richness,991,S,7.96
S103,dryness,994,L,7.77
S103,effortless,993,S,7.81
S103,weedy,995,L,6.59
S103,laughing,994,L,8.34
S103,densely,992,S,6.48
S103,tossing,996,S,6.01
S103,excitement,993,L,7.56
S103,cleaner,995,L,7.96
S103,enjoyment,988,S,7.93
S103,professor,995,L,8.18
S103,mossy,994,S,5
S103,madness,654,L,7.17
S103,parking,495,L,7.57
S103,wrongly,794,L,8.17
S103,editor,604,L,7.17
S103,design,844,S,8.1
S103,amazement,612,S,6.78
S103,bossy,554,S,6.31
S103,buyer,736,S,8.39
S103,jailer,706,S,6.52
S103,teacher,696,S,8.64
S103,costly,707,S,8.35
S103,chilly,681,S,6.19
S103,noticeable,804,S,8.14
S103,sailor,745,L,6.61
