"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","100","100","855","855","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","58640","1000","0.0170532060027","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","855","NA","NA","NA","NA","149841","855","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_NW","PUCTS","2589","155314","153706","NA","152451","NA","NA","NA","NA","155308","154203","NA","153203","NA","153128","155308","2609","155514","NA","NA","154315","2589","2589","154706","153128","2589","154314","155514","morph21_Oliver/Morris","1","855","1","yes","1280","40"
"400","50","50","790.5","790.5","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","65494","1000","0.0152685742205","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","726","NA","NA","NA","NA","149841","726","2","legacy","1024","2","48000","-16","BA_m21","144","even","NW_L_SIMP","BLOODER","2589","158357","156773","NA","152451","NA","NA","NA","NA","155308","157270","NA","156273","NA","156270","158352","2609","158757","NA","NA","157357","2589","2589","157757","156270","2589","157357","158757","morph21_Oliver/Morris","1","1581","2","yes","1280","24"
"250","66.6666666667","66.6666666667","698.333333333","698.333333333","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","74497","1000","0.0134233593299","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","514","NA","NA","NA","NA","149841","514","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_W","SOUGHT","2589","163166","160049","161657","152451","NA","NA","NA","NA","161647","160546","NA","159549","NA","159544","161647","2609","163416","NA","NA","160657","2589","2589","161049","159544","2589","160657","163416","morph21_Oliver/Morris","2","2095","3","yes","1280","40"
"350","75","75","704.75","704.75","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","63050","1000","0.0158604282316","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","724","NA","NA","NA","NA","149841","724","2","legacy","1024","2","48000","-16","BA_m21","144","even","NW_S_COMP","WELDIG","2589","166191","164624","161657","152451","NA","NA","NA","NA","166188","165121","NA","164124","NA","164118","166188","2609","166541","NA","NA","165199","2589","2589","165591","164118","2589","165199","166541","morph21_Oliver/Morris","3","2819","4","yes","1280","21"
"200","80","80","679.8","679.8","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","69250","1000","0.014440433213","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","z","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","580","NA","NA","NA","NA","149841","580","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_NW","VUNKS","2589","169358","167774","161657","152451","NA","NA","NA","NA","169347","168271","NA","167274","NA","167264","169347","2609","169558","NA","NA","168358","2589","2589","168749","167263","2589","168358","169558","morph21_Oliver/Morris","4","3399","5","yes","1280","49"
"350","83.3333333333","83.3333333333","673.5","673.5","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","67642","1000","0.0147837142604","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","642","NA","NA","NA","NA","149841","642","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_NW","DARF","2589","173933","170816","172424","152451","NA","NA","NA","NA","172418","171313","NA","170316","NA","170306","172418","2609","174283","NA","NA","171424","2589","2589","171816","170306","2589","171424","174283","morph21_Oliver/Morris","5","4041","6","yes","1280","10"
"350","85.7142857143","85.7142857143","664","664","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","70860","1000","0.0141123341801","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","607","NA","NA","NA","NA","149841","607","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_W","FAINT","2589","177076","175492","172424","152451","NA","NA","NA","NA","177067","175989","NA","174992","NA","174987","177067","2609","177426","NA","NA","176076","2589","2589","176467","174987","2589","176076","177426","morph21_Oliver/Morris","6","4648","7","yes","1280","31"
"300","75","75","659.375","659.375","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","68462","1000","0.0146066431013","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","627","NA","NA","NA","NA","149841","627","2","legacy","1024","2","48000","-16","BA_m21","144","even","CW_L","WEEDY","2589","180368","178767","172424","152451","NA","NA","NA","NA","177067","179265","NA","178267","NA","178261","180365","2609","180668","NA","NA","179376","2589","2589","179767","178261","2589","179376","180668","morph21_Oliver/Morris","6","5275","8","yes","1280","48"
"250","77.7777777778","77.7777777778","658","658","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","68719","1000","0.0145520161818","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","647","NA","NA","NA","NA","149841","647","2","legacy","1024","2","48000","-16","BA_m21","144","even","CW_S","PLANNER","2589","184976","181834","183468","152451","NA","NA","NA","NA","183463","182331","NA","181334","NA","181329","183463","2609","185226","NA","NA","182468","2589","2589","182868","181328","2589","182468","185226","morph21_Oliver/Morris","7","5922","9","yes","1280","22"
"250","80","80","650.2","650.2","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","70336","1000","0.0142174704277","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","10/24/18 16:20:15","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","580","NA","NA","NA","NA","149841","580","2","legacy","1024","2","48000","-16","BA_m21","144","even","NW_L_COMP","TRIPADY","2589","188110","186518","183468","152451","NA","NA","NA","NA","188104","187015","NA","186018","NA","186014","188104","2609","188360","NA","NA","187110","2589","2589","187501","186014","2589","187110","188360","morph21_Oliver/Morris","8","6502","10","yes","1280","2"
