"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"400","0","0","990","990","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","48696","1000","0.0205355676031","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","990","NA","NA","NA","NA","168095","990","2","legacy","1024","2","48000","-16","AB_m21","150","even","NW_S_SIMP","URNILT","1193","172194","170476","NA","169298","NA","NA","NA","NA","NA","170973","NA","169970","NA","169896","172183","1202","172594","NA","NA","171193","1193","1193","171585","169896","1193","171193","172594","morph21_Oliver/Morris","0","990","1","yes","1280","5"
"400","0","0","990.5","990.5","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","48409","1000","0.0206573157884","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","991","NA","NA","NA","NA","168095","991","2","legacy","1024","2","48000","-16","AB_m21","150","even","NW_S_SIMP","RAMPIME","1193","175485","173752","NA","169298","NA","NA","NA","NA","NA","174249","NA","173252","NA","173243","175476","1202","175885","NA","NA","174485","1193","1193","174877","173242","1193","174485","175885","morph21_Oliver/Morris","0","1981","2","yes","1280","6"
"250","0","0","992","992","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","54661","1000","0.0182945793161","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","995","NA","NA","NA","NA","168095","995","2","legacy","1024","2","48000","-16","AB_m21","150","even","CW_S","HUGELY","1193","180444","177244","178936","169298","NA","NA","NA","NA","NA","177741","NA","176736","NA","176724","178931","1202","180694","NA","NA","177936","1193","1193","178336","176724","1193","177936","180694","morph21_Oliver/Morris","0","2976","3","yes","1280","35"
"250","0","0","991","991","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","45975","1000","0.0217509516041","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","988","NA","NA","NA","NA","168095","988","2","legacy","1024","2","48000","-16","AB_m21","150","even","FILL_W","FIERCE","1193","183511","181819","178936","169298","NA","NA","NA","NA","NA","182316","NA","181319","NA","181312","183507","1202","183761","NA","NA","182519","1193","1193","182911","181312","1193","182519","183761","morph21_Oliver/Morris","0","3964","4","yes","1280","24"
"300","0","0","991.6","991.6","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","52845","1000","0.0189232661557","0","undefined","0","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","168095","994","2","legacy","1024","2","48000","-16","AB_m21","150","even","NW_L_SIMP","BEGENGE","1193","186744","185061","178936","169298","NA","NA","NA","NA","NA","185558","NA","184561","NA","184556","186739","1202","187044","NA","NA","185744","1193","1193","186144","184556","1193","185744","187044","morph21_Oliver/Morris","0","4958","5","yes","1280","4"
"200","0","0","991.333333333","991.333333333","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","54338","1000","0.0184033273216","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","990","NA","NA","NA","NA","168095","990","2","legacy","1024","2","48000","-16","AB_m21","150","even","NW_S_SIMP","OPPOSEMANT","1193","191396","188186","189887","169298","NA","NA","NA","NA","NA","188683","NA","187686","NA","187680","189877","1202","191596","NA","NA","188887","1193","1193","189279","187680","1193","188887","191596","morph21_Oliver/Morris","0","5948","6","yes","1280","8"
"250","14.2857142857","14.2857142857","965.714285714","965.714285714","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","58343","1000","0.0171400167972","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","812","NA","NA","NA","NA","168095","812","2","legacy","1024","2","48000","-16","AB_m21","150","even","CW_S","JAILER","1193","194437","192762","189887","169298","NA","NA","NA","NA","194430","193259","NA","192262","NA","192257","194430","1202","194687","NA","NA","193437","1193","1193","193829","192257","1193","193437","194687","morph21_Oliver/Morris","1","6760","7","yes","1280","13"
"400","12.5","12.5","969","969","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","54931","1000","0.0182046567512","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","992","NA","NA","NA","NA","168095","992","2","legacy","1024","2","48000","-16","AB_m21","150","even","FILL_NW","DROES","1193","197612","195929","189887","169298","NA","NA","NA","NA","194430","196426","NA","195429","NA","195425","197606","1202","198012","NA","NA","196613","1193","1193","197004","195425","1193","196612","198012","morph21_Oliver/Morris","1","7752","8","yes","1280","17"
"300","11.1111111111","11.1111111111","971.444444444","971.444444444","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","51717","1000","0.0193360017016","0","undefined","0","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","991","NA","NA","NA","NA","168095","991","2","legacy","1024","2","48000","-16","AB_m21","150","even","NW_S_SIMP","TILTADY","1193","202354","199179","200846","169298","NA","NA","NA","NA","194430","199676","NA","198679","NA","198669","200837","1202","202655","NA","NA","199846","1193","1193","200238","198669","1193","199846","202655","morph21_Oliver/Morris","1","8743","9","yes","1280","17"
"300","10","10","973.9","973.9","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","49201","1000","0.0203247901465","0","undefined","0","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","11/09/18 16:42:21","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-150.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","996","NA","NA","NA","NA","168095","996","2","legacy","1024","2","48000","-16","AB_m21","150","even","NW_S_SIMP","HEIRIG","1193","205463","203804","200846","169298","NA","NA","NA","NA","194430","204302","NA","203304","NA","203296","205459","1202","205763","NA","NA","204463","1193","1193","204863","203296","1193","204463","205763","morph21_Oliver/Morris","1","9739","10","yes","1280","3"
