"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"300","100","100","916","916","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","48218","1000","0.0207391430586","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","916","NA","NA","NA","NA","76976","916","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_S","BUYER","1952","81779","80095","NA","78943","NA","NA","NA","NA","81769","80592","NA","79590","NA","79512","81769","1967","82079","NA","NA","80779","1952","1952","81170","79512","1952","80779","82079","morph21_Oliver/Morris","1","916","1","yes","1280","21"
"200","100","100","839","839","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","55908","1000","0.0178865278672","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","762","NA","NA","NA","NA","76976","762","2","legacy","1024","2","48000","-16","BA_m21","157","odd","FILL_NW","PUCTS","1952","84845","83170","NA","78943","NA","NA","NA","NA","84838","83668","NA","82670","NA","82659","84838","1967","85045","NA","NA","83845","1952","1952","84237","82659","1952","83845","85045","morph21_Oliver/Morris","2","1678","2","yes","1280","40"
"350","66.6666666667","66.6666666667","707.333333333","707.333333333","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","68238","1000","0.0146545912834","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","444","NA","NA","NA","NA","76976","444","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_L_COMP","INKILM","1952","89471","86295","87962","78943","NA","NA","NA","NA","84838","86793","NA","85796","NA","85787","87957","1967","89821","NA","NA","86962","1952","1952","87362","85787","1952","86962","89821","morph21_Oliver/Morris","2","2122","3","yes","1280","8"
"300","50","50","647.75","647.75","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","65517","1000","0.0152632141276","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","469","NA","NA","NA","NA","76976","469","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_S_SIMP","BOLTOUS","1952","92721","90987","87962","78943","NA","NA","NA","NA","84838","91484","NA","90487","NA","90481","92718","1967","93021","NA","NA","91729","1952","1952","92121","90481","1952","91729","93021","morph21_Oliver/Morris","2","2591","4","yes","1280","13"
"350","60","60","613.8","613.8","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","67711","1000","0.0147686491117","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","478","NA","NA","NA","NA","76976","478","2","legacy","1024","2","48000","-16","BA_m21","157","odd","FILL_W","LEAK","1952","95897","94221","87962","78943","NA","NA","NA","NA","95893","94718","NA","93721","NA","93710","95893","1967","96247","NA","NA","94897","1952","1952","95297","93710","1952","94897","96247","morph21_Oliver/Morris","3","3069","5","yes","1280","9"
"300","50","50","598","598","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","60761","1000","0.0164579253139","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","519","NA","NA","NA","NA","76976","519","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_S_COMP","CURTIDY","1952","100580","97355","99072","78943","NA","NA","NA","NA","95893","97852","NA","96855","NA","96847","99064","1967","100881","NA","NA","98072","1952","1952","98464","96847","1952","98072","100881","morph21_Oliver/Morris","3","3588","6","yes","1280","11"
"300","57.1428571429","57.1428571429","589.857142857","589.857142857","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","66223","1000","0.0151004937861","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","541","NA","NA","NA","NA","76976","541","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_S_SIMP","SOCKETER","1952","103722","102072","99072","78943","NA","NA","NA","NA","103713","102569","NA","101572","NA","101565","103713","1967","104022","NA","NA","102722","1952","1952","103114","101565","1952","102722","104022","morph21_Oliver/Morris","4","4129","7","yes","1280","1"
"300","62.5","62.5","569.875","569.875","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","66851","1000","0.0149586393622","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","430","NA","NA","NA","NA","76976","430","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_S_SIMP","YIELDIST","1952","106872","105206","99072","78943","NA","NA","NA","NA","106867","105703","NA","104706","NA","104697","106867","1967","107172","NA","NA","105872","1952","1952","106272","104697","1952","105872","107172","morph21_Oliver/Morris","5","4559","8","yes","1280","20"
"350","66.6666666667","66.6666666667","544.111111111","544.111111111","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","69749","1000","0.0143371231129","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","338","NA","NA","NA","NA","76976","338","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_L","GUILELESS","1952","111464","108281","109956","78943","NA","NA","NA","NA","109947","108778","NA","107781","NA","107770","109947","1967","111814","NA","NA","108956","1952","1952","109347","107769","1952","108956","111814","morph21_Oliver/Morris","6","4897","9","yes","1280","31"
"400","60","60","538.2","538.2","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","70762","1000","0.014131878692","0","undefined","0","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","485","NA","NA","NA","NA","76976","485","2","legacy","1024","2","48000","-16","BA_m21","157","odd","FILL_NW","DROES","1952","114690","113032","109956","78943","NA","NA","NA","NA","109947","113529","NA","112532","NA","112523","114683","1967","115090","NA","NA","113690","1952","1952","114082","112523","1952","113690","115090","morph21_Oliver/Morris","6","5382","10","yes","1280","17"
"400","63.6363636364","63.6363636364","532.636363636","532.636363636","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","70271","1000","0.0142306214512","1","undefined","1","0","10","10","10","0","10","10","10","NA","10","10","0","10","NA","10","10","0","10","NA","10","NA","10","0","0","10","10","0","10","10","11","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","10","10","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","477","NA","NA","NA","NA","76976","477","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_S","EFFORTLESS","1952","117882","116207","109956","78943","NA","NA","NA","NA","117873","116704","NA","115707","NA","115698","117873","1967","118282","NA","NA","116882","1952","1952","117274","115698","1952","116882","118282","morph21_Oliver/Morris","7","5859","11","yes","1280","30"
"250","66.6666666667","66.6666666667","517.833333333","517.833333333","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","66000","1000","0.0151515151515","1","undefined","1","0","11","11","11","0","11","11","11","NA","11","11","0","11","NA","11","11","0","11","NA","11","NA","11","0","0","11","11","0","11","11","12","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","11","11","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","355","NA","NA","NA","NA","76976","355","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_L","LAUGHING","1952","122632","119449","121124","78943","NA","NA","NA","NA","121115","119946","NA","118949","NA","118942","121115","1967","122883","NA","NA","120124","1952","1952","120516","118942","1952","120124","122883","morph21_Oliver/Morris","8","6214","12","yes","1280","27"
"350","69.2307692308","69.2307692308","505.384615385","505.384615385","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","72691","1000","0.0137568612345","1","undefined","1","0","12","12","12","0","12","12","12","NA","12","12","0","12","NA","12","12","0","12","NA","12","NA","12","0","0","12","12","0","12","12","13","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","12","12","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","356","NA","NA","NA","NA","76976","356","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_S","DENSELY","1952","125674","124007","121124","78943","NA","NA","NA","NA","125670","124505","NA","123507","NA","123499","125670","1967","126024","NA","NA","124674","1952","1952","125074","123499","1952","124674","126024","morph21_Oliver/Morris","9","6570","13","yes","1280","32"
"250","71.4285714286","71.4285714286","498.142857143","498.142857143","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","68896","1000","0.0145146307478","1","undefined","1","0","13","13","13","0","13","13","13","NA","13","13","0","13","NA","13","13","0","13","NA","13","NA","13","0","0","13","13","0","13","13","14","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","13","13","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","404","NA","NA","NA","NA","76976","404","2","legacy","1024","2","48000","-16","BA_m21","157","odd","FILL_W","COOK","1952","128858","127191","121124","78943","NA","NA","NA","NA","128855","127688","NA","126691","NA","126683","128855","1967","129108","NA","NA","127866","1952","1952","128258","126683","1952","127866","129108","morph21_Oliver/Morris","10","6974","14","yes","1280","38"
"250","73.3333333333","73.3333333333","489.6","489.6","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","68854","1000","0.0145234844744","1","undefined","1","0","14","14","14","0","14","14","14","NA","14","14","0","14","NA","14","14","0","14","NA","14","NA","14","0","0","14","14","0","14","14","15","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","14","14","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","370","NA","NA","NA","NA","76976","370","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_L","DREAMER","1952","133426","130234","131917","78943","NA","NA","NA","NA","131913","130731","NA","129734","NA","129723","131913","1967","133676","NA","NA","130917","1952","1952","131317","129723","1952","130917","133676","morph21_Oliver/Morris","11","7344","15","yes","1280","12"
"250","75","75","478.875","478.875","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","72662","1000","0.0137623517107","1","undefined","1","0","15","15","15","0","15","15","15","NA","15","15","0","15","NA","15","15","0","15","NA","15","NA","15","0","0","15","15","0","15","15","16","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","15","15","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","318","NA","NA","NA","NA","76976","318","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_L","DEAFNESS","1952","136417","134742","131917","78943","NA","NA","NA","NA","136412","135239","NA","134242","NA","134234","136412","1967","136667","NA","NA","135417","1952","1952","135809","134234","1952","135417","136667","morph21_Oliver/Morris","12","7662","16","yes","1280","39"
"250","70.5882352941","70.5882352941","467.352941176","467.352941176","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","77241","1000","0.012946492148","0","undefined","0","0","16","16","16","0","16","16","16","NA","16","16","0","16","NA","16","16","0","16","NA","16","NA","16","0","0","16","16","0","16","16","17","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","16","16","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","283","NA","NA","NA","NA","76976","283","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_S_SIMP","ZOOMFUL","1952","139476","137776","131917","78943","NA","NA","NA","NA","136412","138273","NA","137276","NA","137268","139466","1967","139726","NA","NA","138476","1952","1952","138867","137268","1952","138476","139726","morph21_Oliver/Morris","12","7945","17","yes","1280","19"
"250","72.2222222222","72.2222222222","460.944444444","460.944444444","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","75698","1000","0.0132103886496","1","undefined","1","0","17","17","17","0","17","17","17","NA","17","17","0","17","NA","17","17","0","17","NA","17","NA","17","0","0","17","17","0","17","17","18","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","17","17","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","352","NA","NA","NA","NA","76976","352","2","legacy","1024","2","48000","-16","BA_m21","157","odd","CW_L","DANCER","1952","144043","140876","142534","78943","NA","NA","NA","NA","142524","141373","NA","140376","NA","140371","142524","1967","144293","NA","NA","141534","1952","1952","141926","140371","1952","141534","144293","morph21_Oliver/Morris","13","8297","18","yes","1280","11"
"250","73.6842105263","73.6842105263","460.736842105","460.736842105","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69497","1000","0.0143891103213","1","undefined","1","0","18","18","18","0","18","18","18","NA","18","18","0","18","NA","18","18","0","18","NA","18","NA","18","0","0","18","18","0","18","18","19","/","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","18","18","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","457","NA","NA","NA","NA","76976","457","2","legacy","1024","2","48000","-16","BA_m21","157","odd","FILL_W","SOUGHT","1952","147085","145434","142534","78943","NA","NA","NA","NA","147083","145931","NA","144934","NA","144930","147083","1967","147335","NA","NA","146093","1952","1952","146484","144930","1952","146093","147335","morph21_Oliver/Morris","14","8754","19","yes","1280","40"
"350","70","70","457.45","457.45","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","67638","1000","0.0147845885449","0","undefined","0","0","19","19","19","0","19","19","19","NA","19","19","0","19","NA","19","19","0","19","NA","19","NA","19","0","0","19","19","0","19","19","20","z","02/04/19 15:24:22","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","19","19","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-157.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","395","NA","NA","NA","NA","76976","395","2","legacy","1024","2","48000","-16","BA_m21","157","odd","NW_L_SIMP","PICKENCE","1952","150044","148385","142534","78943","NA","NA","NA","NA","147083","148883","NA","147885","NA","147877","150041","1967","150394","NA","NA","149052","1952","1952","149444","147877","1952","149052","150394","morph21_Oliver/Morris","14","9149","20","yes","1280","5"
