"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","0","0","0","0","0","1","/","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","22393","1200","2","legacy","1024","2","48000","-16","AB_m21","225","odd","CW_L","GUARDING","1883","28596","26228","NA","24288","NA","NA","NA","NA","NA","26729","NA","NA","NA","25725","NA","25694","1894","28946","NA","NA","NA","26769","1883","1883","NA","27969","27993","25693","26729","26749","morph21_Oliver/Morris","0","1200","1","yes","1920","26"
"300","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","1","1","1","1","1","2","/","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","22393","1200","2","legacy","1024","2","48000","-16","AB_m21","225","odd","CW_L","DOUBTFUL","1883","32906","30536","NA","24288","NA","NA","NA","NA","NA","31037","NA","NA","NA","30034","NA","30005","1894","33206","NA","NA","NA","31077","1883","1883","NA","32277","32303","30005","31037","31057","morph21_Oliver/Morris","0","2400","2","yes","1920","21"
"200","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","NA","NA","NA","0","undefined","0","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","2","2","2","2","2","3","z","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","22393","1200","2","legacy","1024","2","48000","-16","AB_m21","225","odd","NW_S_SIMP","NULLITH","1883","38662","34789","37156","24288","NA","NA","NA","NA","NA","35290","NA","NA","NA","34289","NA","34262","1894","38863","NA","NA","NA","35330","1883","1883","NA","36530","36553","34262","35290","35310","morph21_Oliver/Morris","0","3600","3","yes","1920","23"
"250","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","0","undefined","0","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","3","3","3","3","3","4","/","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","22393","1200","2","legacy","1024","2","48000","-16","AB_m21","225","odd","FILL_W","PREACH","1883","42842","40475","37156","24288","NA","NA","NA","NA","NA","40975","NA","NA","NA","39974","NA","39947","1894","43093","NA","NA","NA","41016","1883","1883","NA","42216","42239","39947","40975","40996","morph21_Oliver/Morris","0","4800","4","yes","1920","7"
"250","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","4","4","4","4","4","5","/","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","22393","1200","2","legacy","1024","2","48000","-16","AB_m21","225","odd","CW_L","PUSHER","1883","47016","44647","37156","24288","NA","NA","NA","NA","NA","45147","NA","NA","NA","44147","NA","44118","1894","47266","NA","NA","NA","45189","1883","1883","NA","46389","46413","44118","45147","45169","morph21_Oliver/Morris","0","6000","5","yes","1920","13"
"350","16.666666666666668","16.666666666666668","1145.3333333333333","1145.3333333333333","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","5","5","5","5","5","6","/","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","872","NA","NA","NA","NA","22393","872","2","legacy","1024","2","48000","-16","AB_m21","225","odd","CW_L","BARKER","1883","52356","48810","50850","24288","NA","NA","NA","NA","NA","49311","NA","NA","NA","48310","NA","48280","1894","52706","NA","NA","NA","49351","1883","1883","NA","50223","50247","48280","49311","49331","morph21_Oliver/Morris","1","6872","6","yes","1920","2"
"300","14.285714285714286","14.285714285714286","1114.5714285714287","1114.5714285714287","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","6","6","6","6","6","7","z","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","930","NA","NA","NA","NA","22393","930","2","legacy","1024","2","48000","-16","AB_m21","225","odd","NW_L_SIMP","BEGENGE","1883","56387","54289","50850","24288","NA","NA","NA","NA","NA","54789","NA","NA","NA","53789","NA","53762","1894","56687","NA","NA","NA","54829","1883","1883","NA","55759","55783","53762","54789","54809","morph21_Oliver/Morris","1","7802","7","yes","1920","4"
"300","12.5","12.5","1125.25","1125.25","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","7","7","7","7","7","8","z","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","22393","1200","2","legacy","1024","2","48000","-16","AB_m21","225","odd","NW_L_SIMP","TAXFIL","1883","60612","58245","50850","24288","NA","NA","NA","NA","NA","58746","NA","NA","NA","57745","NA","57717","1894","60912","NA","NA","NA","58786","1883","1883","NA","59986","60009","57717","58746","58766","morph21_Oliver/Morris","1","9002","8","yes","1920","6"
"200","22.22222222222222","22.22222222222222","1077.2222222222222","1077.2222222222222","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","8","8","8","8","8","9","z","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","693","NA","NA","NA","NA","22393","693","2","legacy","1024","2","48000","-16","AB_m21","225","odd","FILL_NW","GAIRS","1883","65849","62485","64346","24288","NA","NA","NA","NA","NA","62985","NA","NA","NA","61985","NA","61955","1894","66050","NA","NA","NA","63025","1883","1883","NA","63719","63742","61955","62985","63005","morph21_Oliver/Morris","2","9695","9","yes","1920","23"
"300","30","30","1059.9","1059.9","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","1","undefined","1","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","9","9","9","9","9","10","z","Fri Oct 20 14:39:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ekealey/Desktop/subject-225.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","904","NA","NA","NA","NA","22393","904","2","legacy","1024","2","48000","-16","AB_m21","225","odd","NW_L_SIMP","LONGNELS","1883","69723","67650","64346","24288","NA","NA","NA","NA","NA","68150","NA","NA","NA","67150","NA","67119","1894","70023","NA","NA","NA","68190","1883","1883","NA","69095","69120","67119","68150","68170","morph21_Oliver/Morris","3","10599","10","yes","1920","17"
