ITI,cond_trig,cresp,targ_type,target,word_trig
300,208,z,FILL_NW,DULKS,18
250,201,/,CW_S,TOSSING,26
300,204,z,NW_L_COMP,ILLIST,9
250,201,/,CW_S,TUTORING,27
350,203,z,NW_S_COMP,HUMIDOUS,25
400,202,/,CW_L,QUIETLY,36
400,201,/,CW_S,WIDOWED,7
300,202,/,CW_L,DOUBTFUL,21
200,204,z,NW_L_COMP,FLIPORY,16
400,203,z,NW_S_COMP,TRUENESS,15
200,207,/,FILL_W,OLD,44
300,205,z,NW_S_SIMP,NEXTNELS,9
200,208,z,FILL_NW,BLAYS,8
200,205,z,NW_S_SIMP,NULLITH,23
350,202,/,CW_L,PAINTER,18
350,208,z,FILL_NW,KRAISE,33
300,205,z,NW_S_SIMP,SOCKETEL,1
350,203,z,NW_S_COMP,PRINCEMENT,17
250,207,/,FILL_W,SOUGHT,40
400,202,/,CW_L,CONDUCTOR,44
350,201,/,CW_S,NEATLY,33
350,202,/,CW_L,HUNTER,10
300,201,/,CW_S,BUYER,21
200,202,/,CW_L,COLLECTOR,46
200,208,z,FILL_NW,CINDS,6
200,208,z,FILL_NW,FALONS,19
350,206,z,NW_L_SIMP,WITCHITH,11
250,201,/,CW_S,SEEKER,16
300,204,z,NW_L_COMP,BINDIC,22
400,205,z,NW_S_SIMP,SCHEMENELS,15
200,202,/,CW_L,SHAMEFUL,19
400,202,/,CW_L,STYLISH,29
400,201,/,CW_S,RAIDER,12
400,208,z,FILL_NW,VELT,46
400,208,z,FILL_NW,FROES,21
300,205,z,NW_S_SIMP,WINKIDY,21
250,206,z,NW_L_SIMP,SHOOTMANT,16
300,208,z,FILL_NW,KEMT,32
400,208,z,FILL_NW,CORG,7
350,203,z,NW_S_COMP,DEBTISH,22
350,204,z,NW_L_COMP,MOUTHIZE,11
250,201,/,CW_S,HARMLESS,29
250,201,/,CW_S,PEAKING,28
350,207,/,FILL_W,LIFT,39
200,208,z,FILL_NW,TUEER,44
250,202,/,CW_L,CREAMY,49
250,207,/,FILL_W,PACK,41
250,206,z,NW_L_SIMP,BEARILT,25
400,206,z,NW_L_SIMP,POORIDY,13
300,203,z,NW_S_COMP,FIGER,4
350,205,z,NW_S_SIMP,BASKODY,10
350,204,z,NW_L_COMP,AGREELY,24
250,207,/,FILL_W,TASTE,34
400,204,z,NW_L_COMP,COLDITY,10
300,207,/,FILL_W,BALD,3
200,207,/,FILL_W,FLESH,32
250,201,/,CW_S,MILDNESS,42
200,208,z,FILL_NW,HOITS,30
200,203,z,NW_S_COMP,HAPPENANCE,2
200,208,z,FILL_NW,SMADE,42
400,207,/,FILL_W,CHIP,11
250,208,z,FILL_NW,PHEEKS,35
300,204,z,NW_L_COMP,FELLOWOUS,17
200,208,z,FILL_NW,GILN,25
200,208,z,FILL_NW,HESK,29
300,204,z,NW_L_COMP,SHEETER,5
300,206,z,NW_L_SIMP,PRAYANGE,1
300,208,z,FILL_NW,BAFED,1
300,207,/,FILL_W,SICK,36
300,208,z,FILL_NW,DASK,12
250,207,/,FILL_W,SHIP,37
350,201,/,CW_S,AMAZEMENT,39
350,206,z,NW_L_SIMP,CRITICANGE,22
300,208,z,FILL_NW,HEEM,27
400,202,/,CW_L,SHAPELY,35
250,207,/,FILL_W,PREACH,7
350,208,z,FILL_NW,JADS,31
200,202,/,CW_L,BONELESS,34
350,202,/,CW_L,BARKER,2
250,208,z,FILL_NW,PIFTH,36
350,207,/,FILL_W,GLOOM,14
200,205,z,NW_S_SIMP,OPPOSEMANT,8
350,201,/,CW_S,LENDER,11
350,201,/,CW_S,DULLNESS,43
400,208,z,FILL_NW,BORMS,50
250,202,/,CW_L,FLEXIBLE,22
200,208,z,FILL_NW,PUCTS,40
400,207,/,FILL_W,EAT,25
400,201,/,CW_S,DESIGN,19
300,204,z,NW_L_COMP,EMPLOYNESS,21
400,202,/,CW_L,SPELLER,3
250,202,/,CW_L,LAUGHING,27
300,205,z,NW_S_SIMP,HEIRIG,3
400,207,/,FILL_W,DRUNK,19
400,204,z,NW_L_COMP,BOILOUS,18
300,208,z,FILL_NW,VOGS,47
200,201,/,CW_S,ANGELIC,25
350,201,/,CW_S,TEACHER,23
200,206,z,NW_L_SIMP,TOWERLA,15
200,208,z,FILL_NW,FROT,22
200,207,/,FILL_W,LEGAL,35
250,206,z,NW_L_SIMP,SMOOTHFIL,19
250,207,/,FILL_W,SPLICE,22
350,206,z,NW_L_SIMP,HABITIG,7
200,202,/,CW_L,SAILOR,43
400,203,z,NW_S_COMP,ALTARIC,7
350,201,/,CW_S,STRANGENESS,46
350,208,z,FILL_NW,DELP,14
350,201,/,CW_S,DENSELY,32
200,207,/,FILL_W,BRASS,10
400,204,z,NW_L_COMP,ANGELISH,7
250,202,/,CW_L,EXCITEMENT,38
200,203,z,NW_S_COMP,PILLIZE,13
400,205,z,NW_S_SIMP,AIDIG,4
250,202,/,CW_L,STRIKER,17
200,201,/,CW_S,LOCALLY,37
350,206,z,NW_L_SIMP,PICKENGE,5
200,201,/,CW_S,ENJOYMENT,40
400,202,/,CW_L,WRONGLY,37
200,203,z,NW_S_COMP,MELTANCE,1
250,207,/,FILL_W,SUIT,49
250,207,/,FILL_W,WEAVE,12
200,205,z,NW_S_SIMP,THRILLANGE,22
350,201,/,CW_S,BOSSY,49
250,205,z,NW_S_SIMP,DIGODY,11
400,207,/,FILL_W,LITHE,23
400,206,z,NW_L_SIMP,VALIDEL,23
250,204,z,NW_L_COMP,TRIPARY,2
200,206,z,NW_L_SIMP,GROWILT,20
400,207,/,FILL_W,QUIT,21
350,208,z,FILL_NW,DARF,10
250,208,z,FILL_NW,POLT,38
250,202,/,CW_L,PUSHER,13
300,204,z,NW_L_COMP,NORTHIZE,20
300,206,z,NW_L_SIMP,EARILT,12
250,203,z,NW_S_COMP,BEERER,5
300,207,/,FILL_W,BLUNT,4
300,204,z,NW_L_COMP,ADDMENT,13
400,207,/,FILL_W,STEEP,16
400,206,z,NW_L_SIMP,BLOODEL,24
200,203,z,NW_S_COMP,ADOPTILP,19
300,201,/,CW_S,INSISTENT,9
300,202,/,CW_L,PROFESSOR,47
250,207,/,FILL_W,STARVE,15
200,203,z,NW_S_COMP,ANTISM,8
400,208,z,FILL_NW,GIKE,24
400,207,/,FILL_W,CEASE,18
250,207,/,FILL_W,COOK,38
350,202,/,CW_L,FEEDER,14
300,207,/,FILL_W,BAKE,29
300,203,z,NW_S_COMP,CURTITY,11
300,201,/,CW_S,GUILTY,34
300,201,/,CW_S,RISKY,50
300,201,/,CW_S,MAGICAL,4
350,202,/,CW_L,PUNCHER,1
400,206,z,NW_L_SIMP,BOGADY,2
