ITI,cond_trig,cresp,targ_type,target,word_trig
300,201,/,CW_S,INSISTENT,9
200,208,z,FILL_NW,SMADE,42
400,203,z,NW_S_COMP,ALTARIG,7
300,204,z,NW_L_COMP,BINDIG,22
200,208,z,FILL_NW,GILN,25
400,202,/,CW_L,BLINDNESS,40
250,201,/,CW_S,COSTLY,36
400,205,z,NW_S_SIMP,URNIST,5
400,208,z,FILL_NW,BUTE,5
300,207,/,FILL_W,IRON,33
300,207,/,FILL_W,BAKE,29
350,201,/,CW_S,TEACHER,23
300,202,/,CW_L,DOUBTFUL,21
400,202,/,CW_L,STYLISH,29
200,208,z,FILL_NW,DARM,11
250,201,/,CW_S,AWARENESS,44
200,203,z,NW_S_COMP,ELMILT,10
250,201,/,CW_S,TUTORING,27
200,201,/,CW_S,BOLDNESS,41
300,204,z,NW_L_COMP,ILLILT,9
400,201,/,CW_S,AVOIDABLE,2
200,208,z,FILL_NW,HOITS,30
300,208,z,FILL_NW,VOGS,47
200,207,/,FILL_W,FLOAT,30
250,207,/,FILL_W,WEAVE,12
300,205,z,NW_S_SIMP,HEIRIC,3
350,201,/,CW_S,TOASTER,10
250,201,/,CW_S,MOSSY,47
200,205,z,NW_S_SIMP,OPPOSEMENT,8
250,204,z,NW_L_COMP,MUDLA,12
400,204,z,NW_L_COMP,BOIL,18
250,201,/,CW_S,HUGELY,35
300,206,z,NW_L_SIMP,TAXFUL,6
350,207,/,FILL_W,LEAK,9
200,208,z,FILL_NW,HESK,29
400,206,z,NW_L_SIMP,CLASSOUS,18
400,206,z,NW_L_SIMP,POORITY,13
250,201,/,CW_S,GRIMLY,31
200,207,/,FILL_W,WRECK,13
200,208,z,FILL_NW,FROT,22
300,205,z,NW_S_SIMP,WINKITY,21
200,207,/,FILL_W,TEST,47
200,201,/,CW_S,AMUSEMENT,38
350,202,/,CW_L,HUNTER,10
300,201,/,CW_S,DETECTABLE,1
350,204,z,NW_L_COMP,MOUTHIME,11
300,205,z,NW_S_SIMP,NEXTNESS,9
300,205,z,NW_S_SIMP,FEVERIZE,24
200,202,/,CW_L,BONELESS,34
200,208,z,FILL_NW,BROUPS,4
300,208,z,FILL_NW,KEMT,32
400,208,z,FILL_NW,FROES,21
400,205,z,NW_S_SIMP,AIDIC,4
250,207,/,FILL_W,SMOKE,50
250,201,/,CW_S,NOTICEABLE,3
200,205,z,NW_S_SIMP,JAWLY,7
350,202,/,CW_L,PUNCHER,1
250,202,/,CW_L,FLEXIBLE,22
250,207,/,FILL_W,TASTE,34
250,202,/,CW_L,PUSHER,13
200,202,/,CW_L,COLLECTOR,46
250,208,z,FILL_NW,LOLDS,34
400,205,z,NW_S_SIMP,SCHEMENESS,15
300,202,/,CW_L,MADNESS,41
200,203,z,NW_S_COMP,HAPPENANGE,2
250,201,/,CW_S,PLANNER,22
300,202,/,CW_L,PROFESSOR,47
250,201,/,CW_S,JAILER,13
250,208,z,FILL_NW,PIFTH,36
200,208,z,FILL_NW,PUCTS,40
350,203,z,NW_S_COMP,EJECTENGE,20
200,202,/,CW_L,BOOTLESS,32
400,202,/,CW_L,DRYNESS,42
300,208,z,FILL_NW,VOOFS,48
400,201,/,CW_S,EFFORTLESS,30
200,207,/,FILL_W,GOLF,28
250,207,/,FILL_W,SPLICE,22
250,208,z,FILL_NW,PHEEKS,35
350,208,z,FILL_NW,DOADS,15
300,204,z,NW_L_COMP,ADDMANT,13
350,205,z,NW_S_SIMP,BASKORY,10
400,204,z,NW_L_COMP,COLDIDY,10
350,206,z,NW_L_SIMP,NUTLY,14
300,205,z,NW_S_SIMP,WARNORY,12
350,201,/,CW_S,CHILLY,48
200,203,z,NW_S_COMP,ADOPTISH,19
350,207,/,FILL_W,LIFT,39
300,204,z,NW_L_COMP,SHEETEL,5
200,201,/,CW_S,LOCALLY,37
300,205,z,NW_S_SIMP,TILTARY,17
200,207,/,FILL_W,BRASS,10
300,208,z,FILL_NW,DASK,12
400,206,z,NW_L_SIMP,BLOODER,24
250,206,z,NW_L_SIMP,SMOOTHFUL,19
300,202,/,CW_L,COMPOSER,6
200,208,z,FILL_NW,BLAYS,8
250,202,/,CW_L,STRIKER,17
200,203,z,NW_S_COMP,MELTANGE,1
250,207,/,FILL_W,PREACH,7
300,204,z,NW_L_COMP,EMPLOYNELS,21
300,202,/,CW_L,KNOCKER,4
300,207,/,FILL_W,SICK,36
350,201,/,CW_S,SINGER,17
200,204,z,NW_L_COMP,FLIPODY,16
200,208,z,FILL_NW,TUEER,44
200,206,z,NW_L_SIMP,TOWERLY,15
300,207,/,FILL_W,BLUNT,4
350,206,z,NW_L_SIMP,WITCHISH,11
300,202,/,CW_L,WEEDY,48
350,208,z,FILL_NW,KRAISE,33
250,207,/,FILL_W,SLIM,6
350,206,z,NW_L_SIMP,CRITICANCE,22
300,207,/,FILL_W,MOURN,26
350,202,/,CW_L,FEEDER,14
400,208,z,FILL_NW,HEND,28
250,201,/,CW_S,MILDNESS,42
400,201,/,CW_S,DIETARY,6
400,207,/,FILL_W,CHIP,11
200,204,z,NW_L_COMP,PITCHODY,25
350,203,z,NW_S_COMP,PRINCEMANT,17
250,207,/,FILL_W,SHIP,37
400,202,/,CW_L,CONDUCTOR,44
350,202,/,CW_L,JUMPING,30
350,208,z,FILL_NW,DELP,14
400,202,/,CW_L,QUIETLY,36
300,206,z,NW_L_SIMP,PRAYANCE,1
250,206,z,NW_L_SIMP,SHOOTMENT,16
200,204,z,NW_L_COMP,GASFIL,6
350,201,/,CW_S,RICHNESS,45
250,208,z,FILL_NW,PLAODS,37
250,205,z,NW_S_SIMP,ZOOMFUL,19
300,202,/,CW_L,HEATER,16
400,203,z,NW_S_COMP,TRUENELS,15
400,203,z,NW_S_COMP,ARIDILM,9
300,201,/,CW_S,BUYER,21
400,202,/,CW_L,WRONGLY,37
200,208,z,FILL_NW,CINDS,6
200,203,z,NW_S_COMP,PILLIME,13
350,201,/,CW_S,BOSSY,49
200,205,z,NW_S_SIMP,GUMFUL,2
300,203,z,NW_S_COMP,FIGEL,4
350,208,z,FILL_NW,DARF,10
400,207,/,FILL_W,LITHE,23
350,201,/,CW_S,AMAZEMENT,39
200,203,z,NW_S_COMP,DUMBIDY,12
400,207,/,FILL_W,STEEP,16
300,205,z,NW_S_SIMP,YIELDIST,20
350,205,z,NW_S_SIMP,ACREMENT,16
250,208,z,FILL_NW,POLT,38
250,203,z,NW_S_COMP,TREASONIME,14
400,208,z,FILL_NW,BALFS,2
350,208,z,FILL_NW,BLANTH,3
250,208,z,FILL_NW,BUWL,9
400,204,z,NW_L_COMP,FLITENGE,3
300,206,z,NW_L_SIMP,BEGENCE,4
200,202,/,CW_L,SAILOR,43
400,207,/,FILL_W,QUIT,21
350,207,/,FILL_W,GLOOM,14
350,202,/,CW_L,RENTER,9
200,208,z,FILL_NW,FALONS,19
400,202,/,CW_L,LOCKER,8
350,202,/,CW_L,GUILELESS,31
