subject_nr,counter,cond_trig,word_trig,targ_type,target,correct,response_time,InvRT,LogRT
S201,1,206,13,NW_L_SIMP,POORIDY,0,1221,0.000819000819000819,3.08671566394488
S201,2,207,50,FILL_W,SMOKE,0,117,0.00854700854700855,2.06818586174616
S201,3,201,38,CW_S,AMUSEMENT,0,1220,0.000819672131147541,3.08635983067475
S201,4,202,18,CW_L,PAINTER,1,980,0.00102040816326531,2.99122607569249
S201,5,202,23,CW_L,KICKING,1,704,0.00142045454545455,2.84757265914211
S201,6,202,13,CW_L,PUSHER,1,837,0.001194743130227,2.92272545799326
S201,7,202,24,CW_L,COOLING,1,649,0.00154083204930663,2.81224469680037
S201,8,207,25,FILL_W,EAT,1,597,0.0016750418760469,2.77597433112937
S201,9,208,43,FILL_NW,SOISE,1,775,0.00129032258064516,2.88930170250631
S201,10,205,1,NW_S_SIMP,SOCKETEL,1,807,0.00123915737298637,2.90687353472207
S201,11,201,26,CW_S,TOSSING,1,990,0.00101010101010101,2.99563519459755
S201,12,208,29,FILL_NW,HESK,1,700,0.00142857142857143,2.84509804001426
S201,13,202,43,CW_L,SAILOR,1,713,0.00140252454417952,2.85308952985187
S201,14,208,35,FILL_NW,PHEEKS,1,777,0.00128700128700129,2.89042101880091
S201,15,206,17,NW_L_SIMP,LONGNELS,1,779,0.00128369704749679,2.89153745767256
S201,16,205,3,NW_S_SIMP,HEIRIG,0,1220,0.000819672131147541,3.08635983067475
S201,17,207,33,FILL_W,IRON,1,742,0.00134770889487871,2.87040390527903
S201,18,208,2,FILL_NW,BALFS,1,707,0.00141442715700141,2.8494194137969
S201,19,204,10,NW_L_COMP,COLDITY,1,776,0.00128865979381443,2.88986172125819
S201,20,202,32,CW_L,BOOTLESS,0,1219,0.000820344544708778,3.08600370561838
S201,21,208,38,FILL_NW,POLT,1,722,0.00138504155124654,2.85853719756964
S201,22,204,6,NW_L_COMP,GASFUL,0,1221,0.000819000819000819,3.08671566394488
S201,23,202,40,CW_L,BLINDNESS,1,621,0.00161030595813205,2.79309160017658
S201,24,208,16,FILL_NW,DOWED,1,888,0.00112612612612613,2.9484129657786
S201,25,208,13,FILL_NW,DASP,1,751,0.00133155792276964,2.87563993700417
S201,26,201,44,CW_S,AWARENESS,1,1140,0.00087719298245614,3.05690485133647
S201,27,205,13,NW_S_SIMP,BOLTOES,1,1029,0.000971817298347911,3.01241537476243
