Marker,response_trig,TimeMS,Size,ChanNum,RT,word_trig,cond_trig,subject_nr
Mk4,S221,138914,1,0,1221,13,206,S201
Mk7,S221,142113,1,0,117,50,207,S201
Mk10,S221,146279,1,0,1220,38,201,S201
Mk13,S220,151657,1,0,980,18,202,S201
Mk16,S220,155361,1,0,704,23,202,S201
Mk19,S220,159201,1,0,837,13,202,S201
Mk22,S220,164281,1,0,649,24,202,S201
Mk25,S220,167953,1,0,597,25,207,S201
Mk28,S220,171770,1,0,775,43,208,S201
Mk31,S220,177145,1,0,807,1,205,S201
Mk34,S220,181090,1,0,990,26,201,S201
Mk37,S220,184682,1,0,700,29,208,S201
Mk40,S220,189746,1,0,713,43,202,S201
Mk43,S220,193378,1,0,777,35,208,S201
Mk46,S220,197074,1,0,779,17,206,S201
Mk49,S221,202745,1,0,1220,3,205,S201
Mk52,S220,206442,1,0,742,33,207,S201
Mk55,S220,210106,1,0,707,2,208,S201
Mk58,S220,215435,1,0,776,10,204,S201
Mk61,S221,219704,1,0,1219,32,202,S201
Mk64,S220,223267,1,0,722,38,208,S201
Mk67,S221,228884,1,0,1221,6,204,S201
Mk70,S220,232354,1,0,621,40,202,S201
Mk73,S220,236291,1,0,888,16,208,S201
Mk76,S220,241467,1,0,751,13,208,S201
Mk79,S220,245611,1,0,1140,44,201,S201
Mk82,S220,249539,1,0,1029,13,205,S201
Mk85,S220,254795,1,0,748,49,201,S201
Mk88,S220,258364,1,0,559,38,207,S201
Mk91,S220,261931,1,0,663,45,207,S201
Mk94,S221,267496,1,0,1221,3,204,S201
Mk97,S220,271491,1,0,917,23,204,S201
Mk100,S220,275147,1,0,774,6,201,S201
Mk103,S220,280404,1,0,684,9,208,S201
Mk106,S220,284100,1,0,798,46,208,S201
Mk109,S220,288308,1,0,1165,20,206,S201
Mk112,S221,293908,1,0,1221,33,201,S201
Mk115,S220,297780,1,0,828,37,208,S201
Mk118,S220,301396,1,0,686,30,208,S201
Mk121,S221,306971,1,0,1220,14,203,S201
Mk124,S220,310700,1,0,833,1,206,S201
Mk127,S221,314865,1,0,1220,42,201,S201
Mk130,S220,320124,1,0,837,7,206,S201
Mk133,S220,323901,1,0,762,24,207,S201
Mk136,S220,327589,1,0,788,50,208,S201
Mk139,S220,332916,1,0,780,3,206,S201
Mk142,S220,336821,1,0,955,4,204,S201
Mk145,S220,340581,1,0,709,10,207,S201
Mk148,S220,345725,1,0,789,18,208,S201
Mk151,S220,349837,1,0,1157,24,204,S201
Mk154,S220,353701,1,0,864,12,207,S201
Mk157,S220,358853,1,0,722,44,207,S201
Mk160,S221,362921,1,0,1220,8,201,S201
Mk163,S221,367133,1,0,1220,28,202,S201
Mk166,S221,372817,1,0,1221,16,207,S201
Mk169,S220,376557,1,0,688,29,202,S201
Mk172,S220,380293,1,0,685,47,201,S201
Mk175,S220,385710,1,0,996,30,201,S201
Mk178,S220,389350,1,0,594,43,207,S201
Mk181,S220,393190,1,0,940,19,203,S201
Mk184,S220,398246,1,0,688,16,201,S201
Mk187,S221,402182,1,0,1036,48,202,S201
Mk190,S220,405750,1,0,614,22,202,S201
Mk193,S220,411222,1,0,1071,25,206,S201
Mk196,S220,414862,1,0,727,37,201,S201
Mk199,S220,418662,1,0,947,12,204,S201
Mk202,S220,424207,1,0,1123,7,202,S201
Mk205,S220,427942,1,0,733,22,208,S201
Mk208,S221,432028,1,0,1220,4,202,S201
Mk211,S220,437079,1,0,589,19,201,S201
Mk214,S220,440783,1,0,649,45,202,S201
Mk217,S221,445027,1,0,1221,41,207,S201
Mk220,S220,450647,1,0,1203,32,207,S201
Mk223,S220,454631,1,0,1124,25,205,S201
Mk226,S220,458431,1,0,746,28,207,S201
Mk229,S221,472273,1,0,1221,27,202,S201
Mk232,S220,475863,1,0,700,3,202,S201
Mk235,S220,479663,1,0,748,21,203,S201
Mk238,S220,484872,1,0,704,39,202,S201
Mk241,S220,488903,1,0,1132,23,207,S201
Mk244,S220,492584,1,0,642,39,207,S201
Mk247,S220,497680,1,0,576,42,207,S201
Mk250,S220,501240,1,0,597,5,201,S201
Mk253,S220,505072,1,0,787,21,202,S201
Mk256,S220,510312,1,0,795,23,206,S201
Mk259,S220,514312,1,0,960,21,205,S201
Mk262,S220,517976,1,0,720,28,208,S201
Mk265,S220,523536,1,0,1009,21,208,S201
Mk268,S220,527728,1,0,1144,18,203,S201
Mk271,S220,531809,1,0,1066,14,201,S201
Mk274,S220,536944,1,0,661,19,207,S201
Mk277,S221,540896,1,0,889,31,202,S201
Mk280,S220,544585,1,0,684,17,207,S201
Mk283,S221,550309,1,0,1221,8,203,S201
Mk286,S220,553801,1,0,636,10,202,S201
Mk289,S220,557665,1,0,847,9,203,S201
Mk292,S220,563161,1,0,932,4,205,S201
Mk295,S221,567429,1,0,1221,24,203,S201
Mk298,S220,571457,1,0,1038,11,206,S201
Mk301,S220,576978,1,0,1006,18,205,S201
Mk304,S220,580906,1,0,891,49,202,S201
Mk307,S220,584633,1,0,845,38,202,S201
Mk310,S221,590265,1,0,1164,7,204,S201
Mk313,S220,594218,1,0,879,17,204,S201
Mk316,S220,597826,1,0,654,1,207,S201
Mk319,S220,602970,1,0,592,13,207,S201
Mk322,S220,606394,1,0,580,34,201,S201
Mk325,S220,610490,1,0,1150,22,203,S201
Mk328,S220,615786,1,0,792,4,203,S201
Mk331,S220,619602,1,0,831,26,202,S201
Mk334,S220,623330,1,0,719,4,208,S201
Mk337,S220,628587,1,0,913,32,201,S201
Mk340,S220,632618,1,0,1035,22,205,S201
Mk343,S220,636114,1,0,658,46,202,S201
Mk346,S220,641322,1,0,857,17,205,S201
Mk349,S220,644987,1,0,720,5,206,S201
Mk352,S221,649208,1,0,1221,25,203,S201
