Base,STRING,target,affix,Source,WrdFrq,Log10WF,LogLNWF,BF,Log10BF,LogLNBF,LogBF,FS,BaseLength,WholeFormLength,cond_trig,word_trig,targ_type,FS_Split,BF_Split
bone,boneless,boneless,less,Graves,0.356957,-0.44738,-1.03014,1490,3.17319,7.30653,7.31,35,4,8,202,34,CW_L,Large,High
clean,cleaner,cleaner,er,XuTaft,9.8163,0.99195,2.28404,2854,3.45545,7.95648,7.96,29,5,7,202,15,CW_L,Large,High
collect,collector,collector,or,XuTaft,7.25812,0.86082,1.98212,3221,3.50799,8.07745,8.08,23,7,9,202,46,CW_L,Large,High
dance,dancer,dancer,er,FORD,6.42522,0.80789,1.86023,2003,3.30168,7.6024,7.6,16,5,6,202,11,CW_L,Large,High
doubt,doubtful,doubtful,ful,FORD,14.3378,1.15648,2.6629,4135,3.61648,8.32724,8.33,8,5,8,202,21,CW_L,Large,High
dream,dreamer,dreamer,er,Rastle,1.6063,0.20583,0.47393,2325,3.36642,7.75148,7.75,19,5,7,202,12,CW_L,Large,High
dry,dryness,dryness,ness,XuTaft,1.18986,0.0755,0.17384,2366,3.37401,7.76896,7.77,19,3,7,202,42,CW_L,Large,High
excite,excitement,excitement,ment,FORD,38.5513,1.58604,3.65199,1924,3.28421,7.56216,7.56,9,6,10,202,38,CW_L,Large,High
feed,feeder,feeder,er,FORD,1.13036,0.05322,0.12254,2806,3.44809,7.93952,7.94,11,4,6,202,14,CW_L,Large,High
guard,guarding,guarding,ing,RastleFiller,4.87841,0.68828,1.58482,2047,3.31112,7.62413,7.62,28,5,8,202,26,CW_L,Large,High
heat,heater,heater,er,FORD,2.85565,0.4557,1.0493,2881,3.45954,7.96589,7.97,15,4,6,202,16,CW_L,Large,High
hunt,hunter,hunter,er,FORD,11.8391,1.07332,2.47141,1762,3.24601,7.4742,7.47,18,4,6,202,10,CW_L,Large,High
laugh,laughing,laughing,ing,RastleFiller,44.0246,1.6437,3.78475,4181,3.62128,8.33831,8.34,18,5,8,202,27,CW_L,Large,High
lock,locker,locker,er,RastleFiller,5.29486,0.72385,1.66674,1654,3.21854,7.41095,7.41,18,4,6,202,8,CW_L,Large,High
paint,painter,painter,er,RastleFiller,19.3351,1.28635,2.96192,3666,3.56419,8.20686,8.21,17,5,7,202,18,CW_L,Large,High
park,parking,parking,ing,RastleFiller,14.8137,1.17066,2.69555,1945,3.28892,7.57302,7.57,9,4,7,202,25,CW_L,Large,High
profess,professor,professor,pr,RastleFiller,74.9609,1.87483,4.31697,3563,3.55182,8.17836,8.18,14,7,9,202,47,CW_L,Large,High
push,pusher,pusher,er,RastleFiller,0.475942,-0.32245,-0.74246,2507,3.39915,7.82684,7.83,17,4,6,202,13,CW_L,Large,High
quiet,quietly,quietly,ly,Rastle,57.8865,1.76258,4.05848,2691,3.42991,7.89767,7.9,18,5,7,202,36,CW_L,Large,High
rent,renter,renter,er,RastleFiller,0.118986,-0.9245,-2.12875,1690,3.22789,7.43248,7.43,13,4,6,202,9,CW_L,Large,High
shape,shapely,shapely,ly,XuTaft,2.55819,0.40793,0.9393,1909,3.28081,7.55433,7.55,12,5,7,202,35,CW_L,Large,High
strike,striker,striker,er,Graves,0.475942,-0.32245,-0.74246,3414,3.53326,8.13564,8.14,17,6,7,202,17,CW_L,Large,High
style,stylish,stylish,ish,XuTaft,2.32022,0.36553,0.84166,2119,3.32613,7.6587,7.66,16,5,7,202,29,CW_L,Large,High
wrong,wrongly,wrongly,ly,FORD,6.00877,0.77879,1.79322,3532,3.54802,8.16962,8.17,12,5,7,202,37,CW_L,Large,High
allow,allowance,allowance,ance,RastleFiller,18.4428,1.26583,2.91467,5014,3.70018,8.51999,8.52,5,5,9,201,5,CW_S,Small,High
attack,attacker,attacker,er,FORD,5.94928,0.77446,1.78327,3385,3.52956,8.12711,8.13,6,6,8,201,20,CW_S,Small,High
avoid,avoidable,avoidable,able,XuTaft,1.18986,0.0755,0.17384,2172,3.33686,7.6834,7.68,5,5,9,201,2,CW_S,Small,High
aware,awareness,awareness,ness,FORD,25.4629,1.40591,3.23722,2391,3.37858,7.77947,7.78,4,5,9,201,44,CW_S,Small,High
buy,buyer,buyer,er,FORD,4.04551,0.60697,1.39761,4386,3.64207,8.38617,8.39,3,3,5,201,21,CW_S,Small,High
campaign,campaigner,campaigner,er,FORD,1.78478,0.25158,0.5793,2003,3.30168,7.6024,7.6,3,8,10,201,15,CW_S,Small,High
cost,costly,costly,ly,FORD,11.3631,1.0555,2.43037,4215,3.6248,8.3464,8.35,6,4,6,201,36,CW_S,Small,High
designer,design,design,er,RastleFiller,81.6241,1.91182,4.40212,3296,3.51799,8.10046,8.1,7,8,6,201,19,CW_S,Small,High
destroy,destroyer,destroyer,er,FORD,3.92652,0.59401,1.36775,1906,3.28012,7.55276,7.55,3,7,9,201,14,CW_S,Small,High
effort,effortless,effortless,less,FORD,1.90377,0.27961,0.64384,2456,3.39023,7.80629,7.81,4,6,10,201,30,CW_S,Small,High
enjoy,enjoyment,enjoyment,ment,FORD,11.8391,1.07332,2.47141,2771,3.44264,7.92696,7.93,4,5,9,201,40,CW_S,Small,High
guilt,guilty,guilty,ly,RastleFiller,51.4612,1.71148,3.94083,1576,3.19756,7.36265,7.36,7,5,6,201,34,CW_S,Small,High
huge,hugely,hugely,ly,FORD,2.97464,0.47343,1.09012,1918,3.28285,7.55904,7.56,3,4,6,201,35,CW_S,Small,High
insist,insistent,insistent,ent,RastleFiller,4.58094,0.66095,1.5219,1631,3.21245,7.39695,7.4,5,6,9,201,9,CW_S,Small,High
listen,listener,listener,er,FORD,4.99739,0.69874,1.60892,3081,3.48869,8.03301,8.03,4,6,8,201,18,CW_S,Small,High
local,locally,locally,ly,FORD,10.8277,1.03454,2.38211,4485,3.65176,8.40849,8.41,7,5,7,201,37,CW_S,Small,High
notice,noticeable,noticeable,able,FORD,10.9467,1.03928,2.39304,3426,3.53479,8.13915,8.14,6,6,10,201,3,CW_S,Small,High
plan,planner,planner,er,FORD,2.61768,0.41792,0.96229,5475,3.73838,8.60795,8.61,4,4,7,201,22,CW_S,Small,High
rich,richness,richness,ness,FORD,5.23536,0.71895,1.65544,2868,3.45758,7.96137,7.96,7,4,8,201,45,CW_S,Small,High
risk,risky,risky,y,RastleFiller,5.83029,0.76569,1.76307,1827,3.26174,7.51043,7.51,5,4,5,201,50,CW_S,Small,High
seek,seeker,seeker,er,Rastle,0.773406,-0.11159,-0.25695,2155,3.33345,7.67555,7.68,7,4,6,201,16,CW_S,Small,High
sing,singer,singer,er,FORD,6.48471,0.81189,1.86945,2186,3.33965,7.68983,7.69,4,4,6,201,17,CW_S,Small,High
strange,strangeness,strangeness,ness,FORD,3.62906,0.55979,1.28897,2912,3.46419,7.9766,7.98,4,7,11,201,46,CW_S,Small,High
teach,teacher,teacher,er,RastleFiller,71.7483,1.85581,4.27316,5662,3.75297,8.64153,8.64,6,5,7,201,23,CW_S,Small,High
bark,barker,barker,er,Graves,3.80754,0.58064,1.33698,387,2.58771,5.95842,5.96,8,4,6,202,2,CW_L,Large,Low
blind,blindness,blindness,ness,FORD,4.52145,0.65528,1.50883,1024,3.0103,6.93147,6.93,16,5,9,202,40,CW_L,Large,Low
bomb,bomber,bomber,er,Rastle,2.97464,0.47343,1.09012,1208,3.08207,7.09672,7.1,24,4,6,202,7,CW_L,Large,Low
boot,bootless,bootless,less,Graves,0.0594928,-1.22554,-2.8219,940,2.97313,6.84588,6.85,19,4,8,202,32,CW_L,Large,Low
cloud,cloudless,cloudless,less,RastleFiller,1.42783,0.15468,0.35616,1181,3.07225,7.07412,7.07,14,5,9,202,33,CW_L,Large,Low
compose,composer,composer,er,FORD,6.66319,0.82368,1.8966,1187,3.07445,7.07918,7.08,13,7,8,202,6,CW_L,Large,Low
conduct,conductor,conductor,or,RastleFiller,6.72268,0.82754,1.90549,1084,3.03503,6.98841,6.99,16,7,9,202,44,CW_L,Large,Low
