Condition,base,word,word_trig,affix,Source,FS,BF,LogBF,Complexity,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,cond_trig,List
NW_S_COMP,happen,happenance,2,ance,Crepaldi,3,6982,8.85,Complex,Small,High,6.00,10.00,1,203,AB
NW_S_COMP,beer,beerer,5,er,Crepaldi,2,853,6.75,Complex,Small,High,4.00,6.00,1,203,AB
NW_S_COMP,branch,brancher,16,er,Graves,3,1692,7.43,Complex,Small,High,6.00,8.00,1,203,AB
NW_S_COMP,prince,princement,17,ment,Graves,4,910,6.81,Complex,Small,High,6.00,10.00,1,203,AB
NW_S_COMP,height,heightence,18,ence,Rastle,2,912,6.82,Complex,Small,High,6.00,10.00,1,203,AB
NW_S_COMP,adopt,adopt,19,ish,Rastle,4,1205,7.09,Complex,Small,High,5.00,5.00,1,203,AB
NW_L_COMP,stir,stirance,1,ance,Crepaldi,12,841,6.73,Complex,Large,High,4.00,8.00,1,204,AB
NW_L_COMP,trip,tripary,2,ary,Crepaldi,9,1382,7.23,Complex,Large,High,4.00,7.00,1,204,AB
NW_L_COMP,sheet,sheeter,5,er,Crepaldi,14,1009,6.92,Complex,Large,High,5.00,7.00,1,204,AB
NW_L_COMP,gas,gasful,6,ful,Crepaldi,33,1501,7.31,Complex,Large,High,3.00,6.00,1,204,AB
NW_L_COMP,ill,illist,9,ist,Crepaldi,27,2375,7.77,Complex,Large,High,3.00,6.00,1,204,AB
NW_L_COMP,cold,coldity,10,ity,Crepaldi,14,3585,8.18,Complex,Large,High,4.00,7.00,1,204,AB
NW_L_COMP,mouth,mouthize,11,ize,Crepaldi,18,2866,7.96,Complex,Large,High,5.00,8.00,1,204,AB
NW_L_COMP,mud,mudly,12,ly,Crepaldi,16,912,6.82,Complex,Large,High,3.00,5.00,1,204,AB
NW_L_COMP,add,addment,13,ment,Crepaldi,10,5883,8.68,Complex,Large,High,3.00,7.00,1,204,AB
NW_L_COMP,pass,passment,14,ment,Crepaldi,43,10035,9.21,Complex,Large,High,4.00,8.00,1,204,AB
NW_L_COMP,free,freeness,15,ness,Crepaldi,88,7277,8.89,Complex,Large,High,4.00,8.00,1,204,AB
NW_L_COMP,fellow,fellowous,17,ous,Crepaldi,11,1324,7.19,Complex,Large,High,6.00,9.00,1,204,AB
NW_L_COMP,boil,boilous,18,ous,Graves,13,1102,7.00,Complex,Large,High,4.00,7.00,1,204,AB
NW_L_COMP,king,kingism,19,ish,Rastle,11,2275,7.73,Complex,Large,High,4.00,7.00,1,204,AB
NW_L_COMP,north,northize,20,ize,Rastle,30,2541,7.84,Complex,Large,High,5.00,8.00,1,204,AB
NW_L_COMP,employ,employness,21,ness,Rastle,12,4622,8.44,Complex,Large,High,6.00,10.00,1,204,AB
NW_L_COMP,break,breakity,23,ity,RastleFiller,43,6366,8.76,Complex,Large,High,5.00,8.00,1,204,AB
NW_L_COMP,agree,agreely,24,ly,RastleFiller,9,4745,8.46,Complex,Large,High,5.00,7.00,1,204,AB
NW_S_COMP,melt,meltance,1,ance,Crepaldi,5,429,6.06,Complex,Small,Low,4.00,8.00,1,203,AB
NW_S_COMP,lid,lidary,3,ary,Crepaldi,3,523,6.26,Complex,Small,Low,3.00,6.00,1,203,AB
NW_S_COMP,fig,figer,4,er,Crepaldi,3,196,5.28,Complex,Small,Low,3.00,5.00,1,203,AB
NW_S_COMP,fan,fanful,6,ful,Crepaldi,4,473,6.16,Complex,Small,Low,3.00,6.00,1,203,AB
NW_S_COMP,altar,altaric,7,ic,Crepaldi,2,403,6.00,Complex,Small,Low,5.00,7.00,1,203,AB
NW_S_COMP,ant,antism,8,ish,Crepaldi,1,206,5.33,Complex,Small,Low,3.00,6.00,1,203,AB
NW_S_COMP,arid,aridism,9,ish,Crepaldi,3,100,4.61,Complex,Small,Low,4.00,7.00,1,203,AB
NW_S_COMP,elm,elmist,10,ist,Crepaldi,2,175,5.16,Complex,Small,Low,3.00,6.00,1,203,AB
NW_S_COMP,curt,curtity,11,ity,Crepaldi,3,88,4.48,Complex,Small,Low,4.00,7.00,1,203,AB
NW_S_COMP,dumb,dumbity,12,ity,Crepaldi,6,244,5.50,Complex,Small,Low,4.00,7.00,1,203,AB
NW_S_COMP,pill,pillize,13,ize,Crepaldi,5,537,6.29,Complex,Small,Low,4.00,7.00,1,203,AB
NW_S_COMP,treason,treasonize,14,ize,Crepaldi,4,138,4.93,Complex,Small,Low,7.00,10.00,1,203,AB
NW_S_COMP,TRUE,trueness,15,ness,Crepaldi,6,6,1.79,Complex,Small,Low,4.00,8.00,1,203,AB
NW_S_COMP,eject,ejectence,20,ence,RastleFiller,5,66,4.19,Complex,Small,Low,5.00,9.00,1,203,AB
NW_S_COMP,weld,weldic,21,ic,RastleFiller,3,129,4.86,Complex,Small,Low,4.00,6.00,1,203,AB
NW_S_COMP,debt,debtish,22,ish,RastleFiller,4,656,6.49,Complex,Small,Low,4.00,7.00,1,203,AB
NW_S_COMP,yank,yankory,23,ory,RastleFiller,2,51,3.93,Complex,Small,Low,4.00,7.00,1,203,AB
NW_S_COMP,fiend,fiendism,24,ism,XuTaft,4,53,3.97,Complex,Small,Low,5.00,8.00,1,203,AB
NW_S_COMP,humid,humidous,25,ous,XuTaft,4,92,4.52,Complex,Small,Low,5.00,8.00,1,203,AB
NW_L_COMP,flit,flitence,3,ence,Crepaldi,11,599,6.40,Complex,Large,Low,4.00,8.00,1,204,AB
NW_L_COMP,rip,ripence,4,ence,Crepaldi,8,471,6.15,Complex,Large,Low,3.00,7.00,1,204,AB
NW_L_COMP,angel,angelish,7,ish,Crepaldi,17,652,6.48,Complex,Large,Low,5.00,8.00,1,204,AB
NW_L_COMP,ink,inkism,8,ish,Crepaldi,12,290,5.67,Complex,Large,Low,3.00,6.00,1,204,AB
NW_L_COMP,flip,flipory,16,ory,Crepaldi,10,184,5.21,Complex,Large,Low,4.00,7.00,1,204,AB
NW_L_COMP,bind,bindic,22,ic,RastleFiller,14,451,6.11,Complex,Large,Low,4.00,6.00,1,204,AB
NW_L_COMP,pitch,pitchory,25,ory,RastleFiller,10,610,6.41,Complex,Large,Low,5.00,8.00,1,204,AB
NW_S_SIMP,aid,aidig,4,ic,Crepaldi,4,1159,7.06,Simple,Small,High,3.00,5.00,2,205,AB
NW_S_SIMP,oppose,opposemant,8,ment,Crepaldi,1,994,6.90,Simple,Small,High,6.00,10.00,2,205,AB
NW_S_SIMP,next,nextnels,9,ness,Crepaldi,4,7415,8.91,Simple,Small,High,4.00,8.00,2,205,AB
NW_S_SIMP,dig,digody,11,ory,Crepaldi,3,777,6.66,Simple,Small,High,3.00,6.00,2,205,AB
NW_S_SIMP,warn,warnody,12,ory,Crepaldi,5,1697,7.44,Simple,Small,High,4.00,7.00,2,205,AB
NW_S_SIMP,scheme,schemenels,15,ness,Graves,3,1619,7.39,Simple,Small,High,6.00,10.00,2,205,AB
NW_S_SIMP,acre,acremant,16,ment,Rastle,3,708,6.56,Simple,Small,High,4.00,8.00,2,205,AB
NW_S_SIMP,medical,medicalady,18,ary,RastleFiller,3,1323,7.19,Simple,Small,High,7.00,10.00,2,205,AB
NW_L_SIMP,pray,prayange,1,ance,Crepaldi,9,1055,6.96,Simple,Large,High,4.00,8.00,2,206,AB
NW_L_SIMP,band,bandady,3,ary,Crepaldi,26,981,6.89,Simple,Large,High,4.00,7.00,2,206,AB
NW_L_SIMP,pick,pickenge,5,ence,Crepaldi,20,3385,8.13,Simple,Large,High,4.00,8.00,2,206,AB
NW_L_SIMP,tax,taxfil,6,ful,Crepaldi,14,2763,7.92,Simple,Large,High,3.00,6.00,2,206,AB
NW_L_SIMP,habit,habitig,7,ic,Crepaldi,16,2066,7.63,Simple,Large,High,5.00,7.00,2,206,AB
NW_L_SIMP,elbow,elbowilm,10,ish,Crepaldi,18,1756,7.47,Simple,Large,High,5.00,8.00,2,206,AB
NW_L_SIMP,witch,witchith,11,ish,Crepaldi,11,890,6.79,Simple,Large,High,5.00,8.00,2,206,AB
NW_L_SIMP,poor,pooridy,13,ity,Crepaldi,11,4350,8.38,Simple,Large,High,4.00,7.00,2,206,AB
NW_L_SIMP,nut,nutla,14,ly,Crepaldi,31,946,6.85,Simple,Large,High,3.00,5.00,2,206,AB
NW_L_SIMP,tower,towerla,15,ly,Crepaldi,9,1180,7.07,Simple,Large,High,5.00,7.00,2,206,AB
NW_L_SIMP,shoot,shootmant,16,ment,Crepaldi,23,1828,7.51,Simple,Large,High,5.00,9.00,2,206,AB
NW_L_SIMP,long,longnels,17,ness,Crepaldi,59,19076,9.86,Simple,Large,High,4.00,8.00,2,206,AB
NW_L_SIMP,class,classoes,18,ous,Crepaldi,29,6216,8.73,Simple,Large,High,5.00,8.00,2,206,AB
NW_L_SIMP,smooth,smoothfil,19,ful,Graves,12,1042,6.95,Simple,Large,High,6.00,9.00,2,206,AB
