"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"400","0","0","994","994","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","52301","1000","0.0191200933061","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","125906","994","2","legacy","1024","2","48000","-16","BA_m21","151","odd","FILL_NW","GIKE","2069","130869","129202","NA","127989","NA","NA","NA","NA","NA","129699","NA","128697","NA","128628","130863","2083","131269","NA","NA","129869","2069","2069","130261","128628","2069","129869","131269","morph21_Oliver/Morris","0","994","1","yes","1280","24"
"250","0","0","742.5","742.5","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","68505","1000","0.0145974746369","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","491","NA","NA","NA","NA","125906","491","2","legacy","1024","2","48000","-16","BA_m21","151","odd","NW_S_COMP","TREASONIME","2069","134186","132477","NA","127989","NA","NA","NA","NA","NA","132974","NA","131977","NA","131971","134178","2083","134436","NA","NA","133186","2069","2069","133577","131971","2069","133186","134436","morph21_Oliver/Morris","0","1485","2","yes","1280","14"
"400","33.3333333333","33.3333333333","759","759","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","55715","1000","0.0179484878399","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","792","NA","NA","NA","NA","125906","792","2","legacy","1024","2","48000","-16","BA_m21","151","odd","FILL_NW","ULNS","2069","138770","135602","137262","127989","NA","NA","NA","NA","137258","136100","NA","135102","NA","135099","137258","2083","139170","NA","NA","136269","2069","2069","136662","135099","2069","136269","139170","morph21_Oliver/Morris","1","2277","3","yes","1280","45"
"250","50","50","795.75","795.75","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","53592","1000","0.0186595014181","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","906","NA","NA","NA","NA","125906","906","2","legacy","1024","2","48000","-16","BA_m21","151","odd","NW_S_COMP","LIDADY","2069","141987","140312","137262","127989","NA","NA","NA","NA","141978","140809","NA","139812","NA","139807","141978","2083","142237","NA","NA","140987","2069","2069","141379","139807","2069","140987","142237","morph21_Oliver/Morris","2","3183","4","yes","1280","3"
"250","60","60","743.8","743.8","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","74800","1000","0.0133689839572","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","536","NA","NA","NA","NA","125906","536","2","legacy","1024","2","48000","-16","BA_m21","151","odd","CW_S","NOTICEABLE","2069","145046","143396","137262","127989","NA","NA","NA","NA","145037","143893","NA","142895","NA","142884","145037","2083","145296","NA","NA","144045","2069","2069","144437","142884","2069","144045","145296","morph21_Oliver/Morris","3","3719","5","yes","1280","3"
"300","66.6666666667","66.6666666667","712.666666667","712.666666667","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","64398","1000","0.01552843256","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","557","NA","NA","NA","NA","125906","557","2","legacy","1024","2","48000","-16","BA_m21","151","odd","CW_L","KNOCKER","2069","149612","146454","148104","127989","NA","NA","NA","NA","148095","146951","NA","145954","NA","145946","148095","2083","149913","NA","NA","147104","2069","2069","147496","145946","2069","147104","149913","morph21_Oliver/Morris","4","4276","6","yes","1280","4"
"400","71.4285714286","71.4285714286","689.857142857","689.857142857","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","68289","1000","0.0146436468538","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","553","NA","NA","NA","NA","125906","553","2","legacy","1024","2","48000","-16","BA_m21","151","odd","CW_S","RAIDER","2069","152771","151096","148104","127989","NA","NA","NA","NA","152763","151593","NA","150596","NA","150592","152763","2083","153171","NA","NA","151771","2069","2069","152163","150591","2069","151771","153171","morph21_Oliver/Morris","5","4829","7","yes","1280","12"
"350","75","75","685","685","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","65606","1000","0.0152425083072","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","651","NA","NA","NA","NA","125906","651","2","legacy","1024","2","48000","-16","BA_m21","151","odd","FILL_NW","DASP","2069","156114","154389","148104","127989","NA","NA","NA","NA","156109","154886","NA","153889","NA","153877","156109","2083","156464","NA","NA","155114","2069","2069","155514","153877","2069","155114","156464","morph21_Oliver/Morris","6","5480","8","yes","1280","13"
"250","77.7777777778","77.7777777778","653.222222222","653.222222222","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","71981","1000","0.0138925549798","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","399","NA","NA","NA","NA","125906","399","2","legacy","1024","2","48000","-16","BA_m21","151","odd","CW_S","AWARENESS","2069","160839","157647","159330","127989","NA","NA","NA","NA","159326","158144","NA","157147","NA","157137","159326","2083","161089","NA","NA","158331","2069","2069","158730","157137","2069","158331","161089","morph21_Oliver/Morris","7","5879","9","yes","1280","44"
"350","80","80","668.9","668.9","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","59225","1000","0.0168847615027","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","11/12/18 16:11:50","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-151.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","810","NA","NA","NA","NA","125906","810","2","legacy","1024","2","48000","-16","BA_m21","151","odd","NW_L_COMP","MOUTHIME","2069","163947","162247","159330","127989","NA","NA","NA","NA","163938","162744","NA","161747","NA","161736","163938","2083","164297","NA","NA","162947","2069","2069","163339","161736","2069","162947","164297","morph21_Oliver/Morris","8","6689","10","yes","1280","11"
