"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","100","100","922","922","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","57069","1000","0.0175226480226","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","922","NA","NA","NA","NA","166099","922","2","legacy","1024","2","48000","-16","AB_m21","169","odd","CW_L","BOMBER","2016","170929","169254","NA","168131","NA","NA","NA","NA","170925","169751","NA","168751","NA","168676","170925","2032","171279","NA","NA","169929","2016","2016","170329","168676","2016","169929","171279","morph21_Oliver/Morris","1","922","1","yes","1280","7"
"250","100","100","741.5","741.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","66848","1000","0.014959310675","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","561","NA","NA","NA","NA","166099","561","2","legacy","1024","2","48000","-16","AB_m21","169","odd","FILL_W","SHIP","2016","174105","172388","NA","168131","NA","NA","NA","NA","174094","172885","NA","171888","NA","171880","174094","2032","174355","NA","NA","173105","2016","2016","173496","171880","2016","173105","174355","morph21_Oliver/Morris","2","1483","2","yes","1280","37"
"200","100","100","693.666666667","693.666666667","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","68802","1000","0.0145344612075","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","598","NA","NA","NA","NA","166099","598","2","legacy","1024","2","48000","-16","AB_m21","169","odd","FILL_NW","GILN","2016","178689","175481","177181","168131","NA","NA","NA","NA","177175","175978","NA","174981","NA","174976","177175","2032","178889","NA","NA","176181","2016","2016","176572","174976","2016","176181","178889","morph21_Oliver/Morris","3","2081","3","yes","1280","25"
"300","100","100","718.75","718.75","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","57879","1000","0.0172774235906","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","794","NA","NA","NA","NA","166099","794","2","legacy","1024","2","48000","-16","AB_m21","169","odd","NW_L_COMP","EMPLOYNESS","2016","181673","179956","177181","168131","NA","NA","NA","NA","181666","180453","NA","179456","NA","179450","181666","2032","181973","NA","NA","180673","2016","2016","181064","179450","2016","180673","181973","morph21_Oliver/Morris","4","2875","4","yes","1280","21"
"400","100","100","757.4","757.4","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","56631","1000","0.0176581730854","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","912","NA","NA","NA","NA","166099","912","2","legacy","1024","2","48000","-16","AB_m21","169","odd","FILL_W","EAT","2016","184739","183039","177181","168131","NA","NA","NA","NA","184736","183536","NA","182539","NA","182531","184736","2032","185139","NA","NA","183739","2016","2016","184139","182531","2016","183739","185139","morph21_Oliver/Morris","5","3787","5","yes","1280","25"
"350","100","100","743.333333333","743.333333333","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","59061","1000","0.0169316469413","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","673","NA","NA","NA","NA","166099","673","2","legacy","1024","2","48000","-16","AB_m21","169","odd","NW_L_SIMP","PICKENGE","2016","189414","186223","187906","168131","NA","NA","NA","NA","187900","186720","NA","185723","NA","185716","187900","2032","189765","NA","NA","186906","2016","2016","187298","185716","2016","186906","189765","morph21_Oliver/Morris","6","4460","6","yes","1280","5"
"350","100","100","714.571428571","714.571428571","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","75129","1000","0.0133104393776","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","542","NA","NA","NA","NA","166099","542","2","legacy","1024","2","48000","-16","AB_m21","169","odd","CW_L","PAINTER","2016","192549","190898","187906","168131","NA","NA","NA","NA","192542","191395","NA","190398","NA","190391","192542","2032","192899","NA","NA","191548","2016","2016","191940","190391","2016","191548","192899","morph21_Oliver/Morris","7","5002","7","yes","1280","18"
"200","87.5","87.5","697","697","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","72829","1000","0.0137307940518","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","574","NA","NA","NA","NA","166099","574","2","legacy","1024","2","48000","-16","AB_m21","169","odd","FILL_NW","VUNKS","2016","195732","194066","187906","168131","NA","NA","NA","NA","192542","194563","NA","193566","NA","193558","195728","2032","195932","NA","NA","194741","2016","2016","195132","193558","2016","194741","195932","morph21_Oliver/Morris","7","5576","8","yes","1280","49"
"400","88.8888888889","88.8888888889","680.888888889","680.888888889","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","67607","1000","0.0147913677578","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","552","NA","NA","NA","NA","166099","552","2","legacy","1024","2","48000","-16","AB_m21","169","odd","NW_S_SIMP","AIDIG","2016","200191","197033","198683","168131","NA","NA","NA","NA","198679","197530","NA","196533","NA","196522","198679","2032","200591","NA","NA","197683","2016","2016","198083","196522","2016","197682","200591","morph21_Oliver/Morris","8","6128","9","yes","1280","4"
"200","90","90","679.9","679.9","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","69881","1000","0.014310041356","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","03/26/19 12:39:40","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-169.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","671","NA","NA","NA","NA","166099","671","2","legacy","1024","2","48000","-16","AB_m21","169","odd","FILL_NW","GAIRS","2016","203316","201666","198683","168131","NA","NA","NA","NA","203308","202163","NA","201166","NA","201156","203308","2032","203516","NA","NA","202316","2016","2016","202708","201155","2016","202316","203516","morph21_Oliver/Morris","9","6799","10","yes","1280","23"
