"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"400","0","0","989","989","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","60655","1000","0.0164866870002","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","989","NA","NA","NA","NA","150579","989","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_NW","GIKE","2558","155980","154347","NA","153148","NA","NA","NA","NA","NA","154844","NA","153842","NA","153774","155978","2569","156380","NA","NA","154989","2558","2558","155380","153773","2558","154989","156380","morph21_Oliver/Morris","0","989","1","yes","1280","24"
"200","50","50","832.5","832.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","66915","1000","0.014944332362","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","676","NA","NA","NA","NA","150579","676","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_W","FLOAT","2558","159232","157615","NA","153148","NA","NA","NA","NA","159229","158112","NA","157114","NA","157104","159229","2569","159432","NA","NA","158240","2558","2558","158632","157104","2558","158240","159432","morph21_Oliver/Morris","1","1665","2","yes","1280","30"
"200","66.6666666667","66.6666666667","822","822","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","66247","1000","0.0150950231709","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","801","NA","NA","NA","NA","150579","801","2","legacy","1024","2","48000","-16","BA_m21","137","odd","NW_S_SIMP","GUMFUL","2558","163823","160723","162315","153148","NA","NA","NA","NA","162308","161220","NA","160223","NA","160215","162308","2569","164024","NA","NA","161315","2558","2558","161707","160215","2558","161315","164024","morph21_Oliver/Morris","2","2466","3","yes","1280","2"
"200","75","75","811.25","811.25","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","70638","1000","0.0141566862029","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","779","NA","NA","NA","NA","150579","779","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_NW","TUEER","2558","166874","165290","162315","153148","NA","NA","NA","NA","166870","165787","NA","164790","NA","164784","166870","2569","167074","NA","NA","165873","2558","2558","166274","164784","2558","165873","167074","morph21_Oliver/Morris","3","3245","4","yes","1280","44"
"250","80","80","780","780","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","68116","1000","0.0146808385695","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","655","NA","NA","NA","NA","150579","655","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_W","TASTE","2558","169949","168340","162315","153148","NA","NA","NA","NA","169939","168837","NA","167840","NA","167830","169939","2569","170199","NA","NA","168949","2558","2558","169340","167830","2558","168949","170199","morph21_Oliver/Morris","4","3900","5","yes","1280","34"
"400","66.6666666667","66.6666666667","815.666666667","815.666666667","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","59918","1000","0.0166894756167","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","150579","994","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_NW","BALFS","2558","174516","171407","173007","153148","NA","NA","NA","NA","169939","171904","NA","170907","NA","170896","173001","2569","174916","NA","NA","172007","2558","2558","172399","170896","2558","172007","174916","morph21_Oliver/Morris","4","4894","6","yes","1280","2"
"300","71.4285714286","71.4285714286","792.285714286","792.285714286","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","68499","1000","0.0145987532665","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","652","NA","NA","NA","NA","150579","652","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_W","BAKE","2558","177808","176225","173007","153148","NA","NA","NA","NA","177800","176722","NA","175725","NA","175717","177800","2569","178108","NA","NA","176808","2558","2558","177200","175717","2558","176808","178108","morph21_Oliver/Morris","5","5546","7","yes","1280","29"
"400","62.5","62.5","817.875","817.875","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","63420","1000","0.0157678965626","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","997","NA","NA","NA","NA","150579","997","2","legacy","1024","2","48000","-16","BA_m21","137","odd","NW_L_COMP","COLDIDY","2558","180867","179267","173007","153148","NA","NA","NA","NA","177800","179764","NA","178767","NA","178760","180864","2569","181267","NA","NA","179867","2558","2558","180267","178760","2558","179867","181267","morph21_Oliver/Morris","5","6543","8","yes","1280","10"
"400","66.6666666667","66.6666666667","818","818","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","67035","1000","0.0149175803685","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","819","NA","NA","NA","NA","150579","819","2","legacy","1024","2","48000","-16","BA_m21","137","odd","CW_S","RAIDER","2558","185517","182417","184009","153148","NA","NA","NA","NA","183999","182914","NA","181917","NA","181908","183999","2569","185917","NA","NA","183009","2558","2558","183400","181908","2558","183009","185917","morph21_Oliver/Morris","6","7362","9","yes","1280","12"
"250","70","70","804","804","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69104","1000","0.0144709423478","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","09/27/18 16:15:21","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-137.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","678","NA","NA","NA","NA","150579","678","2","legacy","1024","2","48000","-16","BA_m21","137","odd","FILL_W","WEAVE","2558","188725","187125","184009","153148","NA","NA","NA","NA","188722","187623","NA","186625","NA","186614","188722","2569","188976","NA","NA","187734","2558","2558","188125","186614","2558","187734","188976","morph21_Oliver/Morris","7","8040","10","yes","1280","12"
