"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","0","0","993","993","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","56223","1000","0.0177863152091","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","993","NA","NA","NA","NA","126984","993","2","legacy","1024","2","48000","-16","AB_m21","141","odd","FILL_NW","DARF","2353","132286","130678","NA","129357","NA","NA","NA","NA","NA","131175","NA","130175","NA","130099","132279","2372","132636","NA","NA","131286","2353","2353","131678","130099","2353","131286","132636","morph21_Oliver/Morris","0","993","1","yes","1280","10"
"300","0","0","980.5","980.5","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","61730","1000","0.016199578811","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","968","NA","NA","NA","NA","126984","968","2","legacy","1024","2","48000","-16","AB_m21","141","odd","NW_S_SIMP","FEVERIME","2353","135461","133853","NA","129357","NA","NA","NA","NA","NA","134350","NA","133353","NA","133350","135454","2372","135761","NA","NA","134461","2353","2353","134853","133350","2353","134461","135761","morph21_Oliver/Morris","0","1961","2","yes","1280","24"
"400","0","0","984","984","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","53919","1000","0.0185463380256","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","991","NA","NA","NA","NA","126984","991","2","legacy","1024","2","48000","-16","AB_m21","141","odd","NW_S_COMP","ALTARIC","2353","140145","137028","138636","129357","NA","NA","NA","NA","NA","137525","NA","136528","NA","136519","138627","2372","140545","NA","NA","137636","2353","2353","138028","136519","2353","137636","140545","morph21_Oliver/Morris","0","2952","3","yes","1280","7"
"350","0","0","987","987","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","62029","1000","0.0161214915604","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","996","NA","NA","NA","NA","126984","996","2","legacy","1024","2","48000","-16","AB_m21","141","odd","FILL_NW","DASP","2353","143361","141753","138636","129357","NA","NA","NA","NA","NA","142250","NA","141253","NA","141247","143358","2372","143712","NA","NA","142361","2353","2353","142761","141247","2353","142361","143712","morph21_Oliver/Morris","0","3948","4","yes","1280","13"
"200","20","20","915.6","915.6","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","73074","1000","0.0136847579166","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","630","NA","NA","NA","NA","126984","630","2","legacy","1024","2","48000","-16","AB_m21","141","odd","CW_S","LOCALLY","2353","146478","144878","138636","129357","NA","NA","NA","NA","146474","145375","NA","144378","NA","144375","146474","2372","146678","NA","NA","145478","2353","2353","145878","144375","2353","145478","146678","morph21_Oliver/Morris","1","4578","5","yes","1280","37"
"400","16.6666666667","16.6666666667","928.5","928.5","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","61238","1000","0.0163297299063","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","993","NA","NA","NA","NA","126984","993","2","legacy","1024","2","48000","-16","AB_m21","141","odd","NW_L_COMP","RIPENCE","2353","150971","147871","149463","129357","NA","NA","NA","NA","146474","148368","NA","147371","NA","147364","149457","2372","151371","NA","NA","148463","2353","2353","148854","147364","2353","148462","151371","morph21_Oliver/Morris","1","5571","6","yes","1280","4"
"400","28.5714285714","28.5714285714","906.714285714","906.714285714","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","70129","1000","0.0142594361819","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","776","NA","NA","NA","NA","126984","776","2","legacy","1024","2","48000","-16","AB_m21","141","odd","CW_S","DIETARY","2353","154213","152629","149463","129357","NA","NA","NA","NA","154208","153127","NA","152129","NA","152121","154208","2372","154613","NA","NA","153213","2353","2353","153613","152121","2353","153213","154613","morph21_Oliver/Morris","2","6347","7","yes","1280","6"
"200","37.5","37.5","868.5","868.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","66704","1000","0.0149916047014","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","601","NA","NA","NA","NA","126984","601","2","legacy","1024","2","48000","-16","AB_m21","141","odd","CW_L","SHAMEFUL","2353","157396","155813","149463","129357","NA","NA","NA","NA","157386","156310","NA","155313","NA","155307","157386","2372","157596","NA","NA","156396","2353","2353","156788","155307","2353","156396","157596","morph21_Oliver/Morris","3","6948","8","yes","1280","19"
"350","44.4444444444","44.4444444444","862.222222222","862.222222222","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","60239","1000","0.0166005411776","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","812","NA","NA","NA","NA","126984","812","2","legacy","1024","2","48000","-16","AB_m21","141","odd","CW_L","PUNCHER","2353","162022","158896","160513","129357","NA","NA","NA","NA","160511","159393","NA","158396","NA","158388","160511","2372","162372","NA","NA","159521","2353","2353","159913","158388","2353","159521","162372","morph21_Oliver/Morris","4","7760","9","yes","1280","1"
"400","40","40","875.4","875.4","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","53008","1000","0.0188650769695","0","undefined","0","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","126984","994","2","legacy","1024","2","48000","-16","AB_m21","141","odd","FILL_NW","BORMS","2353","165306","163672","160513","129357","NA","NA","NA","NA","160511","164169","NA","163172","NA","163165","165299","2372","165706","NA","NA","164305","2353","2353","164698","163164","2353","164305","165706","morph21_Oliver/Morris","4","8754","10","yes","1280","50"
"250","45.4545454545","45.4545454545","882.545454545","882.545454545","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","56933","1000","0.017564505647","1","undefined","1","0","10","10","10","0","10","10","10","NA","10","10","0","10","NA","10","10","0","10","NA","10","NA","10","0","0","10","10","0","10","10","11","/","10/17/18 16:18:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","10","10","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-141.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","954","NA","NA","NA","NA","126984","954","2","legacy","1024","2","48000","-16","AB_m21","141","odd","CW_S","MILDNESS","2353","168523","166923","160513","129357","NA","NA","NA","NA","168516","167420","NA","166423","NA","166414","168516","2372","168773","NA","NA","167523","2353","2353","167914","166414","2353","167523","168773","morph21_Oliver/Morris","5","9708","11","yes","1280","42"
