cond_trig,word_trig,targ_type,target
201,1,CW_S,detectable
201,2,CW_S,avoidable
201,3,CW_S,noticeable
201,4,CW_S,magical
201,5,CW_S,allowance
201,6,CW_S,dietary
201,7,CW_S,widowed
201,8,CW_S,bearded
201,9,CW_S,insistent
201,10,CW_S,toaster
201,11,CW_S,lender
201,12,CW_S,raider
201,13,CW_S,jailer
201,14,CW_S,destroyer
201,15,CW_S,campaigner
201,16,CW_S,seeker
201,17,CW_S,singer
201,18,CW_S,listener
201,19,CW_S,design
201,20,CW_S,attacker
201,21,CW_S,buyer
201,22,CW_S,planner
201,23,CW_S,teacher
201,24,CW_S,thruster
201,25,CW_S,angelic
201,26,CW_S,tossing
201,27,CW_S,tutoring
201,28,CW_S,peaking
201,29,CW_S,harmless
201,30,CW_S,effortless
201,31,CW_S,grimly
201,32,CW_S,densely
201,33,CW_S,neatly
201,34,CW_S,guilty
201,35,CW_S,hugely
201,36,CW_S,costly
201,37,CW_S,locally
201,38,CW_S,amusement
201,39,CW_S,amazement
201,40,CW_S,enjoyment
201,41,CW_S,boldness
201,42,CW_S,mildness
201,43,CW_S,dullness
201,44,CW_S,awareness
201,45,CW_S,richness
201,46,CW_S,strangeness
201,47,CW_S,mossy
201,48,CW_S,chilly
201,49,CW_S,bossy
201,50,CW_S,risky
202,1,CW_L,puncher
202,2,CW_L,barker
202,3,CW_L,speller
202,4,CW_L,knocker
202,5,CW_L,swimmer
202,6,CW_L,composer
202,7,CW_L,bomber
202,8,CW_L,locker
202,9,CW_L,renter
202,10,CW_L,hunter
202,11,CW_L,dancer
202,12,CW_L,dreamer
202,13,CW_L,pusher
202,14,CW_L,feeder
202,15,CW_L,cleaner
202,16,CW_L,heater
202,17,CW_L,striker
202,18,CW_L,painter
202,19,CW_L,shameful
202,20,CW_L,faithful
202,21,CW_L,doubtful
202,22,CW_L,flexible
202,23,CW_L,kicking
202,24,CW_L,cooling
202,25,CW_L,parking
202,26,CW_L,guarding
202,27,CW_L,laughing
202,28,CW_L,dampish
202,29,CW_L,stylish
202,30,CW_L,jumping
202,31,CW_L,guileless
202,32,CW_L,bootless
202,33,CW_L,cloudless
202,34,CW_L,boneless
202,35,CW_L,shapely
202,36,CW_L,quietly
202,37,CW_L,wrongly
202,38,CW_L,excitement
202,39,CW_L,deafness
202,40,CW_L,blindness
202,41,CW_L,madness
202,42,CW_L,dryness
202,43,CW_L,sailor
202,44,CW_L,conductor
202,45,CW_L,editor
202,46,CW_L,collector
202,47,CW_L,professor
202,48,CW_L,weedy
202,49,CW_L,creamy
202,50,CW_L,verbal
203,1,NW_S_COMP,meltange
203,2,NW_S_COMP,happenange
203,3,NW_S_COMP,lidady
203,4,NW_S_COMP,figel
203,5,NW_S_COMP,beerel
203,6,NW_S_COMP,fanfil
203,7,NW_S_COMP,altarig
203,8,NW_S_COMP,antilm
203,9,NW_S_COMP,aridilm
203,10,NW_S_COMP,elmilt
203,11,NW_S_COMP,curtidy
203,12,NW_S_COMP,dumbidy
203,13,NW_S_COMP,pillime
203,14,NW_S_COMP,treasonime
203,15,NW_S_COMP,truenels
203,16,NW_S_COMP,branchel
203,17,NW_S_COMP,princemant
203,18,NW_S_COMP,heightenge
203,19,NW_S_COMP,adoptish
203,20,NW_S_COMP,ejectenge
203,21,NW_S_COMP,weldig
203,22,NW_S_COMP,debtith
203,23,NW_S_COMP,yankody
203,24,NW_S_COMP,fiendilm
203,25,NW_S_COMP,humidoes
204,1,NW_L_COMP,stirange
204,2,NW_L_COMP,tripady
204,3,NW_L_COMP,flitenge
204,4,NW_L_COMP,ripenge
204,5,NW_L_COMP,sheetel
204,6,NW_L_COMP,gasfil
204,7,NW_L_COMP,angelith
204,8,NW_L_COMP,inkilm
204,9,NW_L_COMP,illilt
204,10,NW_L_COMP,coldidy
204,11,NW_L_COMP,mouthime
204,12,NW_L_COMP,mudla
204,13,NW_L_COMP,addmant
204,14,NW_L_COMP,passmant
204,15,NW_L_COMP,freenels
204,16,NW_L_COMP,flipody
204,17,NW_L_COMP,fellowoes
204,18,NW_L_COMP,boil
204,19,NW_L_COMP,kingilm
204,20,NW_L_COMP,ime
204,21,NW_L_COMP,employnels
204,22,NW_L_COMP,bindig
204,23,NW_L_COMP,breakidy
204,24,NW_L_COMP,agreela
204,25,NW_L_COMP,pitchody
205,1,NW_S_SIMP,socketer
205,2,NW_S_SIMP,gumful
205,3,NW_S_SIMP,heiric
205,4,NW_S_SIMP,aidic
205,5,NW_S_SIMP,urnist
205,6,NW_S_SIMP,rampize
205,7,NW_S_SIMP,jawly
205,8,NW_S_SIMP,opposement
205,9,NW_S_SIMP,nextness
205,10,NW_S_SIMP,baskory
205,11,NW_S_SIMP,digory
205,12,NW_S_SIMP,warnory
205,13,NW_S_SIMP,boltous
205,14,NW_S_SIMP,helmetous
205,15,NW_S_SIMP,schemeness
205,16,NW_S_SIMP,acrement
