"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","0","0","987","987","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","57860","1000","0.017283097131","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","987","NA","NA","NA","NA","3254682","987","2","legacy","1024","2","48000","-16","BA_m21","142","even","CW_S","PLANNER","2454","3260080","3258464","NA","3257151","NA","NA","NA","NA","NA","3258961","NA","3257959","NA","3257895","3260077","2469","3260330","NA","NA","3259089","2454","2454","3259480","3257895","2454","3259089","3260330","morph21_Oliver/Morris","0","987","1","yes","1280","22"
"350","50","50","775","775","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","75255","1000","0.0132881536111","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","563","NA","NA","NA","NA","3254682","563","2","legacy","1024","2","48000","-16","BA_m21","142","even","CW_L","PUNCHER","2454","3263155","3261555","NA","3257151","NA","NA","NA","NA","3263151","3262052","NA","3261055","NA","3261048","3263151","2469","3263505","NA","NA","3262155","2454","2454","3262555","3261048","2454","3262155","3263505","morph21_Oliver/Morris","1","1550","2","yes","1280","1"
"200","66.6666666667","66.6666666667","669.666666667","669.666666667","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","79590","1000","0.0125643925116","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","459","NA","NA","NA","NA","3254682","459","2","legacy","1024","2","48000","-16","BA_m21","142","even","FILL_W","LEGAL","2454","3267856","3264730","3266347","3257151","NA","NA","NA","NA","3266338","3265228","NA","3264231","NA","3264224","3266338","2469","3268056","NA","NA","3265347","2454","2454","3265739","3264224","2454","3265347","3268056","morph21_Oliver/Morris","2","2009","3","yes","1280","35"
"200","50","50","750.25","750.25","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","63585","1000","0.0157269796336","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","992","NA","NA","NA","NA","3254682","992","2","legacy","1024","2","48000","-16","BA_m21","142","even","NW_S_SIMP","OPPOSEMENT","2454","3270889","3269306","3266347","3257151","NA","NA","NA","NA","3266338","3269803","NA","3268806","NA","3268800","3270881","2469","3271089","NA","NA","3269889","2454","2454","3270281","3268800","2454","3269889","3271089","morph21_Oliver/Morris","2","3001","4","yes","1280","8"
"250","40","40","669.6","669.6","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","78273","1000","0.0127757975292","0","undefined","0","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","z","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","347","NA","NA","NA","NA","3254682","347","2","legacy","1024","2","48000","-16","BA_m21","142","even","NW_S_SIMP","DIGORY","2454","3273940","3272339","3266347","3257151","NA","NA","NA","NA","3266338","3272836","NA","3271839","NA","3271833","3273934","2469","3274190","NA","NA","3272940","2454","2454","3273332","3271833","2454","3272940","3274190","morph21_Oliver/Morris","2","3348","5","yes","1280","11"
"300","50","50","654.5","654.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","73281","1000","0.013646101991","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","579","NA","NA","NA","NA","3254682","579","2","legacy","1024","2","48000","-16","BA_m21","142","even","CW_L","MADNESS","2454","3278449","3275324","3276940","3257151","NA","NA","NA","NA","3276932","3275821","NA","3274824","NA","3274820","3276932","2469","3278749","NA","NA","3275940","2454","2454","3276332","3274820","2454","3275940","3278749","morph21_Oliver/Morris","3","3927","6","yes","1280","41"
"350","57.1428571429","57.1428571429","623","623","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","83398","1000","0.0119906952205","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","434","NA","NA","NA","NA","3254682","434","2","legacy","1024","2","48000","-16","BA_m21","142","even","CW_S","AMAZEMENT","2454","3281524","3279915","3276940","3257151","NA","NA","NA","NA","3281518","3280413","NA","3279416","NA","3279405","3281518","2469","3281874","NA","NA","3280524","2454","2454","3280915","3279405","2454","3280524","3281874","morph21_Oliver/Morris","4","4361","7","yes","1280","39"
"400","62.5","62.5","604","604","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","81964","1000","0.0122004782587","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","471","NA","NA","NA","NA","3254682","471","2","legacy","1024","2","48000","-16","BA_m21","142","even","CW_L","STYLISH","2454","3284607","3283024","3276940","3257151","NA","NA","NA","NA","3284601","3283521","NA","3282524","NA","3282518","3284601","2469","3285007","NA","NA","3283607","2454","2454","3283999","3282518","2454","3283607","3285007","morph21_Oliver/Morris","5","4832","8","yes","1280","29"
"200","66.6666666667","66.6666666667","599.666666667","599.666666667","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","66647","1000","0.0150044263058","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","565","NA","NA","NA","NA","3254682","565","2","legacy","1024","2","48000","-16","BA_m21","142","even","FILL_NW","GILN","2454","3289358","3286266","3287849","3257151","NA","NA","NA","NA","3287843","3286763","NA","3285766","NA","3285755","3287843","2469","3289558","NA","NA","3286849","2454","2454","3287241","3285755","2454","3286849","3289558","morph21_Oliver/Morris","6","5397","9","yes","1280","25"
"400","70","70","579.6","579.6","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","77252","1000","0.0129446486822","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","10/18/18 17:39:57","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-142.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","399","NA","NA","NA","NA","3254682","399","2","legacy","1024","2","48000","-16","BA_m21","142","even","FILL_W","EAT","2454","3292392","3290800","3287849","3257151","NA","NA","NA","NA","3292386","3291297","NA","3290299","NA","3290294","3292386","2469","3292792","NA","NA","3291392","2454","2454","3291784","3290294","2454","3291392","3292792","morph21_Oliver/Morris","7","5796","10","yes","1280","25"
