"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"300","0","0","993","993","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","51922","1000","0.0192596587188","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","993","NA","NA","NA","NA","238844","993","2","legacy","1024","2","48000","-16","AB_m21","176","even","CW_L","COMPOSER","1974","243676","242001","NA","240827","NA","NA","NA","NA","NA","242498","NA","241498","NA","241424","243669","1983","243976","NA","NA","242676","1974","1974","243067","241424","1974","242676","243976","morph21_Oliver/Morris","0","993","1","yes","1280","6"
"350","0","0","991.5","991.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","54806","1000","0.0182461774258","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","990","NA","NA","NA","NA","238844","990","2","legacy","1024","2","48000","-16","AB_m21","176","even","CW_L","BARKER","1974","246709","245051","NA","240827","NA","NA","NA","NA","NA","245548","NA","244551","NA","244543","246700","1983","247059","NA","NA","245709","1974","1974","246101","244543","1974","245709","247059","morph21_Oliver/Morris","0","1983","2","yes","1280","2"
"400","0","0","991.666666667","991.666666667","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","51616","1000","0.0193738375697","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","992","NA","NA","NA","NA","238844","992","2","legacy","1024","2","48000","-16","AB_m21","176","even","NW_L_COMP","BOILOUS","1974","251459","248276","249951","240827","NA","NA","NA","NA","NA","248773","NA","247776","NA","247765","249943","1983","251859","NA","NA","248951","1974","1974","249342","247765","1974","248951","251859","morph21_Oliver/Morris","0","2975","3","yes","1280","18"
"250","25","25","959","959","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","57155","1000","0.0174962820401","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","861","NA","NA","NA","NA","238844","861","2","legacy","1024","2","48000","-16","AB_m21","176","even","NW_S_COMP","LIDARY","1974","254693","253009","249951","240827","NA","NA","NA","NA","254685","253506","NA","252509","NA","252506","254685","1983","254943","NA","NA","253693","1974","1974","254084","252506","1974","253693","254943","morph21_Oliver/Morris","1","3836","4","yes","1280","3"
"350","20","20","965.2","965.2","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","54985","1000","0.0181867782122","0","undefined","0","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","990","NA","NA","NA","NA","238844","990","2","legacy","1024","2","48000","-16","AB_m21","176","even","NW_S_COMP","HEIGHTENCE","1974","257660","256002","249951","240827","NA","NA","NA","NA","254685","256499","NA","255502","NA","255496","257650","1983","258011","NA","NA","256660","1974","1974","257052","255496","1974","256660","258011","morph21_Oliver/Morris","1","4826","5","yes","1280","18"
"350","16.6666666667","16.6666666667","969.166666667","969.166666667","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","54638","1000","0.0183022804641","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","989","NA","NA","NA","NA","238844","989","2","legacy","1024","2","48000","-16","AB_m21","176","even","CW_S","TEACHER","1974","262319","259152","260811","240827","NA","NA","NA","NA","254685","259649","NA","258652","NA","258645","260800","1983","262669","NA","NA","259811","1974","1974","260202","258645","1974","259811","262669","morph21_Oliver/Morris","1","5815","6","yes","1280","23"
"200","28.5714285714","28.5714285714","909.857142857","909.857142857","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69560","1000","0.0143760782059","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","554","NA","NA","NA","NA","238844","554","2","legacy","1024","2","48000","-16","AB_m21","176","even","FILL_W","LEGAL","1974","265527","263861","260811","240827","NA","NA","NA","NA","265525","264358","NA","263361","NA","263349","265525","1983","265728","NA","NA","264536","1974","1974","264927","263349","1974","264536","265728","morph21_Oliver/Morris","2","6369","7","yes","1280","35"
"400","37.5","37.5","878.875","878.875","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","67513","1000","0.0148119621406","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","662","NA","NA","NA","NA","238844","662","2","legacy","1024","2","48000","-16","AB_m21","176","even","FILL_W","FLIRT","1974","268444","266778","260811","240827","NA","NA","NA","NA","268435","267275","NA","266278","NA","266268","268435","1983","268844","NA","NA","267444","1974","1974","267836","266268","1974","267444","268844","morph21_Oliver/Morris","3","7031","8","yes","1280","1"
"400","44.4444444444","44.4444444444","889.777777778","889.777777778","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","55556","1000","0.0179998560012","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","977","NA","NA","NA","NA","238844","977","2","legacy","1024","2","48000","-16","AB_m21","176","even","NW_L_COMP","ANGELISH","1974","273079","269911","271569","240827","NA","NA","NA","NA","271566","270408","NA","269411","NA","269403","271566","1983","273479","NA","NA","270569","1974","1974","270969","269403","1974","270569","273479","morph21_Oliver/Morris","4","8008","9","yes","1280","7"
"400","50","50","868.6","868.6","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","65986","1000","0.0151547297912","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","678","NA","NA","NA","NA","238844","678","2","legacy","1024","2","48000","-16","AB_m21","176","even","FILL_NW","BORMS","1974","276221","274562","271569","240827","NA","NA","NA","NA","276217","275059","NA","274062","NA","274051","276217","1983","276621","NA","NA","275221","1974","1974","275621","274051","1974","275221","276621","morph21_Oliver/Morris","5","8686","10","yes","1280","50"
"300","54.5454545455","54.5454545455","868.636363636","868.636363636","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","57173","1000","0.0174907736169","1","undefined","1","0","10","10","10","0","10","10","10","NA","10","10","0","10","NA","10","10","0","10","NA","10","NA","10","0","0","10","10","0","10","10","11","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","10","10","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","869","NA","NA","NA","NA","238844","869","2","legacy","1024","2","48000","-16","AB_m21","176","even","NW_L_SIMP","EARILT","1974","279429","277771","271569","240827","NA","NA","NA","NA","279426","278268","NA","277271","NA","277264","279426","1983","279729","NA","NA","278437","1974","1974","278829","277264","1974","278437","279729","morph21_Oliver/Morris","6","9555","11","yes","1280","12"
"250","58.3333333333","58.3333333333","876.333333333","876.333333333","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","56170","1000","0.017803097739","1","undefined","1","0","11","11","11","0","11","11","11","NA","11","11","0","11","NA","11","11","0","11","NA","11","NA","11","0","0","11","11","0","11","11","12","/","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","11","11","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","961","NA","NA","NA","NA","238844","961","2","legacy","1024","2","48000","-16","AB_m21","176","even","CW_S","MILDNESS","1974","284021","280846","282513","240827","NA","NA","NA","NA","282504","281343","NA","280346","NA","280340","282504","1983","284271","NA","NA","281513","1974","1974","281904","280340","1974","281513","284271","morph21_Oliver/Morris","7","10516","12","yes","1280","42"
"200","61.5384615385","61.5384615385","854.692307692","854.692307692","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","70147","1000","0.0142557771537","1","undefined","1","0","12","12","12","0","12","12","12","NA","12","12","0","12","NA","12","12","0","12","NA","12","NA","12","0","0","12","12","0","12","12","13","z","04/30/19 15:09:11","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","12","12","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-176.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","595","NA","NA","NA","NA","238844","595","2","legacy","1024","2","48000","-16","AB_m21","176","even","FILL_NW","TUEER","1974","287063","285404","282513","240827","NA","NA","NA","NA","287053","285902","NA","284904","NA","284892","287053","1983","287263","NA","NA","286063","1974","1974","286454","284892","1974","286063","287263","morph21_Oliver/Morris","8","11111","13","yes","1280","44"
