"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"300","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","0","0","0","0","0","1","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","33958","1200","2","legacy","1024","2","48000","-16","AB_m21","227","odd","NW_L_SIMP","EARILT","1862","40125","37758","NA","35831","NA","NA","NA","NA","NA","38259","NA","NA","NA","37257","NA","37223","1872","40425","NA","NA","NA","38299","1862","1863","NA","39499","39522","37223","38259","38279","morph21_Oliver/Morris","0","1200","1","yes","1920","12"
"250","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","0","undefined","0","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","1","1","1","1","1","2","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","33958","1200","2","legacy","1024","2","48000","-16","AB_m21","227","odd","FILL_NW","PHEEKS","1862","44384","42014","NA","35831","NA","NA","NA","NA","NA","42516","NA","NA","NA","41513","NA","41484","1872","44634","NA","NA","NA","42556","1862","1863","NA","43756","43781","41484","42516","42536","morph21_Oliver/Morris","0","2400","2","yes","1920","35"
"400","33.333333333333336","33.333333333333336","1094","1094","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","1","undefined","1","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","2","2","2","2","2","3","/","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","882","NA","NA","NA","NA","33958","882","2","legacy","1024","2","48000","-16","AB_m21","227","odd","CW_S","DESIGN","1862","49770","46215","48265","35831","NA","NA","NA","NA","NA","46715","NA","NA","NA","45713","NA","45687","1872","50170","NA","NA","NA","46756","1862","1863","NA","47639","47662","45687","46715","46736","morph21_Oliver/Morris","1","3282","3","yes","1920","19"
"200","50","50","1057.25","1057.25","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","3","3","3","3","3","4","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","947","NA","NA","NA","NA","33958","947","2","legacy","1024","2","48000","-16","AB_m21","227","odd","FILL_NW","PORDS","1862","53891","51774","48265","35831","NA","NA","NA","NA","NA","52275","NA","NA","NA","51274","NA","51246","1872","54091","NA","NA","NA","52315","1862","1863","NA","53262","53287","51246","52275","52295","morph21_Oliver/Morris","2","4229","4","yes","1920","39"
"200","40","40","1085.8","1085.8","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","NA","NA","NA","0","undefined","0","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","4","4","4","4","4","5","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","33958","1200","2","legacy","1024","2","48000","-16","AB_m21","227","odd","NW_S_COMP","ADOPTILP","1862","58019","55646","48265","35831","NA","NA","NA","NA","NA","56150","NA","NA","NA","55145","NA","55118","1872","58219","NA","NA","NA","56191","1862","1863","NA","57391","57416","55118","56149","56170","morph21_Oliver/Morris","2","5429","5","yes","1920","19"
"300","50","50","1021","1021","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","5","5","5","5","5","6","/","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","697","NA","NA","NA","NA","33958","697","2","legacy","1024","2","48000","-16","AB_m21","227","odd","CW_L","DOUBTFUL","1862","63138","59768","61633","35831","NA","NA","NA","NA","NA","60268","NA","NA","NA","59267","NA","59237","1872","63438","NA","NA","NA","60309","1862","1863","NA","61007","61030","59237","60268","60289","morph21_Oliver/Morris","3","6126","6","yes","1920","21"
"350","57.142857142857146","57.142857142857146","1002.2857142857143","1002.2857142857143","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","6","6","6","6","6","7","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","890","NA","NA","NA","NA","33958","890","2","legacy","1024","2","48000","-16","AB_m21","227","odd","FILL_NW","KRAISE","1862","67077","65015","61633","35831","NA","NA","NA","NA","NA","65516","NA","NA","NA","64514","NA","64488","1872","67427","NA","NA","NA","65556","1862","1863","NA","66447","66472","64488","65515","65536","morph21_Oliver/Morris","4","7016","7","yes","1920","33"
"300","62.5","62.5","1000.625","1000.625","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","1","undefined","1","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","7","7","7","7","7","8","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","989","NA","NA","NA","NA","33958","989","2","legacy","1024","2","48000","-16","AB_m21","227","odd","NW_L_SIMP","TAXFIL","1862","71138","68980","61633","35831","NA","NA","NA","NA","NA","69481","NA","NA","NA","68479","NA","68452","1872","71438","NA","NA","NA","69521","1862","1863","NA","70511","70535","68452","69481","69501","morph21_Oliver/Morris","5","8005","8","yes","1920","6"
"350","55.55555555555556","55.55555555555556","973.4444444444445","973.4444444444445","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","NA","NA","NA","0","undefined","0","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","8","8","8","8","8","9","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","756","NA","NA","NA","NA","33958","756","2","legacy","1024","2","48000","-16","AB_m21","227","odd","NW_S_COMP","HUMIDOUS","1862","76419","72989","74916","35831","NA","NA","NA","NA","NA","73490","NA","NA","NA","72488","NA","72461","1872","76769","NA","NA","NA","73530","1862","1863","NA","74287","74310","72461","73490","73510","morph21_Oliver/Morris","5","8761","9","yes","1920","25"
"350","60","60","967.7","967.7","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","1","undefined","1","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","9","9","9","9","9","10","z","Thu Oct 26 15:07:19 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ekealey/Desktop/subject-227.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","916","NA","NA","NA","NA","33958","916","2","legacy","1024","2","48000","-16","AB_m21","227","odd","NW_L_SIMP","NUTLA","1862","80401","78317","74916","35831","NA","NA","NA","NA","NA","78817","NA","NA","NA","77817","NA","77786","1872","80752","NA","NA","NA","78858","1862","1863","NA","79775","79798","77786","78817","78838","morph21_Oliver/Morris","6","9677","10","yes","1920","14"
