"ITI","_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_reset_counter_run_1","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_reset_counter_run_1","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"300","","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","1","z","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","45295","1200","2","legacy","1024","2","48000","-16","AB_m21","228","even","NW_L_SIMP","BANDARY","1785","51557","49189","NA","47238","NA","NA","NA","NA","NA","49689","NA","NA","NA","48688","NA","48653","1942","51857","NA","NA","NA","49729","1785","1928","NA","NA","50929","50953","48652","49689","49709","morph21_Oliver/Morris","0","1200","1","yes","1920","3"
"350","","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","NA","1","1","1","1","1","2","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","45295","1200","2","legacy","1024","2","48000","-16","AB_m21","228","even","CW_L","HUNTER","1785","55815","53447","NA","47238","NA","NA","NA","NA","NA","53947","NA","NA","NA","52947","NA","52914","1942","56166","NA","NA","NA","53988","1785","1928","NA","NA","55188","55212","52914","53947","53968","morph21_Oliver/Morris","0","2400","2","yes","1920","10"
"200","","33.333333333333336","33.333333333333336","1190.6666666666667","1190.6666666666667","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","NA","2","2","2","2","2","3","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","1172","NA","NA","NA","NA","45295","1172","2","legacy","1024","2","48000","-16","AB_m21","228","even","CW_L","SHAMEFUL","1785","61627","57780","60122","47238","NA","NA","NA","NA","NA","58281","NA","NA","NA","57278","NA","57249","1942","61827","NA","NA","NA","58322","1785","1928","NA","NA","59494","59518","57249","58281","58302","morph21_Oliver/Morris","1","3572","3","yes","1920","19"
"250","","50","50","1166.25","1166.25","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","NA","NA","NA","1","undefined","1","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","NA","3","3","3","3","3","4","z","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","1093","NA","NA","NA","NA","45295","1093","2","legacy","1024","2","48000","-16","AB_m21","228","even","NW_S_SIMP","DIGORY","1785","65706","63443","60122","47238","NA","NA","NA","NA","NA","63944","NA","NA","NA","62943","NA","62916","1942","65956","NA","NA","NA","63984","1785","1928","NA","NA","65078","65103","62916","63943","63964","morph21_Oliver/Morris","2","4665","4","yes","1920","11"
"250","","60","60","1089.8","1089.8","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","1","undefined","1","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","NA","4","4","4","4","4","5","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","784","NA","NA","NA","NA","45295","784","2","legacy","1024","2","48000","-16","AB_m21","228","even","FILL_W","SHIP","1785","69514","67559","60122","47238","NA","NA","NA","NA","NA","68060","NA","NA","NA","67059","NA","67028","1942","69764","NA","NA","NA","68101","1785","1928","NA","NA","68886","68910","67028","68060","68081","morph21_Oliver/Morris","3","5449","5","yes","1920","37"
"350","","50","50","1108.1666666666667","1108.1666666666667","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","0","undefined","0","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","NA","5","5","5","5","5","6","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","45295","1200","2","legacy","1024","2","48000","-16","AB_m21","228","even","CW_S","BEARDED","1785","75245","71371","73741","47238","NA","NA","NA","NA","NA","71872","NA","NA","NA","70871","NA","70844","1942","75595","NA","NA","NA","71912","1785","1928","NA","NA","73112","73136","70844","71872","71892","morph21_Oliver/Morris","3","6649","6","yes","1920","8"
"400","","57.142857142857146","57.142857142857146","1072","1072","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","NA","6","6","6","6","6","7","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","855","NA","NA","NA","NA","45295","855","2","legacy","1024","2","48000","-16","AB_m21","228","even","CW_L","QUIETLY","1785","79210","77185","73741","47238","NA","NA","NA","NA","NA","77685","NA","NA","NA","76683","NA","76656","1942","79610","NA","NA","NA","77726","1785","1928","NA","NA","78582","78606","76656","77685","77706","morph21_Oliver/Morris","4","7504","7","yes","1920","36"
"300","","50","50","1088","1088","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","NA","7","7","7","7","7","8","z","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","45295","1200","2","legacy","1024","2","48000","-16","AB_m21","228","even","NW_L_SIMP","ELBOWISM","1785","83553","81186","73741","47238","NA","NA","NA","NA","NA","81686","NA","NA","NA","80686","NA","80658","1942","83853","NA","NA","NA","81727","1785","1928","NA","NA","82927","82950","80658","81686","81707","morph21_Oliver/Morris","4","8704","8","yes","1920","10"
"250","","55.55555555555556","55.55555555555556","1038.7777777777778","1038.7777777777778","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","1","undefined","1","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","NA","8","8","8","8","8","9","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","645","NA","NA","NA","NA","45295","645","2","legacy","1024","2","48000","-16","AB_m21","228","even","FILL_W","SOFT","1785","88745","85427","87242","47238","NA","NA","NA","NA","NA","85928","NA","NA","NA","84927","NA","84902","1942","88995","NA","NA","NA","85968","1785","1928","NA","NA","86613","86639","84902","85928","85948","morph21_Oliver/Morris","5","9349","9","yes","1920","43"
"250","","60","60","1014","1014","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","1","undefined","1","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","NA","9","9","9","9","9","10","/","Wed Nov  8 15:06:48 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ekealey/Desktop/subject-228.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","791","NA","NA","NA","NA","45295","791","2","legacy","1024","2","48000","-16","AB_m21","228","even","CW_S","TUTORING","1785","92530","90569","87242","47238","NA","NA","NA","NA","NA","91069","NA","NA","NA","90068","NA","90032","1942","92780","NA","NA","NA","91110","1785","1928","NA","NA","91901","91925","90032","91069","91090","morph21_Oliver/Morris","6","10140","10","yes","1920","27"
