mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-0.968,1,FP1,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.138,2,Fz,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-7.089,3,F3,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-7.226,4,F7,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-7.326,5,FC5,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-3.343,6,FC1,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.903,7,C3,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-8.791,8,T7,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-7.806,9,CP5,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-6.015,10,CP1,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-7.967,11,Pz,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-8.263,12,P3,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-9.695,13,P7,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-8.213,14,O1,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.875,15,O2,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.979,16,P4,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-7.933,17,P8,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-6.206,18,CP6,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.330,19,CP2,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.366,20,CZ,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.942,21,C4,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-6.112,22,T8,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.877,23,FC6,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.170,24,FC2,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.987,25,F4,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-5.885,26,F8,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.449,27,FP2,17,Critical_Word_High_Base_Frequency,S101_LDT_diff_waves
mean_amp,-1.055,1,FP1,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-2.725,2,Fz,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.791,3,F3,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.304,4,F7,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-3.401,5,FC5,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-2.762,6,FC1,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.101,7,C3,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
mean_amp,-4.143,8,T7,18,Critical_Word_Low_Base_Frequency,S101_LDT_diff_waves
