mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-18.438,1,FP1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-16.143,2,Fz,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-16.643,3,F3,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-15.823,4,F7,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-12.713,5,FC5,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-14.779,6,FC1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-10.706,7,C3,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-9.244,8,T7,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-6.790,9,CP5,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-4.922,10,CP1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,2.278,11,Pz,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,2.949,12,P3,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,4.001,13,P7,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,14.574,14,O1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,5.372,15,O2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,5.078,16,P4,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,10.866,17,P8,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,2.345,18,CP6,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-1.054,19,CP2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.575,20,CZ,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-5.515,21,C4,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-1.164,22,T8,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-6.639,23,FC6,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-11.258,24,FC2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-11.485,25,F4,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.444,26,F8,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-15.817,27,FP2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-13.177,1,FP1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-9.636,2,Fz,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-11.951,3,F3,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-12.393,4,F7,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-9.485,5,FC5,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-8.726,6,FC1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-5.238,7,C3,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-7.065,8,T7,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-2.006,9,CP5,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,3.192,10,CP1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,9.618,11,Pz,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,9.363,12,P3,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,7.356,13,P7,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,18.686,14,O1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,9.713,15,O2,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,12.263,16,P4,2,Critical_word_large_family,S105_LDT_diff_waves
