SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,complexity,target,ItemID,word_trig,cond_trig,base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,736,NW,COMP,lidary,33,3,203,lid,ary,3,523,1.0986122886681098,6.26,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,757,NW,SIMP,advertisela,525,25,205,advertise,ly,4,4.76,1.3862943611198906,1.56,9,11,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,970,NW,SIMP,validel,623,23,206,valid,er,13,618,2.5649493574615367,6.43,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,772,NW,SIMP,gumfil,52,2,205,gum,ful,2,57,0.6931471805599453,4.04,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,904,NW,SIMP,dressody,621,21,206,dress,ory,33,3885,3.4965075614664802,8.26,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,719,NW,SIMP,warnody,512,12,205,warn,ory,5,1697,1.6094379124341003,7.44,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,616,NW,SIMP,boltoes,513,13,205,bolt,ous,6,348,1.791759469228055,5.85,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,661,NW,SIMP,nullith,523,23,205,null,ish,4,45,1.3862943611198906,3.81,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,671,NW,COMP,antism,38,8,203,ant,ish,1,206,0,5.33,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,815,NW,SIMP,habitig,67,7,206,habit,ic,16,2066,2.772588722239781,7.63,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,980,NW,SIMP,taxfil,66,6,206,tax,ful,14,2763,2.6390573296152584,7.92,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,578,NW,SIMP,urnilt,55,5,205,urn,ist,2,68,0.6931471805599453,4.22,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,708,NW,SIMP,wigith,69,9,206,wig,ish,8,262,2.0794415416798357,5.57,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,543,NW,COMP,coldity,410,10,204,cold,ity,14,3585,2.6390573296152584,8.18,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,789,NW,COMP,fanful,36,6,203,fan,ful,4,473,1.3862943611198906,6.16,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,920,NW,SIMP,classoes,618,18,206,class,ous,29,6216,3.367295829986474,8.73,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,814,NW,SIMP,acremant,516,16,205,acre,ment,3,708,1.0986122886681098,6.56,4,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,613,NW,COMP,humidous,325,25,203,humid,ous,4,92,1.3862943611198906,4.52,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,775,NW,COMP,figer,34,4,203,fig,er,3,196,1.0986122886681098,5.28,3,5,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,776,NW,SIMP,helmetoes,514,14,205,helmet,ous,6,242,1.791759469228055,5.49,6,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,870,NW,SIMP,witchith,611,11,206,witch,ish,11,890,2.3978952727983707,6.79,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,649,NW,SIMP,jawla,57,7,205,jaw,ly,7,414,1.9459101490553132,6.03,3,5,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,654,NW,COMP,sheeter,45,5,204,sheet,er,14,1009,2.6390573296152584,6.92,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,675,NW,SIMP,feverime,524,24,205,fever,ize,4,594,1.3862943611198906,6.39,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,812,NW,COMP,yankory,323,23,203,yank,ory,2,51,0.6931471805599453,3.93,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,875,NW,SIMP,yieldilt,520,20,205,yield,ist,4,613,1.3862943611198906,6.42,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,870,NW,COMP,elmist,310,10,203,elm,ist,2,175,0.6931471805599453,5.16,3,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,687,NW,SIMP,towerla,615,15,206,tower,ly,9,1180,2.1972245773362196,7.07,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,935,NW,SIMP,winkidy,521,21,205,wink,ity,4,216,1.3862943611198906,5.38,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,699,NW,SIMP,shootmant,616,16,206,shoot,ment,23,1828,3.1354942159291497,7.51,5,9,AB
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,862,NW,SIMP,stirange,41,1,204,stir,ance,12,841,2.4849066497880004,6.73,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,862,NW,COMP,criticance,622,22,206,critic,ize,11,2720,2.3978952727983707,7.91,6,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,846,NW,SIMP,pillime,313,13,203,pill,ize,5,537,1.6094379124341003,6.29,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,937,NW,COMP,yieldist,520,20,205,yield,ist,4,613,1.3862943611198906,6.42,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,656,NW,SIMP,altarig,37,7,203,altar,ic,2,403,0.6931471805599453,6,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,960,NW,SIMP,elmilt,310,10,203,elm,ist,2,175,0.6931471805599453,5.16,3,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,907,NW,SIMP,breakidy,423,23,204,break,ity,43,6366,3.7612001156935624,8.76,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,928,NW,SIMP,heightenge,318,18,203,height,ence,2,912,0.6931471805599453,6.82,6,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,720,NW,SIMP,kingilm,419,19,204,king,ish,11,2275,2.3978952727983707,7.73,4,7,BA
