"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"400","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","0","0","0","0","0","1","z","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","70063","1200","2","legacy","1024","2","48000","-16","AB_m21","201","odd","NW_L_SIMP","POORIDY","1952","76117","73747","NA","72025","NA","NA","NA","NA","NA","74249","NA","NA","NA","73246","NA","73215","1961","76517","NA","NA","NA","74289","1953","1953","NA","75489","75513","73215","74249","74269","morph21_Oliver/Morris","0","1200","1","yes","1920","13"
"250","0","0","648","648","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","0","undefined","0","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","1","1","1","1","1","2","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","96","NA","NA","NA","NA","70063","96","2","legacy","1024","2","48000","-16","AB_m21","201","odd","FILL_W","SMOKE","1952","79317","78049","NA","72025","NA","NA","NA","NA","NA","78551","NA","NA","NA","77546","NA","77518","1961","79567","NA","NA","NA","78592","1953","1953","NA","78689","78713","77518","78551","78572","morph21_Oliver/Morris","0","1296","2","yes","1920","50"
"200","0","0","832","832","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","0","undefined","0","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","2","2","2","2","2","3","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","70063","1200","2","legacy","1024","2","48000","-16","AB_m21","201","odd","CW_S","AMUSEMENT","1952","84988","81113","83484","72025","NA","NA","NA","NA","NA","81615","NA","NA","NA","80613","NA","80587","1961","85188","NA","NA","NA","81655","1953","1953","NA","82855","82880","80587","81615","81635","morph21_Oliver/Morris","0","2496","3","yes","1920","38"
"350","25","25","863.5","863.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","3","3","3","3","3","4","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","958","NA","NA","NA","NA","70063","958","2","legacy","1024","2","48000","-16","AB_m21","201","odd","CW_L","PAINTER","1952","88858","86732","83484","72025","NA","NA","NA","NA","NA","87232","NA","NA","NA","86231","NA","86199","1961","89208","NA","NA","NA","87273","1953","1953","NA","88232","88255","86199","87232","87253","morph21_Oliver/Morris","1","3454","4","yes","1920","18"
"350","40","40","827.4","827.4","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","4","4","4","4","4","5","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","683","NA","NA","NA","NA","70063","683","2","legacy","1024","2","48000","-16","AB_m21","201","odd","CW_L","KICKING","1952","92562","90711","83484","72025","NA","NA","NA","NA","NA","91212","NA","NA","NA","90210","NA","90185","1961","92912","NA","NA","NA","91253","1953","1953","NA","91936","91959","90185","91212","91233","morph21_Oliver/Morris","2","4137","5","yes","1920","23"
"250","50","50","825.5","825.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","5","5","5","5","5","6","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","816","NA","NA","NA","NA","70063","816","2","legacy","1024","2","48000","-16","AB_m21","201","odd","CW_L","PUSHER","1952","97908","94417","96403","72025","NA","NA","NA","NA","NA","94918","NA","NA","NA","93916","NA","93890","1961","98158","NA","NA","NA","94959","1953","1953","NA","95776","95800","93890","94918","94939","morph21_Oliver/Morris","3","4953","6","yes","1920","13"
"400","57.142857142857146","57.142857142857146","797.2857142857143","797.2857142857143","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","6","6","6","6","6","7","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","628","NA","NA","NA","NA","70063","628","2","legacy","1024","2","48000","-16","AB_m21","201","odd","CW_L","COOLING","1952","101485","99687","96403","72025","NA","NA","NA","NA","NA","100187","NA","NA","NA","99186","NA","99159","1961","101885","NA","NA","NA","100227","1953","1953","NA","100856","100881","99159","100187","100207","morph21_Oliver/Morris","4","5581","7","yes","1920","24"
"400","62.5","62.5","769.5","769.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","1","undefined","1","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","7","7","7","7","7","8","/","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","575","NA","NA","NA","NA","70063","575","2","legacy","1024","2","48000","-16","AB_m21","201","odd","FILL_W","EAT","1952","105155","103409","96403","72025","NA","NA","NA","NA","NA","103910","NA","NA","NA","102906","NA","102880","1961","105555","NA","NA","NA","103952","1953","1953","NA","104528","104552","102880","103910","103931","morph21_Oliver/Morris","5","6156","8","yes","1920","25"
"400","66.66666666666667","66.66666666666667","767.7777777777778","767.7777777777778","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","8","8","8","8","8","9","z","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","754","NA","NA","NA","NA","70063","754","2","legacy","1024","2","48000","-16","AB_m21","201","odd","FILL_NW","SOISE","1952","110477","107050","108973","72025","NA","NA","NA","NA","NA","107550","NA","NA","NA","106550","NA","106524","1961","110877","NA","NA","NA","107590","1953","1953","NA","108344","108368","106524","107550","107570","morph21_Oliver/Morris","6","6910","9","yes","1920","43"
"300","70","70","769.7","769.7","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","NA","NA","NA","1","undefined","1","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","9","9","9","9","9","10","z","Mon Jun 12 18:32:04 2023","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ekealey/Desktop/subject-201.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","787","NA","NA","NA","NA","70063","787","2","legacy","1024","2","48000","-16","AB_m21","201","odd","NW_S_SIMP","SOCKETEL","1952","114348","112392","108973","72025","NA","NA","NA","NA","NA","112892","NA","NA","NA","111892","NA","111864","1961","114648","NA","NA","NA","112933","1953","1953","NA","113720","113744","111864","112892","112913","morph21_Oliver/Morris","7","7697","10","yes","1920","1"
