SubjID,value,chindex,chlabel,bini,complexity,base_frequency,List,time_window,z_vcb,z_spl,z_art,Dim.1,Dim.2
S101,-5.28,1,FP1,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.77,2,Fz,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.499,3,F3,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-4.105,4,F7,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.996,5,FC5,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.888,6,FC1,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-1.077,7,C3,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-6.2,8,T7,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.011,9,CP5,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.769,10,CP1,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.994,11,Pz,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.739,12,P3,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.222,13,P7,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-1.719,14,O1,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-0.505,15,O2,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.014,16,P4,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.761,17,P8,19,Complex,High,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
