SubjID,value,chindex,chlabel,bini,family_size,complexity,List,time_window,z_vcb,z_spl,z_art,Dim.1,Dim.2
S101,-5.095,1,FP1,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-1.109,2,Fz,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-0.886,3,F3,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.619,4,F7,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-1.964,5,FC5,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-0.783,6,FC1,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-1.872,7,C3,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.569,8,T7,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.909,9,CP5,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,1.258,10,CP1,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-0.88,11,Pz,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-1.064,12,P3,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-3.242,13,P7,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
S101,-2.628,14,O1,3,Small,Complex,AB,N250,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007
