mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-10.154,1,FP1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.646,2,Fz,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.347,3,F3,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.838,4,F7,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-6.446,5,FC5,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.517,6,FC1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-7.392,7,C3,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-4.703,8,T7,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-4.824,9,CP5,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-6.999,10,CP1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-6.071,11,Pz,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-1.834,12,P3,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,2.431,13,P7,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,5.718,14,O1,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-2.781,15,O2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-3.955,16,P4,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,3.967,17,P8,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-1.809,18,CP6,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-5.895,19,CP2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-7.974,20,CZ,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-6.185,21,C4,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-2.204,22,T8,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-5.740,23,FC6,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-8.338,24,FC2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-7.678,25,F4,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-5.878,26,F8,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-10.223,27,FP2,1,Critical_word_small_family,S105_LDT_diff_waves
mean_amp,-9.499,1,FP1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-7.407,2,Fz,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-8.704,3,F3,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-8.951,4,F7,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-6.593,5,FC5,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-7.440,6,FC1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-5.033,7,C3,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-4.709,8,T7,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-2.370,9,CP5,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-1.906,10,CP1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,0.846,11,Pz,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,3.337,12,P3,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,5.341,13,P7,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,10.705,14,O1,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,2.839,15,O2,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,3.646,16,P4,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,7.659,17,P8,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,3.335,18,CP6,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,0.634,19,CP2,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-3.760,20,CZ,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-0.238,21,C4,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-0.070,22,T8,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-1.893,23,FC6,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-4.174,24,FC2,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-3.494,25,F4,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-3.675,26,F8,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-7.407,27,FP2,2,Critical_word_large_family,S105_LDT_diff_waves
mean_amp,-3.188,1,FP1,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-2.320,2,Fz,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-2.142,3,F3,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,0.787,4,F7,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,0.239,5,FC5,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.729,6,FC1,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.656,7,C3,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.127,8,T7,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,0.496,9,CP5,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.172,10,CP1,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.144,11,Pz,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,3.005,12,P3,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,4.015,13,P7,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,6.547,14,O1,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-1.825,15,O2,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,0.152,16,P4,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,1.110,17,P8,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,0.442,18,CP6,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,0.173,19,CP2,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.816,20,CZ,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.489,21,C4,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.459,22,T8,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-0.375,23,FC6,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-1.605,24,FC2,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-1.087,25,F4,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-1.303,26,F8,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-2.029,27,FP2,3,nonword_small_complex,S105_LDT_diff_waves
mean_amp,-9.565,1,FP1,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-7.112,2,Fz,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-8.662,3,F3,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-7.002,4,F7,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-6.565,5,FC5,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-6.630,6,FC1,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-5.571,7,C3,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-4.632,8,T7,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-2.752,9,CP5,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-1.930,10,CP1,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,0.188,11,Pz,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,2.270,12,P3,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,4.858,13,P7,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,9.543,14,O1,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,1.511,15,O2,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,2.131,16,P4,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,5.627,17,P8,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,1.017,18,CP6,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-0.950,19,CP2,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-3.464,20,CZ,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-1.901,21,C4,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-1.018,22,T8,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-2.819,23,FC6,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-4.811,24,FC2,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-3.157,25,F4,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-3.384,26,F8,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-6.486,27,FP2,4,nonword_large_complex,S105_LDT_diff_waves
mean_amp,-9.700,1,FP1,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-7.936,2,Fz,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-8.132,3,F3,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-8.586,4,F7,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-6.620,5,FC5,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-6.755,6,FC1,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-5.091,7,C3,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-5.301,8,T7,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-2.268,9,CP5,5,nonword_small_simple,S105_LDT_diff_waves
mean_amp,-2.624,10,CP1,5,nonword_small_simple,S105_LDT_diff_waves
