mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-9.265,1,FP1,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-5.305,2,Fz,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-5.898,3,F3,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.982,4,F7,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.382,5,FC5,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-5.547,6,FC1,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.791,7,C3,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-3.703,8,T7,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-1.908,9,CP5,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-3.146,10,CP1,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-3.693,11,Pz,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-1.440,12,P3,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,0.304,13,P7,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,1.175,14,O1,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,0.573,15,O2,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-2.388,16,P4,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-1.253,17,P8,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-3.941,18,CP6,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.569,19,CP2,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-5.390,20,CZ,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-5.454,21,C4,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.149,22,T8,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.553,23,FC6,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-5.359,24,FC2,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.521,25,F4,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-4.415,26,F8,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-7.389,27,FP2,1,Critical_word_small_family,S101_LDT_diff_waves
mean_amp,-1.656,1,FP1,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-4.041,2,Fz,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.783,3,F3,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-1.933,4,F7,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-2.752,5,FC5,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.786,6,FC1,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-4.248,7,C3,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-1.781,8,T7,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-2.052,9,CP5,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-4.129,10,CP1,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.671,11,Pz,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-1.571,12,P3,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-0.401,13,P7,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-0.064,14,O1,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,0.151,15,O2,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-2.241,16,P4,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-0.802,17,P8,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.022,18,CP6,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-4.137,19,CP2,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-4.710,20,CZ,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-5.000,21,C4,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-2.069,22,T8,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.121,23,FC6,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.988,24,FC2,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.689,25,F4,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-3.191,26,F8,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-4.563,27,FP2,2,Critical_word_large_family,S101_LDT_diff_waves
mean_amp,-9.029,1,FP1,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.761,2,Fz,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.325,3,F3,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-2.699,4,F7,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-2.517,5,FC5,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.602,6,FC1,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-2.394,7,C3,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-2.119,8,T7,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.623,9,CP5,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-0.360,10,CP1,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,0.990,11,Pz,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,0.935,12,P3,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,0.891,13,P7,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,2.041,14,O1,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,1.896,15,O2,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,0.337,16,P4,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,0.908,17,P8,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.390,18,CP6,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.144,19,CP2,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-2.283,20,CZ,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.508,21,C4,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-0.955,22,T8,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.151,23,FC6,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-0.867,24,FC2,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-1.814,25,F4,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-0.814,26,F8,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-3.285,27,FP2,3,nonword_small_complex,S101_LDT_diff_waves
mean_amp,-3.742,1,FP1,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-2.633,2,Fz,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-3.406,3,F3,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-1.457,4,F7,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-1.987,5,FC5,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-2.923,6,FC1,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-0.881,7,C3,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-1.941,8,T7,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,0.486,9,CP5,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-2.774,10,CP1,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-0.948,11,Pz,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,0.213,12,P3,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,2.353,13,P7,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,3.049,14,O1,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,1.579,15,O2,4,nonword_large_complex,S101_LDT_diff_waves
mean_amp,-1.574,16,P4,4,nonword_large_complex,S101_LDT_diff_waves
