mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-20.432,1,FP1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-16.842,2,Fz,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-16.904,3,F3,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-17.243,4,F7,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-12.929,5,FC5,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-17.087,6,FC1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-13.118,7,C3,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.208,8,T7,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-7.626,9,CP5,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.136,10,CP1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-7.377,11,Pz,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.996,12,P3,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,6.372,13,P7,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,14.695,14,O1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.545,15,O2,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.736,16,P4,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,9.775,17,P8,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.079,18,CP6,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-7.286,19,CP2,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-13.674,20,CZ,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.007,21,C4,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.817,22,T8,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.968,23,FC6,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-13.781,24,FC2,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-12.041,25,F4,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.956,26,F8,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-19.187,27,FP2,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-18.743,1,FP1,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-15.088,2,Fz,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-17.068,3,F3,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-18.287,4,F7,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-13.125,5,FC5,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-14.741,6,FC1,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-11.717,7,C3,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.615,8,T7,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.785,9,CP5,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-7.771,10,CP1,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.173,11,Pz,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.952,12,P3,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,9.097,13,P7,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,18.085,14,O1,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,2.543,15,O2,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.991,16,P4,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,13.281,17,P8,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.051,18,CP6,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.336,19,CP2,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.775,20,CZ,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-4.953,21,C4,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.855,22,T8,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.374,23,FC6,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-11.161,24,FC2,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.177,25,F4,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.118,26,F8,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-15.962,27,FP2,18,Critical_Word_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.504,1,FP1,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-4.021,2,Fz,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.806,3,F3,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-5.937,4,F7,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.425,5,FC5,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.140,6,FC1,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.686,7,C3,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.187,8,T7,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.327,9,CP5,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,5.249,10,CP1,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,7.908,11,Pz,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,15.382,12,P3,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,15.490,13,P7,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,25.202,14,O1,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,5.960,15,O2,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,8.668,16,P4,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,7.958,17,P8,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.656,18,CP6,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.906,19,CP2,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.246,20,CZ,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.474,21,C4,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-1.024,22,T8,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.221,23,FC6,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.966,24,FC2,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.095,25,F4,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.146,26,F8,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-5.776,27,FP2,19,NonWord_Complex_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-16.894,1,FP1,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-14.566,2,Fz,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-17.319,3,F3,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-11.497,4,F7,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-12.085,5,FC5,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-13.676,6,FC1,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-14.256,7,C3,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.869,8,T7,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-11.354,9,CP5,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.065,10,CP1,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-4.698,11,Pz,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-5.808,12,P3,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.153,13,P7,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,6.389,14,O1,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.467,15,O2,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,2.196,16,P4,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,8.529,17,P8,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.732,18,CP6,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.596,19,CP2,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.027,20,CZ,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-1.676,21,C4,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.692,22,T8,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.644,23,FC6,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.577,24,FC2,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.388,25,F4,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.163,26,F8,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.496,27,FP2,20,NonWord_Complex_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-11.894,1,FP1,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-5.937,2,Fz,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.207,3,F3,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.338,4,F7,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-7.700,5,FC5,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.285,6,FC1,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.993,7,C3,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-7.205,8,T7,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.403,9,CP5,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.801,10,CP1,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.388,11,Pz,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,9.667,12,P3,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,8.932,13,P7,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,18.373,14,O1,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.543,15,O2,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,5.429,16,P4,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,12.778,17,P8,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.023,18,CP6,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.387,19,CP2,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.261,20,CZ,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-2.405,21,C4,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.698,22,T8,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-3.045,23,FC6,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-4.818,24,FC2,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.905,25,F4,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.008,26,F8,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-11.490,27,FP2,21,NonWord_Simple_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-23.988,1,FP1,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-21.347,2,Fz,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-21.206,3,F3,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-20.779,4,F7,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-15.834,5,FC5,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-20.443,6,FC1,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-15.727,7,C3,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.854,8,T7,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.470,9,CP5,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.575,10,CP1,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.033,11,Pz,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.777,12,P3,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,11.229,13,P7,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,22.179,14,O1,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.652,15,O2,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,5.758,16,P4,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,14.356,17,P8,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.763,18,CP6,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-1.388,19,CP2,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-14.487,20,CZ,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.541,21,C4,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.719,22,T8,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.964,23,FC6,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-15.849,24,FC2,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-10.510,25,F4,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-8.478,26,F8,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,-19.619,27,FP2,22,NonWord_Simple_Low_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.689,1,FP1,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.754,2,Fz,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.163,3,F3,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-1.044,4,F7,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.196,5,FC5,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,2.346,6,FC1,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,1.401,7,C3,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.407,8,T7,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.840,9,CP5,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,2.365,10,CP1,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.205,11,Pz,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,0.955,12,P3,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,2.725,13,P7,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.390,14,O1,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,5.088,15,O2,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.727,16,P4,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.506,17,P8,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.131,18,CP6,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.950,19,CP2,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.899,20,CZ,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,3.055,21,C4,23,Critical_Word_Low_Minus_High_Base_Frequency,S105_LDT_diff_waves
