mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-1.200,1,Fp1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.737,2,Fz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.441,3,F3,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.858,4,F7,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,1.265,5,FT9,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.212,6,FC5,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.531,7,FC1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.217,8,C3,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,1.183,9,T7,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.189,10,TP9,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.070,11,CP5,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.215,12,CP1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.753,13,Pz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.236,14,P3,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.395,15,P7,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-1.597,16,O1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.446,17,Oz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.400,18,O2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.479,19,P4,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.009,20,P8,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.261,21,CP6,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.268,22,CP2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.186,23,Cz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.168,24,C4,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.254,25,T8,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.347,26,FT10,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.050,27,FC6,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.318,28,FC2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.427,29,F4,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.564,30,F8,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.275,31,FP2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.145,1,Fp1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.084,2,Fz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.542,3,F3,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.733,4,F7,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,1.490,5,FT9,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.645,6,FC5,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.463,7,FC1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.143,8,C3,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.582,9,T7,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.233,10,TP9,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.300,11,CP5,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.303,12,CP1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.486,13,Pz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.437,14,P3,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.210,15,P7,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.301,16,O1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.074,17,Oz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.230,18,O2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.159,19,P4,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.150,20,P8,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.818,21,CP6,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.078,22,CP2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.166,23,Cz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.795,24,C4,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.652,25,T8,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.301,26,FT10,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.388,27,FC6,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.111,28,FC2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.135,29,F4,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.255,30,F8,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.778,31,FP2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,5.420,1,Fp1,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,3.702,2,Fz,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,3.532,3,F3,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,1.764,4,F7,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,0.293,5,FT9,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,1.265,6,FC5,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,2.881,7,FC1,3,nonword_small_complex,S201_LDT_diff_waves
mean_amp,1.909,8,C3,3,nonword_small_complex,S201_LDT_diff_waves
