Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      31( 62.0)       19( 38.0)       0       0       0       0       0       0       0
  2      28( 56.0)       22( 44.0)       0       0       0       0       0       0       0
  3      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  4      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  5      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  6      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  7      34( 68.0)       16( 32.0)       0       0       0       0       0       0       0
  8      25( 50.0)       25( 50.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   191( 63.7)      109( 36.3)       0       0       0       0       0       0       0

