"ITI","_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_reset_counter_run_1","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_reset_counter_run_1","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","1","z","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","162246","1200","2","legacy","1024","2","48000","-16","AB_m21","4","even","NW_L_COMP","AGREELA","1511","168074","165704","NA","163927","NA","NA","NA","NA","NA","166205","NA","NA","NA","165204","NA","165168","1680","168424","NA","NA","NA","166245","1511","1665","NA","NA","167445","167470","165168","166205","166225","morph21_Oliver/Morris","0","1200","1","yes","1920","24"
"400","","50","50","1128","1128","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","NA","1","1","1","1","1","2","z","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","1056","NA","NA","NA","NA","162246","1056","2","legacy","1024","2","48000","-16","AB_m21","4","even","FILL_NW","DROES","1511","172172","169945","NA","163927","NA","NA","NA","NA","NA","170445","NA","NA","NA","169445","NA","169419","1680","172572","NA","NA","NA","170486","1511","1665","NA","NA","171542","171569","169419","170445","170466","morph21_Oliver/Morris","1","2256","2","yes","1920","17"
"200","","33.333333333333336","33.333333333333336","1152","1152","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","0","undefined","0","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","NA","2","2","2","2","2","3","z","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","162246","1200","2","legacy","1024","2","48000","-16","AB_m21","4","even","FILL_NW","FALONS","1511","178122","174250","176618","163927","NA","NA","NA","NA","NA","174750","NA","NA","NA","173749","NA","173722","1680","178322","NA","NA","NA","174790","1511","1665","NA","NA","175990","176014","173722","174750","174770","morph21_Oliver/Morris","1","3456","3","yes","1920","19"
"250","","50","50","1074.75","1074.75","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","NA","3","3","3","3","3","4","z","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","843","NA","NA","NA","NA","162246","843","2","legacy","1024","2","48000","-16","AB_m21","4","even","FILL_NW","BUWL","1511","181867","179854","176618","163927","NA","NA","NA","NA","NA","180354","NA","NA","NA","179354","NA","179328","1680","182117","NA","NA","NA","180395","1511","1665","NA","NA","181239","181262","179327","180354","180375","morph21_Oliver/Morris","2","4299","4","yes","1920","9"
"200","","60","60","1037","1037","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","NA","4","4","4","4","4","5","/","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","886","NA","NA","NA","NA","162246","886","2","legacy","1024","2","48000","-16","AB_m21","4","even","CW_L","BOOTLESS","1511","185681","183627","176618","163927","NA","NA","NA","NA","NA","184127","NA","NA","NA","183126","NA","183104","1680","185881","NA","NA","NA","184168","1511","1665","NA","NA","185054","185078","183104","184127","184148","morph21_Oliver/Morris","3","5185","5","yes","1920","32"
"250","","66.66666666666667","66.66666666666667","978.1666666666666","978.1666666666666","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","1","undefined","1","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","NA","5","5","5","5","5","6","/","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","684","NA","NA","NA","NA","162246","684","2","legacy","1024","2","48000","-16","AB_m21","4","even","FILL_W","SLIM","1511","190744","187390","189242","163927","NA","NA","NA","NA","NA","187889","NA","NA","NA","186890","NA","186867","1680","190995","NA","NA","NA","187930","1511","1665","NA","NA","188614","188639","186867","187889","187910","morph21_Oliver/Morris","4","5869","6","yes","1920","6"
"350","","71.42857142857143","71.42857142857143","1009.7142857142857","1009.7142857142857","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","1","undefined","1","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","NA","6","6","6","6","6","7","z","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","1199","NA","NA","NA","NA","162246","1199","2","legacy","1024","2","48000","-16","AB_m21","4","even","NW_L_SIMP","NUTLY","1511","194880","192514","189242","163927","NA","NA","NA","NA","NA","193015","NA","NA","NA","192014","NA","191986","1680","195230","NA","NA","NA","193055","1511","1665","NA","NA","194254","194277","191986","193015","193035","morph21_Oliver/Morris","5","7068","7","yes","1920","14"
"350","","62.5","62.5","1033.5","1033.5","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","0","undefined","0","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","NA","7","7","7","7","7","8","/","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","162246","1200","2","legacy","1024","2","48000","-16","AB_m21","4","even","CW_S","AMAZEMENT","1511","199105","196734","189242","163927","NA","NA","NA","NA","NA","197235","NA","NA","NA","196232","NA","196209","1680","199455","NA","NA","NA","197276","1511","1665","NA","NA","198476","198500","196209","197235","197256","morph21_Oliver/Morris","5","8268","8","yes","1920","39"
"200","","66.66666666666667","66.66666666666667","1027.888888888889","1027.888888888889","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","NA","8","8","8","8","8","9","z","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","983","NA","NA","NA","NA","162246","983","2","legacy","1024","2","48000","-16","AB_m21","4","even","FILL_NW","TUEER","1511","204606","200947","203099","163927","NA","NA","NA","NA","NA","201447","NA","NA","NA","200447","NA","200420","1680","204806","NA","NA","NA","201487","1511","1665","NA","NA","202470","202494","200420","201447","201467","morph21_Oliver/Morris","6","9251","9","yes","1920","44"
"300","","70","70","1006.4","1006.4","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","1","undefined","1","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","NA","9","9","9","9","9","10","/","Wed Jun 14 13:40:23 2023","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\emoore8\Desktop\m21_vsl-main","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/emoore8/Desktop/m21_vsl-main/subject-4.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","813","NA","NA","NA","NA","162246","813","2","legacy","1024","2","48000","-16","AB_m21","4","even","FILL_W","IRON","1511","208307","206324","203099","163927","NA","NA","NA","NA","NA","206824","NA","NA","NA","205822","NA","205798","1680","208607","NA","NA","NA","206865","1511","1665","NA","NA","207679","207704","205798","206824","206845","morph21_Oliver/Morris","7","10064","10","yes","1920","33"
