SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity,z_vcb,z_spl,z_art,Dim.1,Dim.2,lang_type_ortho,lang_type_semantic
S101,Hampshire,NA,TRUE,TRUE,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-0.566132793580734,-1.27607017845212,-0.255725041169643,-1.1650271186044685,-0.7995789446538537,Low,Low
S103,Hampshire,MissingEEG,FALSE,TRUE,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489092042289336,0.925394404221005,1.23572939249073,1.527775111177661,0.13977864861803982,High,High
S104,Hampshire,NA,TRUE,TRUE,2017-09-23,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,english,No,62,18,77.5,42,8,84,41,25,16,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,0.620995146773095,-0.175337887115558,-0.0692932369620966,0.24516588010218598,-0.33667064417930936,Low,High
S105,Hampshire,NA,TRUE,TRUE,2017-10-01,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,english,No,64,16,80,32,18,64,45,21,24,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,-0.698035898064493,0.139157053266317,0.676433979868087,0.056115185809714904,0.09333167046493682,High,High
S106,Hampshire,NA,TRUE,TRUE,2017-10-02,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,77,3,96.25,44,6,88,42,24,18,NA,NA,26,6,26,6,32,0.8125,0.1875,1.52753935463215,-1.52753935463215,0.625,3.0550787092643,Sensitive,0.884801355740613,2.18337416574851,0.117138567245449,1.7485338060443683,1.522936725928761,High,High
S107,Hampshire,NA,TRUE,TRUE,2017-10-04,Female,18,Not Hispanic or Latino,More than one race,10,1-3 hours,Yes,English,No,68,12,85,38,12,76,39,27,12,NA,NA,19,13,19,13,32,0.59375,0.40625,0.0702272834813923,-0.0702272834813927,0.1875,0.140454566962785,Insensitive,0.09338272883806,0.768146934030068,-0.442156845377188,0.19009002305426737,0.8008139663338404,High,High
S108,Hampshire,NA,TRUE,TRUE,2017-10-09,Female,18,Not Hispanic or Latino,More than one race,11,1-3 hours,Yes,English,No,69,11,86.25,42,8,84,44,22,22,NA,NA,22,10,22,10,32,0.6875,0.3125,0.69478959968886,-0.694789599688861,0.375,1.38957919937772,Sensitive,0.620995146773095,0.925394404221005,0.490002175660541,1.1572718242153608,0.3877205253188876,High,High
S109,Hampshire,NA,TRUE,TRUE,2017-10-09,Female,18,Not Hispanic or Latino,Asian,11,1-3 hours,Yes,English,No,70,10,87.5,44,6,88,44,22,22,NA,NA,28,4,28,4,32,0.875,0.125,1.9439142321038,-1.9439142321038,0.75,3.88782846420759,Sensitive,0.884801355740613,1.08264187441194,0.490002175660541,1.4000479556450443,0.431933827117141,High,High
S110,Hampshire,NA,TRUE,TRUE,2017-10-18,Female,18,Not Hispanic or Latino,White,10,4-6 hours,Yes,English,No,68,12,85,29,21,58,42,24,18,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,-1.09374521151577,0.768146934030068,0.117138567245449,-0.19527301279644046,0.9889744894948082,High,Low
S111,Hampshire,NA,TRUE,TRUE,2017-10-25,Female,21,Not Hispanic or Latino,More than one race,11,1-3 hours,Yes,English,No,66,14,82.5,37,13,74,41,25,16,NA,NA,14,17,14,17,31,0.451612903225806,0.548387096774194,-0.876689776575092,0.876689776575091,-0.0967741935483871,-1.75337955315018,Insensitive,-0.0385203756456989,0.453651993648192,-0.0692932369620966,0.1711641617067806,0.42970015076229073,High,High
