base,word,Word.2,OkayToUse,Word.3,Condition,cond_trig,word_trig,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
dress, dressody, dressody,TRUE, DRESSODY,NW_L_SIMP,206,21,Simple,ory,Graves,33,3885,8.26,L,L,5.00,9.00,2
dress, dressory, dressory,TRUE, DRESSORY,NW_L_COMP,204,21,Complex,ory,Graves,33,3885,8.26,L,L,5.00,9.00,2
acre,acremant,acremant,TRUE,ACREMANT,NW_S_SIMP,205,16,Simple,ment,Rastle,3,708,6.56,S,L,4.00,8.00,2
acre,acrement,acrement,TRUE,ACREMENT,NW_S_COMP,203,16,Complex,ment,Rastle,3,708,6.56,S,L,4.00,8.00,2
add,addmant,addmant,TRUE,ADDMANT,NW_L_SIMP,206,13,Simple,ment,Crepaldi,10,5883,8.68,L,L,3.00,7.00,1
add,addment,addment,TRUE,ADDMENT,NW_L_COMP,204,13,Complex,ment,Crepaldi,10,5883,8.68,L,L,3.00,7.00,1
adopt,adopt,adoptish,FALSE,ADOPTISH,NW_S_COMP,203,19,Complex,ish,Rastle,4,1205,7.09,S,L,5.00,5.00,1
adopt,adoptish,adoptish,TRUE,ADOPTISH,NW_S_SIMP,205,19,Simple,ish,Rastle,4,1205,7.09,S,L,5.00,5.00,1
advertise,advertisela,advertisela,TRUE,ADVERTISELA,NW_S_SIMP,205,25,Simple,ly,XuTaft,4,4.76,1.56,S,S,9.00,11.00,2
advertise,advertisely,advertisely,TRUE,ADVERTISELY,NW_S_COMP,203,25,Complex,ly,XuTaft,4,4.76,1.56,S,S,9.00,11.00,2
agree,agreela,agreela,TRUE,AGREELA,NW_L_SIMP,206,24,Simple,ly,RastleFiller,9,4745,8.46,L,L,5.00,7.00,1
agree,agreely,agreely,TRUE,AGREELY,NW_L_COMP,204,24,Complex,ly,RastleFiller,9,4745,8.46,L,L,5.00,7.00,1
aid,aidic,aidic,TRUE,AIDIC,NW_S_COMP,203,4,Complex,ic,Crepaldi,4,1159,7.06,S,L,3.00,5.00,2
aid,aidig,aidig,TRUE,AIDIG,NW_S_SIMP,205,4,Simple,ic,Crepaldi,4,1159,7.06,S,L,3.00,5.00,2
altar,altaric,altaric,TRUE,ALTARIC,NW_S_COMP,203,7,Complex,ic,Crepaldi,2,403,6.00,S,S,5.00,7.00,1
altar,altarig,altarig,TRUE,ALTARIG,NW_S_SIMP,205,7,Simple,ic,Crepaldi,2,403,6.00,S,S,5.00,7.00,1
angel,angelish,angelish,TRUE,ANGELISH,NW_L_COMP,204,7,Complex,ish,Crepaldi,17,652,6.48,L,S,5.00,8.00,1
angel,angelith,angelith,TRUE,ANGELITH,NW_L_SIMP,206,7,Simple,ish,Crepaldi,17,652,6.48,L,S,5.00,8.00,1
ant,antilm,antilm,TRUE,ANTILM,NW_S_SIMP,205,8,Simple,ish,Crepaldi,1,206,5.33,S,S,3.00,6.00,1
ant,antism,antism,TRUE,ANTISM,NW_S_COMP,203,8,Complex,ish,Crepaldi,1,206,5.33,S,S,3.00,6.00,1
arid,aridilm,aridilm,TRUE,ARIDILM,NW_S_SIMP,205,9,Simple,ish,Crepaldi,3,100,4.61,S,S,4.00,7.00,1
arid,aridism,aridism,TRUE,ARIDISM,NW_S_COMP,203,9,Complex,ish,Crepaldi,3,100,4.61,S,S,4.00,7.00,1
