mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-1.821,1,Fp1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.982,2,Fz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.544,3,F3,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.090,4,F7,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.096,5,FT9,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.024,6,FC5,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.524,7,FC1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.199,8,C3,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.155,9,T7,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.384,10,TP9,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.119,11,CP5,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.575,12,CP1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,1.073,13,Pz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.255,14,P3,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.586,15,P7,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-2.038,16,O1,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.789,17,Oz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.481,18,O2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,1.461,19,P4,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.867,20,P8,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.936,21,CP6,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,1.009,22,CP2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.271,23,Cz,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,1.380,24,C4,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.369,25,T8,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.166,26,FT10,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.661,27,FC6,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.289,28,FC2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-0.351,29,F4,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.540,30,F8,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,-1.093,31,FP2,1,Critical_word_small_family,S201_LDT_diff_waves
mean_amp,0.223,1,Fp1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.370,2,Fz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.282,3,F3,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.267,4,F7,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.679,5,FT9,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.063,6,FC5,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.227,7,FC1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.323,8,C3,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.398,9,T7,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.341,10,TP9,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.118,11,CP5,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.061,12,CP1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.064,13,Pz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.272,14,P3,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.100,15,P7,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.469,16,O1,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.159,17,Oz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.011,18,O2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.091,19,P4,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.523,20,P8,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.121,21,CP6,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.193,22,CP2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.019,23,Cz,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,-0.485,24,C4,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.077,25,T8,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.285,26,FT10,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.411,27,FC6,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.345,28,FC2,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.534,29,F4,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,0.642,30,F8,2,Critical_word_large_family,S201_LDT_diff_waves
mean_amp,1.189,31,FP2,2,Critical_word_large_family,S201_LDT_diff_waves
