  mlabel	       value	     chindex	     chlabel	        bini	                                binlabel	             ERPset
mean_amp	       5.223	           1	         Fp1	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.640	           2	          Fz	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       0.747	           3	          F3	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       0.767	           4	          F7	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       0.758	           5	         FT9	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       2.075	           6	         FC5	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.670	           7	         FC1	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       2.015	           8	          C3	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       2.417	           9	          T7	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       0.655	          10	         TP9	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       3.393	          11	         CP5	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       3.015	          12	         CP1	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       5.174	          13	          Pz	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       4.705	          14	          P3	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       2.473	          15	          P7	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       3.853	          16	          O1	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       5.879	          17	          Oz	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       4.961	          18	          O2	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       4.243	          19	          P4	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.849	          20	          P8	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.067	          21	         CP6	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       2.079	          22	         CP2	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.340	          23	          Cz	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       2.113	          24	          C4	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	      -1.151	          25	          T8	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	      -1.762	          26	        FT10	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       0.894	          27	         FC6	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.558	          28	         FC2	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.343	          29	          F4	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       1.090	          30	          F8	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       5.815	          31	         FP2	           1	              Critical_word_small_family	S201_LDT_diff_waves
mean_amp	       3.613	           1	         Fp1	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -0.059	           2	          Fz	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       0.297	           3	          F3	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -1.318	           4	          F7	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       0.640	           5	         FT9	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       0.142	           6	         FC5	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -0.549	           7	         FC1	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       1.343	           8	          C3	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       0.681	           9	          T7	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       0.833	          10	         TP9	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       2.798	          11	         CP5	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       1.371	          12	         CP1	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       2.546	          13	          Pz	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       3.064	          14	          P3	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       2.955	          15	          P7	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       4.354	          16	          O1	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       5.450	          17	          Oz	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       4.149	          18	          O2	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       1.470	          19	          P4	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       1.039	          20	          P8	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -1.377	          21	         CP6	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -0.422	          22	         CP2	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -0.652	          23	          Cz	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -2.212	          24	          C4	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -2.876	          25	          T8	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -3.227	          26	        FT10	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -1.677	          27	         FC6	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -0.252	          28	         FC2	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -0.762	          29	          F4	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	      -2.044	          30	          F8	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       0.867	          31	         FP2	           2	              Critical_word_large_family	S201_LDT_diff_waves
mean_amp	       3.843	           1	         Fp1	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       0.162	           2	          Fz	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.871	           3	          F3	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.662	           4	          F7	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -1.218	           5	         FT9	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       0.301	           6	         FC5	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       0.652	           7	         FC1	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       1.118	           8	          C3	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       0.163	           9	          T7	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       1.188	          10	         TP9	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       2.012	          11	         CP5	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       0.055	          12	         CP1	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       1.720	          13	          Pz	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       2.685	          14	          P3	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       1.883	          15	          P7	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       1.762	          16	          O1	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       3.500	          17	          Oz	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       2.768	          18	          O2	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       1.413	          19	          P4	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.660	          20	          P8	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -1.565	          21	         CP6	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       0.001	          22	         CP2	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.529	          23	          Cz	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.688	          24	          C4	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -2.595	          25	          T8	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -2.888	          26	        FT10	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -1.418	          27	         FC6	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.460	          28	         FC2	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -0.601	          29	          F4	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -1.606	          30	          F8	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	       2.187	          31	         FP2	           3	                   nonword_small_complex	S201_LDT_diff_waves
mean_amp	      -3.302	           1	         Fp1	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -3.258	           2	          Fz	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       0.179	           3	          F3	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -1.140	           4	          F7	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -0.743	           5	         FT9	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -0.349	           6	         FC5	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -2.193	           7	         FC1	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -1.577	           8	          C3	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       0.053	           9	          T7	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       0.774	          10	         TP9	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       1.520	          11	         CP5	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -1.179	          12	         CP1	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -0.150	          13	          Pz	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       1.587	          14	          P3	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       1.690	          15	          P7	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       1.994	          16	          O1	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       3.027	          17	          Oz	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	       2.174	          18	          O2	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -0.288	          19	          P4	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -0.230	          20	          P8	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -2.210	          21	         CP6	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -3.542	          22	         CP2	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -3.468	          23	          Cz	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -3.222	          24	          C4	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -1.922	          25	          T8	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -2.738	          26	        FT10	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -1.992	          27	         FC6	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -2.728	          28	         FC2	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -3.061	          29	          F4	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -2.545	          30	          F8	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -6.415	          31	         FP2	           4	                   nonword_large_complex	S201_LDT_diff_waves
mean_amp	      -2.303	           1	         Fp1	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.237	           2	          Fz	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.148	           3	          F3	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -2.431	           4	          F7	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -1.437	           5	         FT9	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -2.196	           6	         FC5	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.021	           7	         FC1	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -0.766	           8	          C3	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -0.608	           9	          T7	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       1.880	          10	         TP9	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       1.566	          11	         CP5	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -0.929	          12	         CP1	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       1.040	          13	          Pz	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       2.280	          14	          P3	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       2.395	          15	          P7	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       4.143	          16	          O1	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       4.956	          17	          Oz	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       3.853	          18	          O2	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       0.723	          19	          P4	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -0.033	          20	          P8	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.201	          21	         CP6	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -1.648	          22	         CP2	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.511	          23	          Cz	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -2.677	          24	          C4	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -4.461	          25	          T8	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -4.061	          26	        FT10	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.943	          27	         FC6	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.151	          28	         FC2	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -3.261	          29	          F4	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -4.658	          30	          F8	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	      -7.543	          31	         FP2	           5	                    nonword_small_simple	S201_LDT_diff_waves
mean_amp	       0.166	           1	         Fp1	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.565	           2	          Fz	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       0.432	           3	          F3	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -0.997	           4	          F7	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.549	           5	         FT9	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -0.578	           6	         FC5	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -2.656	           7	         FC1	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.375	           8	          C3	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -0.431	           9	          T7	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       1.171	          10	         TP9	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       0.432	          11	         CP5	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.368	          12	         CP1	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -0.608	          13	          Pz	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       0.347	          14	          P3	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       0.360	          15	          P7	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       0.895	          16	          O1	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       2.335	          17	          Oz	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       1.458	          18	          O2	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -0.935	          19	          P4	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -0.757	          20	          P8	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -3.319	          21	         CP6	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -3.097	          22	         CP2	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.989	          23	          Cz	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.390	          24	          C4	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -3.402	          25	          T8	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -3.146	          26	        FT10	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.746	          27	         FC6	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.327	          28	         FC2	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.233	          29	          F4	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -1.904	          30	          F8	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	      -2.262	          31	         FP2	           6	                    nonword_large_simple	S201_LDT_diff_waves
mean_amp	       9.473	           1	         Fp1	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.925	           2	          Fz	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.591	           3	          F3	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       0.775	           4	          F7	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       0.719	           5	         FT9	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       1.829	           6	         FC5	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.541	           7	         FC1	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       3.316	           8	          C3	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       1.988	           9	          T7	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       0.166	          10	         TP9	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       3.523	          11	         CP5	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       3.209	          12	         CP1	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       5.325	          13	          Pz	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.995	          14	          P3	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       2.164	          15	          P7	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       3.913	          16	          O1	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       6.256	          17	          Oz	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.948	          18	          O2	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.645	          19	          P4	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       2.146	          20	          P8	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       2.118	          21	         CP6	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       2.699	          22	         CP2	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       2.734	          23	          Cz	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       3.183	          24	          C4	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	      -0.234	          25	          T8	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	      -1.142	          26	        FT10	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       1.695	          27	         FC6	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       3.679	          28	         FC2	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       4.392	          29	          F4	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       2.280	          30	          F8	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	       6.787	          31	         FP2	           7	                             filler_word	S201_LDT_diff_waves
mean_amp	      -2.581	           1	         Fp1	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.154	           2	          Fz	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.717	           3	          F3	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -3.117	           4	          F7	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -2.251	           5	         FT9	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -2.669	           6	         FC5	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -5.235	           7	         FC1	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -2.804	           8	          C3	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -0.984	           9	          T7	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       1.214	          10	         TP9	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       0.501	          11	         CP5	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -2.372	          12	         CP1	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -0.003	          13	          Pz	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       0.862	          14	          P3	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       2.236	          15	          P7	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       2.711	          16	          O1	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       3.712	          17	          Oz	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       2.910	          18	          O2	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -0.206	          19	          P4	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       0.037	          20	          P8	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -2.944	          21	         CP6	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.464	          22	         CP2	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.633	          23	          Cz	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -3.541	          24	          C4	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -3.963	          25	          T8	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.639	          26	        FT10	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -3.915	          27	         FC6	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.320	          28	         FC2	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -4.042	          29	          F4	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -3.625	          30	          F8	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	      -6.938	          31	         FP2	           8	                          filler_nonword	S201_LDT_diff_waves
mean_amp	       1.611	           1	         Fp1	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.699	           2	          Fz	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.450	           3	          F3	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.085	           4	          F7	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.118	           5	         FT9	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.932	           6	         FC5	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.219	           7	         FC1	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.673	           8	          C3	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.736	           9	          T7	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	      -0.178	          10	         TP9	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.596	          11	         CP5	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.644	          12	         CP1	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.628	          13	          Pz	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.642	          14	          P3	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	      -0.482	          15	          P7	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	      -0.501	          16	          O1	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.429	          17	          Oz	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.812	          18	          O2	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.774	          19	          P4	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.811	          20	          P8	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.443	          21	         CP6	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.501	          22	         CP2	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.992	          23	          Cz	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       4.326	          24	          C4	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.725	          25	          T8	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.465	          26	        FT10	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.570	          27	         FC6	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.811	          28	         FC2	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.106	          29	          F4	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       3.133	          30	          F8	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       4.947	          31	         FP2	           9	      Word_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       7.144	           1	         Fp1	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       3.420	           2	          Fz	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	      -1.050	           3	          F3	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.479	           4	          F7	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	      -0.475	           5	         FT9	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.649	           6	         FC5	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.845	           7	         FC1	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       2.695	           8	          C3	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.110	           9	          T7	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.414	          10	         TP9	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.492	          11	         CP5	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.235	          12	         CP1	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.870	          13	          Pz	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       1.099	          14	          P3	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.193	          15	          P7	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	      -0.232	          16	          O1	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
mean_amp	       0.473	          17	          Oz	          10	Complex_NW_Small_Minus_Large_Family_Size	S201_LDT_diff_waves
