  mlabel	       value	     chindex	     chlabel	        bini	                                     binlabel	             ERPset
mean_amp	      -6.610	           1	         FP1	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -11.554	           2	          Fz	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -11.154	           3	          F3	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -8.162	           4	          F7	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -9.284	           5	         FC5	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -10.570	           6	         FC1	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -9.065	           7	          C3	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -7.772	           8	          T7	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -5.706	           9	         CP5	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -9.792	          10	         CP1	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -9.633	          11	          Pz	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -5.821	          12	          P3	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -2.163	          13	          P7	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -1.428	          14	          O1	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -2.150	          15	          O2	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -8.549	          16	          P4	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -5.161	          17	          P8	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -10.589	          18	         CP6	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -12.055	          19	         CP2	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -12.826	          20	          CZ	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -13.074	          21	          C4	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -10.399	          22	          T8	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -11.218	          23	         FC6	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -12.541	          24	         FC2	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -12.618	          25	          F4	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -12.902	          26	          F8	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -14.411	          27	         FP2	          17	            Critical_Word_High_Base_Frequency	S101_LDT_diff_waves
mean_amp	     -14.796	           1	         FP1	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -6.807	           2	          Fz	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -7.913	           3	          F3	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -5.471	           4	          F7	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -4.746	           5	         FC5	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -7.826	           6	         FC1	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -8.660	           7	          C3	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -3.031	           8	          T7	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
mean_amp	      -1.964	           9	         CP5	          18	             Critical_Word_Low_Base_Frequency	S101_LDT_diff_waves
