StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q1,Q2,Q3,QID6_First Click,QID6_Last Click,QID6_Page Submit,QID6_Click Count,T_First Click,T_Last Click,T_Page Submit,T_Click Count,1,2,3,4,5,6,7,8,9,10,T_First Click,T_Last Click,T_Page Submit,T_Click Count,11,12,13,14,15,16,17,18,19,20,T_First Click,T_Last Click,T_Page Submit,T_Click Count,21,22,23,24,25,26,27,28,29,30,T_First Click,T_Last Click,T_Page Submit,T_Click Count,31,32,33,34,35,36,37,38,39,40,T_First Click,T_Last Click,T_Page Submit,T_Click Count,41,42,43,44,45,46,47,48,49,50,T_First Click,T_Last Click,T_Page Submit,T_Click Count,51,52,53,54,55,56,57,58,59,60,T_First Click,T_Last Click,T_Page Submit,T_Click Count,61,62,63,64,65,66,67,68,69,70,T_First Click,T_Last Click,T_Page Submit,T_Click Count,71,72,73,74,75,76,77,78,79,80,SC0,SC1,SC2,Q_TotalDuration,Date,Time
7/24/2017 14:06,7/24/2017 14:55,IP Address,64.254.160.156,100,2934,TRUE,7/24/2017 14:55,R_Qml3UEHA0hUgvoB,,,,,42.38960266,-72.45339966,anonymous,EN,2477.272,2487.072,2488.224,4,7/24/2017,11,MorphIndDiff,0,0,141.407,0,11.289,46.712,48.945,15,unforeseen,calendar,truly,arguement,disappear,siege,Caribbean,accommodation,environment,committee,2.245,30.718,31.955,14,ecstasy,foreseeable,millennium,pavilion,school,persistant,propaganda,assassination,colleague,knowledge,2.265,32.882,33.91,11,apparantly,glamourous,definitely,tomorrow,weird,noticeable,neccessary,independent,foreign,wherever,3.872,25.265,26.102,10,Fahrenheit,seperate,mother,mispell,successful,curiousity,across,irresistible,bizarre,completely,3.044,26.547,27.33,11,tendency,fluorescent,achieve,religious,preferred,existence,jist,until,license,teacher,2.214,32.022,32.739,13,humourous,tongue,guard,receive,publicly,incidentally,cemetery,possession,aggressive,liaison,2.684,32.331,34.014,15,threshhold,business,dilemna,ocassion,unforeseen,dissapoint,chauffeur,Portuguese,immediately,interupt,9.888,59.375,60.301,15,beginning,resistance,Neanderthal,table,referred,piece,forty,politician,embarass,harassment,64,16,48,2934,7/24/2017,2:55 PM
9/15/2017 11:07,9/15/2017 11:57,IP Address,144.121.36.247,100,2995,TRUE,9/15/2017 11:57,R_1FkNfL98eRd8FsR,,,,,42.33659363,-71.07260132,anonymous,EN,2701.877,2705.512,2715.264,3,9/15/2017,12,Morph21,0,0,10.783,0,5.917,32.589,36.505,10,unforeseen,calendar,truly,argument,disappear,siege,Caribbean,accommodation,environment,committee,1.817,31.054,31.992,13,ecstasy,foreseeable,millennium,pavillion,school,persistent,propaganda,assassination,colleague,knowledge,1.785,25.785,26.617,11,apparently,glamorous,definitely,tomorrow,weird,noticeable,necessary,independent,foreign,wherever,1.586,38.144,39.128,13,Fahrenheit,seperate,mother,misspell,successful,curiosity,across,irresistable,bizarre,completely,1.5,36.407,38.821,15,tendency,fluorescent,achieve,religious,preferred,existence,jist,until,license,teacher,1.737,28.31,29.348,13,humorous,tongue,guard,receive,publicly,incidently,cemetery,possession,aggressive,liason,2.208,26.16,27.141,10,threshold,business,dilemma,occasion,unforeseen,disappoint,chauffer,Portugese,immediately,interrupt,1.638,22.958,23.908,11,beginning,resistance,Neanderthal,table,referred,piece,forty,politician,embarass,harassment,71,9,62,2995,9/15/2017,11:57 AM
9/15/2017 14:38,9/15/2017 15:42,IP Address,144.121.36.234,100,3799,TRUE,9/15/2017 15:42,R_2cvI1hr91xN678P,,,,,42.33659363,-71.07260132,anonymous,EN,5.795,13.555,14.86,2,9/15/2017,13,Morph21,2400.966,3421.85,3446.839,2,3.783,45.227,46.527,12,unforseen,calendar,truly,argument,disappear,seige,Caribbean,accomodation,environment,committee,11.643,48.064,49.148,10,ecstacy,forseeable,millennium,pavillion,school,persistent,propaganda,assassination,colleague,knowledge,1.859,27.151,28.497,10,apparently,glamorous,definitely,tomorrow,weird,noticable,necessary,independant,foreign,wherever,2.834,41.442,46.175,13,Fahrenheit,separate,mother,misspell,successful,curiosity,across,irresistable,bizzare,completely,2.251,31.131,31.977,13,tendency,fluorescent,achieve,religious,preferred,existence,gist,until,liscense,teacher,3.18,42.828,45.362,11,humorous,tongue,gaurd,recieve,publicly,incidentally,cemetery,posession,aggressive,liaison,1.912,39.352,43.807,10,threshold,business,dilemma,occasion,unforeseen,disappoint,chauffeur,Portugese,immediately,interupt,1.92,36.04,36.782,11,begining,resistance,Neanderthal,table,referred,piece,forty,politician,embarass,harassment,62,18,44,3799,9/15/2017,3:42 PM
9/19/2017 14:30,9/19/2017 14:39,IP Address,144.121.36.229,100,505,TRUE,9/19/2017 14:39,R_3kplGOICZB0GITX,,,,,42.38960266,-72.45339966,anonymous,EN,216.189,226.22,229.746,3,9/19/2017,101,Morph21,0,0,1.493,0,17.858,45.348,46.979,12,unforseen,calender,truly,arguement,disappear,siege,Caribbean,accommodation,environment,committee,2.476,20.348,20.868,12,ecstasy,forseeable,millennium,pavillion,school,persistant,propaganda,assassination,colleague,knowledge,1.211,21.851,22.977,10,apparently,glamourous,definitely,tommorow,weird,noticeable,neccessary,independent,foriegn,wherever,7.833,42.058,42.818,12,Fahrenheit,seperate,mother,mispell,successful,curiousity,across,irresistible,bizarre,completely,3.35,19.566,20.051,10,tendancy,florescent,achieve,religious,preferred,existence,gist,until,license,teacher,3.093,29.299,30.241,11,humourous,tongue,guard,recieve,publicly,incidently,cemetary,possession,aggressive,liason,2.517,31.389,33.054,11,threshold,business,dilemma,ocassion,unforseen,dissapoint,chauffeur,Portuguese,immediately,interrupt,2.347,41.891,43.285,11,beginning,resistance,Neanderthal,table,referred,peice,forty,politician,embarass,harassment,55,25,30,505,9/19/2017,2:39 PM
9/22/2017 11:29,9/22/2017 11:37,IP Address,144.121.36.234,100,456,TRUE,9/22/2017 11:37,R_6W3kYqNyJdUZfIR,,,,,42.33659363,-71.07260132,anonymous,EN,148.206,159.506,160.958,4,9/22/2017,103,Morph21,0,0,12.583,0,5.521,43.015,43.98,11,unforeseen,calendar,truly,argument,disappear,siege,Carribean,accomodation,enviroment,committee,1.861,35.844,36.828,11,ecstasy,foreseeable,millennium,pavilion,school,persistent,propaganda,assassination,colleague,knowledge,1.54,22.071,23.26,11,apparently,glamorous,definitely,tomorrow,weird,noticeable,neccessary,independent,foreign,wherever,2.063,46.964,48.777,15,Fahrenheit,separate,mother,mispell,successful,curiousity,across,irresistible,bizarre,completely,2.033,29.139,31.531,12,tendency,florescent,achieve,religious,preferred,existence,gist,until,liscense,teacher,1.625,24.599,25.788,15,humorous,tongue,guard,recieve,publicly,incidentally,cemetery,possession,aggressive,liaison,5.059,33.058,33.554,12,threshold,business,dilemma,occasion,unforeseen,dissapoint,chauffeur,Portuguese,immediately,interrupt,2.021,21.774,24.605,10,beginning,resistance,Neanderthal,table,referred,piece,forty,politican,embarrass,harassment,69,11,58,456,9/22/2017,11:37 AM
9/23/2017 9:57,9/23/2017 10:05,IP Address,144.121.36.234,100,500,TRUE,9/23/2017 10:05,R_1QxBjtLSZdrwRqt,,,,,42.33659363,-71.07260132,anonymous,EN,126.556,142.04,143.637,2,23-Sep-17,104,Morph21,0,0,6.839,0,1.911,37.168,38.279,13,unforeseen,calendar,truly,arguement,disappear,siege,Carribean,accomodation,environment,committee,3.19,33.454,34.428,12,ecstasy,forseeable,millenium,pavillion,school,persistant,propaganda,assassination,colleague,knowledge,4.775,46.422,48.543,13,apparently,glamourous,definitely,tomorrow,weird,noticeable,neccessary,independent,foreign,wherever,1.808,41.56,42.262,10,Fahrenheit,separate,mother,misspell,successful,curiousity,across,irresistable,bizarre,completely,2.171,31.452,32.465,10,tendency,fluorescent,achieve,religious,preferred,existence,gist,until,liscense,teacher,3.068,34.756,35.642,10,humorous,tongue,guard,receive,publicly,incidently,cemetery,posession,aggressive,liason,3.015,64.749,66.14,12,threshold,business,dilemma,occasion,unforseen,disappoint,chauffeur,Portugese,immediately,interrupt,2.903,37.385,38.329,10,beginning,resistance,Neanderthal,table,referred,piece,forty,politician,embarass,harassment,62,18,44,500,9/23/2017,10:05 AM
10/1/2017 11:17,10/1/2017 11:25,IP Address,144.121.36.249,100,474,TRUE,10/1/2017 11:25,R_12nGik3xlxy17xm,,,,,42.33659363,-71.07260132,anonymous,EN,243.928,264.262,265.728,6,10/1/2017,105,Morph21,0,0,8.246,0,2.993,23.963,25.408,11,unforseen,calendar,truly,arguement,disappear,seige,Caribbean,accommodation,environment,committee,1.33,27.629,28.73,13,ecstasy,foreseeable,millenium,pavillion,school,persistent,propaganda,assassination,colleague,knowledge,1.753,21.961,22.566,12,apparently,glamourous,definitely,tomorrow,weird,noticeable,neccessary,independent,foreign,wherever,2.451,26.027,26.657,14,Fahrenheit,separate,mother,misspell,successful,curiosity,across,irresistible,bizarre,completely,1.332,18.613,19.346,14,tendency,fluorescent,achieve,religious,preferred,existence,jist,until,license,teacher,1.161,22.528,23.456,13,humourous,tongue,guard,recieve,publicly,incidentally,cemetery,possession,aggressive,liason,1.883,21.043,21.883,13,threshold,business,dilemma,occasion,unforseen,disappoint,chauffeur,Portuguese,immediately,interrupt,1.388,18.116,20.706,12,beginning,resistance,Neanderthal,table,referred,piece,fourty,politican,embarass,harrassment,64,16,48,474,10/1/2017,11:25 AM
10/2/2017 12:32,10/2/2017 12:37,IP Address,144.121.36.245,100,328,TRUE,10/2/2017 12:37,R_3Dj5jPRkYAtemDB,,,,,42.33659363,-71.07260132,anonymous,EN,97.228,104.533,108.673,2,10/2/2017,106,Morph21,0,0,9.018,0,3.093,26.328,27.769,12,unforeseen,calendar,truly,argument,disappear,siege,Caribbean,accommodation,environment,committee,1.804,25.603,26.68,12,ecstasy,foreseeable,millenium,pavilion,school,persistent,propaganda,assassination,colleague,knowledge,2.057,22.802,23.816,11,apparently,glamorous,definitely,tomorrow,weird,noticeable,necessary,independent,foreign,wherever,3.397,28.084,28.963,11,Fahrenheit,separate,mother,mispell,successful,curiosity,across,irresistible,bizarre,completely,1.543,15.726,20.527,11,tendency,fluorescent,achieve,religious,preferred,existence,gist,until,license,teacher,1.967,20.975,21.957,11,humorous,tongue,guard,receive,publicly,incidentally,cemetery,possession,aggressive,liaison,2.845,24.284,25.404,13,threshold,business,dilemma,occasion,unforeseen,disappoint,chauffeur,Portuguese,immediately,interrupt,2.006,24.766,25.558,10,beginning,resistance,Neanderthal,table,referred,piece,forty,politician,embarass,harassment,77,3,74,328,10/2/2017,12:37 PM
10/8/2017 14:18,10/8/2017 14:23,IP Address,144.121.36.252,100,297,TRUE,10/8/2017 14:23,R_1I6izbZYCK8wZrh,,,,,42.38960266,-72.45339966,anonymous,EN,26.248,35.664,37.695,3,10/8/2017,107,Morph21,0,0,6.494,0,3.112,33.244,34.325,13,unforseen,calendar,truly,argument,disappear,siege,Caribbean,accommodation,environment,committee,4.309,31.45,32.349,12,ecstacy,foreseeable,millennium,pavilion,school,persistant,propaganda,assassination,collegue,knowledge,4.092,32.46,33.372,13,apparently,glamorous,definitely,tomorrow,weird,noticeable,necessary,independent,foreign,wherever,2.06,24.8,25.437,11,Fahrenheit,separate,mother,mispell,successful,curiosity,across,irresistible,bizarre,completely,1.598,30.423,31.333,12,tendency,fluorescent,acheive,religious,prefered,existance,gist,until,liscense,teacher,2.913,25.446,26.249,11,humorous,tongue,guard,receive,publically,incidentally,cemetery,possession,agressive,liaison,2.671,30.807,31.942,10,threshold,business,dilemma,occasion,unforeseen,disappoint,chauffeur,Portuguese,immediately,interrupt,3.574,22.814,23.549,11,beginning,resistance,Neanderthal,table,referred,piece,forty,politician,embarrass,harrassment,68,12,56,297,10/8/2017,2:23 PM
10/9/2017 12:25,10/9/2017 12:32,IP Address,144.121.36.239,100,396,TRUE,10/9/2017 12:32,R_8vriZJFzFQDrbGx,,,,,42.38960266,-72.45339966,anonymous,EN,81.619,99.943,100.988,7,10/9/2017,108,Morph21,0,0,10.947,0,2.658,34.031,40.091,14,unforseen,calendar,truly,argument,disappear,siege,Carribean,accommodation,environment,committee,3.131,32.393,33.292,11,ecstasy,forseeable,millenium,pavillion,school,persistent,propaganda,assasination,colleague,knowledge,1.928,26.241,26.912,11,apparently,glamourous,definitely,tomorrow,weird,noticeable,necessary,independent,foreign,wherever,3.304,33.847,34.615,13,Fahrenheit,separate,mother,misspell,successful,curiosity,across,irresistible,bizarre,completely,2.982,28.95,29.718,11,tendency,fluorescent,achieve,religious,preferred,existence,gist,until,license,teacher,3.915,37.051,38.386,13,humorous,tongue,guard,recieve,publicly,incidentally,cemetery,posession,aggressive,liaison,2.712,25.376,26.121,11,threshold,business,dilemma,occasion,unforseen,disappoint,chauffeur,Portuguese,immediately,interrupt,1.671,42.813,43.535,13,beginning,resistance,Neanderthal,table,referred,piece,forty,politician,embarass,harassment,69,11,58,396,10/9/2017,12:32 PM
