StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q69,Q62,Q63,P1,P2,P3,1,2,3,4,5,T_First Click,T_Last Click,T_Page Submit,T_Click Count,6,7,8,9,10,T_First Click,T_Last Click,T_Page Submit,T_Click Count,11,12,13,14,15,T_First Click,T_Last Click,T_Page Submit,T_Click Count,16,17,18,19,20,T_First Click,T_Last Click,T_Page Submit,T_Click Count,21,22,23,24,25,T_First Click,T_Last Click,T_Page Submit,T_Click Count,26,27,28,29,30,T_First Click,T_Last Click,T_Page Submit,T_Click Count,31,32,33,34,35,T_First Click,T_Last Click,T_Page Submit,T_Click Count,36,37,38,39,40,T_First Click,T_Last Click,T_Page Submit,T_Click Count,41,42,43,44,45,T_First Click,T_Last Click,T_Page Submit,T_Click Count,46,47,48,49,50,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,SC0,SC1,SC2,Date,Time,Participant,Experiment,Q_TotalDuration,Q69 - Topics
7/24/2017 14:06,7/24/2017 15:07,IP Address,64.254.160.156,100,3670,TRUE,7/24/2017 15:07,R_1pm1tHrojEIaatH,,,,,42.38960266,-72.45339966,anonymous,EN,2470.076,2505.184,2509.704,5,7/24/2017,11,MorphIndDiff,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,9.083,33.502,34.537,6,D. present,A. ruling,D. risk,C. back and forth,D. gift,7.665,56.801,59.256,9,B. presuppose,D. destructively,D. discerning,B. reach it,D. hidden,5.69,53.138,55.624,11,D. skilled,D. country house,E. unavoidable,C. unconquerable,C. an expert,8.566,49.742,51.198,5,C. mixture,C. exciting,C. out-of-date,C. skillful,C. tumult,17.519,36.343,37.587,7,B. urgent,B. perceived,A. unconscious,D. ages,E. sayings,6.127,75.181,76.325,26,C. aspects,C. ruin,A. awkwardness,E. pliability,D. silly,2.664,118.264,131.718,13,D. misfortune,D. short,D. excessively,E. yield,E. ill-tempered,9.824,42.16,43.07,5,B. call up,E. hindered,B. farm,A. irregularly,C. profitable,5.07,50.822,51.699,5,B. independence,A. unexampled,D. flooded,A. doctrines,B. impending,11.061,59.973,64.052,8,46,4,50,7/24/2017,3:07 PM,11,,3670,Unknown
9/15/2017 11:07,9/15/2017 12:04,IP Address,144.121.36.247,100,3463,TRUE,9/15/2017 12:04,R_24OPXvjhfnwAaDL,,,,,42.33659363,-71.07260132,anonymous,EN,2992.793,3019.697,3021.01,7,9/15/2017,12,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,4.411,24.251,25.577,6,D. present,A. ruling,D. risk,B. away,E. little trick,2.947,41.5,42.476,5,B. presuppose,B. helplessly,D. discerning,D. work toward it,D. hidden,4.196,38.981,39.884,7,D. skilled,A. happy farewell,E. unavoidable,C. unconquerable,C. an expert,6.62,44.835,45.712,7,D. stump,A. depressing,C. out-of-date,C. skillful,C. tumult,3.149,47.637,49.589,6,B. urgent,B. perceived,A. unconscious,D. ages,A. crowds,2.812,36.004,37.066,7,C. aspects,C. ruin,A. awkwardness,E. pliability,D. silly,4.51,43.958,44.739,5,D. misfortune,D. short,D. excessively,E. yield,D. distrustful,5.805,46.076,46.743,6,D. plot,E. hindered,C. sharp glance,D. usually,C. profitable,3.949,29.918,30.812,5,B. independence,A. unexampled,E. discovered,B. renters,E. drastic,2.923,38.435,39.925,8,34,16,50,9/15/2017,12:04 PM,12,,3463,
9/15/2017 15:42,9/15/2017 15:48,IP Address,144.121.36.234,100,361,TRUE,9/15/2017 15:48,R_tLo9VBTH8kmpvWN,,,,,42.33659363,-71.07260132,anonymous,EN,1.617,15.996,18.253,4,9/15/2017,13,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,5.602,20.762,22.033,6,D. present,A. ruling,D. risk,C. back and forth,A. small article,5.219,26.553,27.642,5,B. presuppose,B. helplessly,A concluding,B. reach it,D. hidden,10.56,47.842,48.854,5,D. skilled,C. balcony,E. unavoidable,C. unconquerable,C. an expert,2.522,23.555,24.369,5,C. mixture,D. comical,C. out-of-date,A. sly,C. tumult,6.765,35.254,36.259,6,B. urgent,B. perceived,A. unconscious,D. ages,E. sayings,3.369,23.956,24.829,7,C. aspects,C. ruin,A. awkwardness,E. pliability,D. silly,9.99,42.701,43.996,6,D. misfortune,D. short,B. lively,E. yield,D. distrustful,4.621,28.517,29.34,6,B. call up,E. hindered,D. bog,B. always,C. profitable,2.474,27.729,28.17,7,B. independence,A. unexampled,D. flooded,B. renters,B. impending,1.946,22.515,23.296,5,43,7,50,9/15/2017,3:48 PM,13,,361,
9/19/2017 14:30,9/19/2017 14:48,IP Address,144.121.36.229,100,1045,TRUE,9/19/2017 14:48,R_3j2v5lY3bPdqWqD,,,,,42.33659363,-71.07260132,anonymous,EN,544.018,558.113,571.87,3,9/19/2017,101,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,5.286,19.327,19.99,7,D. present,A. ruling,D. risk,D. aside,E. little trick,3.907,29.452,40.619,7,B. presuppose,D. destructively,D. discerning,D. work toward it,D. hidden,6.781,39.907,45.905,7,D. skilled,A. happy farewell,E. unavoidable,C. unconquerable,C. an expert,11.784,65.833,67.769,17,C. mixture,C. exciting,C. out-of-date,A. sly,C. tumult,5.575,31.327,33.893,10,B. urgent,A. disappeared,A. unconscious,D. ages,E. sayings,12.876,43.635,44.528,5,D. truths,C. ruin,A. awkwardness,D. evenness,A. self-conscious,5.16,27.616,30.361,6,E. capability,E. legal,C. wavy,E. yield,A. ancient,13.791,40.78,42.092,6,B. call up,E. hindered,A. small mirror,B. always,A. brilliant,6.454,41.445,44.029,6,C. motor-driven,A. unexampled,C. touched,C. occupants,B. impending,10.174,60.647,62.19,11,33,17,50,9/19/2017,2:48 PM,101,,1045,
9/22/2017 11:29,9/22/2017 11:43,IP Address,144.121.36.234,100,830,TRUE,9/22/2017 11:43,R_1ig846ERbBD2Xfo,,,,,42.33659363,-71.07260132,anonymous,EN,453.028,463.212,467.793,3,9/22/2017,103,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,4.28,16.905,17.645,5,D. present,A. ruling,D. risk,C. back and forth,A. small article,2.506,15.074,17.123,5,B. presuppose,D. destructively,C. disobeying,B. reach it,B. opaque,3.421,43.127,44.919,9,D. skilled,D. country house,E. unavoidable,C. unconquerable,E. a snob,4.351,49.35,49.838,9,C. mixture,C. exciting,C. out-of-date,C. skillful,C. tumult,7.04,17.681,18.325,5,B. urgent,B. perceived,A. unconscious,D. ages,E. sayings,2.328,18.144,19.725,5,C. aspects,C. ruin,E. willingness,E. pliability,B. strange,4.112,41.999,43.693,5,D. misfortune,A. wordy,D. excessively,E. yield,E. ill-tempered,10.168,43.512,44.386,6,B. call up,E. hindered,D. bog,D. usually,C. profitable,1.732,27.676,29.821,5,B. independence,A. unexampled,D. flooded,B. renters,B. impending,5.737,23.922,26.961,6,41,9,50,9/22/2017,11:43 AM,103,,830,
9/23/2017 9:57,9/23/2017 10:13,IP Address,144.121.36.234,100,968,TRUE,9/23/2017 10:13,R_yURuGllOwAPxWQF,,,,,42.33659363,-71.07260132,anonymous,EN,498.102,512.708,514.092,2,23-Sep-17,104,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,4.023,19.88,21.031,5,D. present,A. ruling,D. risk,C. back and forth,A. small article,3.385,24.003,25.591,6,B. presuppose,D. destructively,D. discerning,B. reach it,D. hidden,2.61,36.37,37.871,7,D. skilled,A. happy farewell,E. unavoidable,C. unconquerable,C. an expert,4.737,37.041,38.719,5,C. mixture,C. exciting,C. out-of-date,C. skillful,C. tumult,8.069,36.405,38.979,5,B. urgent,B. perceived,A. unconscious,D. ages,A. crowds,7.676,39.644,43.61,5,C. aspects,C. ruin,A. awkwardness,E. pliability,A. self-conscious,18.368,47.768,56.278,5,D. misfortune,D. short,A. shortly,E. yield,E. ill-tempered,6.163,42.235,42.694,9,B. call up,E. hindered,C. sharp glance,B. always,C. profitable,3.8,50.795,52.416,10,B. independence,A. unexampled,B. occupied,B. renters,B. impending,3.254,44.1,45.262,6,42,8,50,9/23/2017,10:13 AM,104,,968,
10/1/2017 11:17,10/1/2017 11:31,IP Address,144.121.36.249,100,822,TRUE,10/1/2017 11:31,R_eh8cE51PG8aQtAB,,,,,42.38960266,-72.45339966,anonymous,EN,470.871,479.951,481.01,3,10/1/2017,105,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,C. collecting,E. pamphlet,E. one and only,3.172,20.357,21.07,5,D. present,A. ruling,D. risk,C. back and forth,A. small article,3.233,38.615,39.612,9,B. presuppose,D. destructively,A concluding,B. reach it,D. hidden,1.823,28.598,29.203,9,D. skilled,D. country house,C. hopeless,C. unconquerable,C. an expert,2.895,26.919,27.39,7,C. mixture,D. comical,C. out-of-date,C. skillful,B. money,3.005,21.17,23.803,5,A. improper,B. perceived,C. slow,A. years,E. sayings,3.336,26.48,27.23,5,C. aspects,C. ruin,D. vagueness,A. brittleness,A. self-conscious,2.559,38.199,38.818,6,D. misfortune,A. wordy,D. excessively,B. prosper,A. ancient,6.316,37.124,37.842,7,B. call up,E. hindered,C. sharp glance,A. irregularly,C. profitable,2.403,21.251,22.011,8,B. independence,A. unexampled,D. flooded,C. occupants,B. impending,2.815,30.998,33.293,9,32,18,50,10/1/2017,11:31 AM,105,,822,
10/2/2017 12:32,10/2/2017 12:42,IP Address,144.121.36.245,100,611,TRUE,10/2/2017 12:42,R_2aP080ukn6hz16t,,,,,42.33659363,-71.07260132,anonymous,EN,328.533,336.413,342.924,2,10/2/2017,106,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,3.042,13.088,13.756,5,D. present,A. ruling,D. risk,C. back and forth,D. gift,3.015,13.306,14.138,7,B. presuppose,D. destructively,D. discerning,B. reach it,B. opaque,1.745,23.257,24.15,5,D. skilled,D. country house,E. unavoidable,C. unconquerable,C. an expert,2.949,22.549,24.195,5,C. mixture,C. exciting,C. out-of-date,C. skillful,C. tumult,4.34,24.58,25.408,9,B. urgent,B. perceived,A. unconscious,D. ages,E. sayings,1.951,18.351,20.133,5,C. aspects,C. ruin,A. awkwardness,E. pliability,D. silly,2.929,14.394,15.831,5,D. misfortune,D. short,D. excessively,E. yield,E. ill-tempered,2.32,19.464,20.529,7,B. call up,E. hindered,D. bog,B. always,B. practical,1.579,16.083,16.905,5,B. independence,B. uncertain,D. flooded,B. renters,B. impending,2.21,23.993,24.818,6,44,6,50,10/2/2017,12:42 PM,106,,611,
10/8/2017 14:18,10/8/2017 14:28,IP Address,144.121.36.252,100,617,TRUE,10/8/2017 14:29,R_3nNOYUSH5RQcgE9,,,,,42.38960266,-72.45339966,anonymous,EN,294.776,303.831,305.397,3,10/8/2017,107,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,2.548,13.82,14.836,6,D. present,A. ruling,D. risk,E. astray,E. little trick,2.822,30.488,31.4,8,B. presuppose,D. destructively,D. discerning,B. reach it,D. hidden,1.624,23.277,24.127,7,D. skilled,C. balcony,E. unavoidable,C. unconquerable,C. an expert,3.209,35.497,36.535,7,C. mixture,C. exciting,C. out-of-date,A. sly,C. tumult,5.445,20.309,21.084,11,B. urgent,B. perceived,A. unconscious,D. ages,B. minutes,2.769,31.994,32.794,9,D. truths,C. ruin,D. vagueness,E. pliability,D. silly,2.53,19.538,20.515,7,D. misfortune,D. short,D. excessively,E. yield,E. ill-tempered,6.04,34.034,36.822,7,B. call up,E. hindered,B. farm,B. always,B. practical,1.622,23.414,24.346,5,C. motor-driven,A. unexampled,A. washed,B. renters,A. important,3.884,22.356,23.578,6,38,12,50,10/8/2017,2:28 PM,107,,617,
10/9/2017 12:25,10/9/2017 12:37,IP Address,144.121.36.239,100,738,TRUE,10/9/2017 12:37,R_1Cxq0rwlWo8HTKn,,,,,42.38960266,-72.45339966,anonymous,EN,90.889,395.784,405.994,8,10/9/2017,108,Morph21,D. food,C. fix,B. numbers,D. chubby,D. pardoned,B. tricking,E. pamphlet,E. one and only,2.449,15.54,16.187,7,D. present,A. ruling,D. risk,C. back and forth,E. little trick,2.415,36.649,37.373,6,B. presuppose,D. destructively,D. discerning,B. reach it,D. hidden,2.186,21.137,21.953,6,D. skilled,D. country house,E. unavoidable,C. unconquerable,C. an expert,3.123,28.557,29.745,6,C. mixture,C. exciting,C. out-of-date,C. skillful,C. tumult,4.179,17.803,21.138,6,B. urgent,B. perceived,A. unconscious,A. years,E. sayings,2.528,26.521,27.386,6,C. aspects,C. ruin,C. wildness,E. pliability,D. silly,7.149,35.43,37.726,6,D. misfortune,D. short,D. excessively,E. yield,D. distrustful,4.094,31.423,31.718,8,B. call up,E. hindered,B. farm,B. always,C. profitable,6.226,27.17,28.53,5,B. independence,B. uncertain,B. occupied,A. doctrines,B. impending,2.761,36.56,37.847,6,42,8,50,10/9/2017,12:37 PM,108,,738,
