Participant Number,art_cor,art_inc,art_cor-inc
11,40,26,14
12,39,27,12
13,42,24,18
101,40,26,14
103,48,18,30
104,41,25,16
105,45,21,24
106,42,24,18
107,39,27,12
108,44,22,22
109,44,22,22
110,42,24,18
111,41,25,16
112,38,28,10
113,53,13,40
114,38,28,10
115,39,27,12
116,43,23,20
117,30,36,-6
118,44,22,22
119,49,17,32
120,42,24,18
121,40,26,14
122,36,30,6
123,44,22,22
124,50,16,34
125,48,18,30
126,39,27,12
127,50,16,34
128,49,17,32
129,41,25,16
130,49,17,32
131,36,30,6
132,43,23,20
133,62,4,58
134,49,17,32
135,41,25,16
136,43,23,20
137,47,19,28
138,45,21,24
139,47,19,28
140,43,23,20
141,41,25,16
142,44,22,22
143,39,27,12
144,46,20,26
145,38,28,10
146,41,25,16
147,40,26,14
148,0,0,0
150,42,24,18
151,39,27,12
153,56,10,46
154,39,27,12
155,45,21,24
156,38,28,10
157,41,25,16
158,38,28,10
159,52,14,38
160,44,22,22
161,0,0,0
162,0,0,0
163,49,17,32
164,42,24,18
165,40,26,14
167,41,25,16
168,44,22,22
169,43,23,20
170,43,23,20
171,37,29,8
172,44,22,22
173,44,22,22
174,48,18,30
175,38,28,10
176,37,29,8
177,51,15,36
