Q23,Q16,Q17,Q20,Q44,Q22,Q45,Q24,Q46,Q27,romance,germanic,num_non_english
Participant Number,"What is the first
language you learned to speak fluently?","was any language other than english regularly
spoken in your home while you were growing up? 
if so, which one(s)? please include all languages that were spoken in your home, even if you are not fluent in the language.",language 1:,Age you began learning this language:,language 2:,Age you began learning this language:,language 3:,Age you began learning this language:,Age,no,no,4
12,English,none,spanish,12,latin,14,none,,20,yes,no,2
13,english,none,french,14,none,,none,,18,yes,no,1
101,English,none,none,,none,,none,,21,no,no,0
103,English,none,spanish,6,french,8,italian,18,20,yes,no,3
104,english,none,spanish,7,none,,none,,21,yes,no,1
105,english,german,spanish,13,german,3,none,,18,yes,yes,3
106,English,none,spanish,10,german,14,russian,17,20,yes,yes,3
107,English,none,spanish,14,hebrew,5,none,,18,yes,no,2
108,English,japanese,japanese,0,spanish,12,none,,18,yes,no,3
109,English,mandarin chinese,mandarin chinese,1,latin,14,none,,18,no,no,3
110,English,none,spanish,8,american sign language,16,none,,18,yes,no,2
111,English,none,spanish,13,none,,none,,21,yes,no,1
112,English,spanish,spanish,12,asl,15,none,,18,yes,no,3
113,English,none,spanish,6,none,,none,,19,yes,no,1
114,Enlgish,none,spanish,15,arabic,18,none,,18,yes,no,2
115,English,none,french,14,none,,none,,19,yes,no,1
116,English,bangla,latin,12,french,13,none,,18,yes,no,3
117,English,hebrew,hebrew,7,none,,none,,23,no,no,2
118,English,none,spanish,10,none,,none,,18,yes,no,1
119,English,none,italian,6,latin,12,spanish,13,19,yes,no,3
120,English,none,french,14,none,,none,,18,yes,no,1
122,english,none,spanish,13,french,17,none,,18,yes,no,2
123,English,none,mandarin,7,none,,none,,18,no,no,1
124,English,none,spanish,4,french,14,none,,20,yes,no,2
125,English,none,hebrew,6,spanish,14,none,,21,yes,no,2
127,English,"german, spanish, igbo",spanish,4,german,6,chinese,18,23,yes,yes,4
128,English,japanese,japanese,7,french,14,russian,17,18,yes,no,4
129,English,none,spanish,10,chinese,14,asl,17,18,yes,no,3
130,English,none,russian,15,latin,18,none,,39,no,no,2
131,English,none,french,11,none,,none,,21,yes,no,1
132,English,korean,spanish,14,none,,none,,31,yes,no,2
133,English,none,french,12,spanish,22,ancient greek,18,48,yes,no,3
134,english,none,french,15,none,,none,,19,yes,no,1
135,English,creole,spanish,14,none,,none,,20,yes,no,2
136,English,spanish,spanish,13,hebrew,5,none,,19,yes,no,3
137,Burmese,burmese,chinese,9,burmese,6,none,,18,no,no,3
138,English,none,mandarin chinese,14,none,,none,,21,no,no,1
139,english,none,spanish,14,none,,none,,21,yes,no,1
140,English,none,english,Birth,spanish,12,none,,18,yes,no,2
141,English,none,none,,none,,none,,19,no,no,0
142,English,none,spanish,14,french,16,none,,25,yes,no,2
143,English,none,none,,none,,none,,23,no,no,0
144,English,none,spanish,11,none,,none,,19,yes,no,1
145,English,none,latin,14,none,,none,,18,no,no,1
146,English,none,chinese,10,japanese,13,none,,18,no,no,2
147,English,none,spanish,9,latin,11,none,,18,yes,no,2
148,English,none,spanish,11,japanese,19,none,,21,yes,no,2
150,English,none,spanish,12,none,,none,,18,yes,no,1
151,english,none,hebrew,6,none,,none,,18,no,no,1
152,English,none,latin,12,italian,13,none,,18,yes,no,2
153,English,none,spanish,11,none,,none,,20,yes,no,1
154,English,none,french,12,none,,none,,19,yes,no,1
155,English,none,hebrew,Pre-K,spanish,5th Grade,none,,21,yes,no,2
156,English,none,spanish,14,none,,none,,20,yes,no,1
157,Ukrainian ,ukrainian ,spanish ,14,none,,none,,21,no,no,2
159,English,hebrew,hebrew,1,spanish,11,japanese,14,20,yes,no,4
159,English,hebrew,none,,none,,none,,20,no,no,1
160,english,none,none,,none,,none,,19,no,no,0
161,English,none,spanish,10,none,,none,,20,yes,no,1
162,english,none,spanish,13,none,,none,,19,yes,no,1
163,english,none,french,10,none,,none,,22,yes,no,1
164,English,none,spanish,10,none,,none,,21,yes,no,1
165,English,none,spanish,15,arabic,18,none,,19,yes,no,2
167,English,none,none,,none,,none,,19,no,no,0
168,English,spanish,english,baby,spanish,kid,cat ,baby,21,yes,no,4
169,English,none,latin,10,french,13,spanish,16,20,yes,no,3
170,English,none,spanish,13,none,,none,,19,yes,no,1
171,English,none,spanish,12,none,,none,,22,yes,no,1
172,english,none,italian,10,none,,none,,19,yes,no,1
173,English,none,french,11,none,,none,,20,yes,no,1
174,English,"russian, spanish",spanish,4,none,,none,,20,yes,no,2
175,English,none,none,,none,,none,,19,no,no,0
176,English,spanish,spanish,5,none,,none,,21,yes,no,2
177,English,none,spanish,15,none,,none,,21,yes,no,1
"{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""importid"":""qid17_text""}","{""importid"":""qid20_text""}","{""ImportId"":""QID50_TEXT""}","{""importid"":""qid22_text""}","{""ImportId"":""QID51_TEXT""}","{""importid"":""qid24_text""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID33_TEXT""}",no,no,4
test,English,none,none,,none,,none,,,no,no,0
