Participant Number,spl_cor,spl_inc,spl_cor-inc
11,64,16,48
12,71,9,62
13,62,18,44
101,55,25,30
103,69,11,58
104,62,18,44
105,64,16,48
106,77,3,74
107,68,12,56
108,69,11,58
109,70,10,60
110,68,12,56
111,66,14,52
112,69,11,58
113,63,17,46
114,51,29,22
115,64,16,48
116,64,16,48
117,63,17,46
118,67,13,54
119,61,19,42
120,55,25,30
121,68,12,56
122,61,19,42
123,68,12,56
124,64,16,48
125,71,9,62
126,67,13,54
127,66,14,52
128,70,10,60
129,52,28,24
130,69,11,58
131,61,19,42
132,66,14,52
133,78,2,76
134,71,9,62
135,76,4,72
136,67,13,54
137,58,22,36
138,61,19,42
139,70,10,60
140,71,9,62
141,59,21,38
142,60,20,40
143,55,25,30
144,62,18,44
145,61,19,42
146,74,6,68
147,75,5,70
148,0,0,0
150,61,19,42
151,57,23,34
152,62,18,44
153,74,6,68
154,76,4,72
155,58,22,36
156,63,17,46
157,60,20,40
158,54,26,28
159,64,16,48
160,61,19,42
161,0,0,0
162,64,16,48
163,58,22,36
164,58,22,36
164,0,0,0
165,54,26,28
167,57,23,34
168,66,14,52
169,66,14,52
170,63,17,46
171,62,18,44
172,55,25,30
173,60,20,40
174,69,11,58
175,62,18,44
176,72,8,64
177,66,14,52
