Participant Number,vcb_cor,vcb_inc,vcb_all
11,46,4,50
12,34,16,50
13,43,7,50
101,33,17,50
103,41,9,50
104,42,8,50
105,32,18,50
106,44,6,50
107,38,12,50
108,42,8,50
109,44,6,50
110,29,21,50
111,37,13,50
112,37,13,50
113,48,2,50
114,32,18,50
115,45,5,50
116,46,4,50
117,35,15,50
118,46,4,50
119,43,7,50
120,42,8,50
121,40,10,50
122,31,19,50
123,48,2,50
124,48,2,50
125,48,2,50
126,48,2,50
127,32,18,50
128,43,7,50
129,48,2,50
130,49,1,50
131,31,19,50
132,33,17,50
133,49,1,50
134,46,4,50
135,41,9,50
136,34,16,50
137,44,6,50
138,44,6,50
139,40,10,50
140,44,6,50
141,40,10,50
142,49,1,50
143,30,20,50
144,45,5,50
145,36,14,50
146,39,11,50
147,37,13,50
150,46,4,50
151,0,0,0
152,43,7,50
153,49,1,50
154,44,6,50
155,41,9,50
156,34,16,50
157,37,13,50
158,33,17,50
159,47,3,50
160,40,10,50
161,27,23,50
162,0,0,0
163,44,6,50
164,0,0,0
165,33,17,50
167,33,17,50
168,41,9,50
169,44,6,50
170,42,8,50
171,48,2,50
172,40,10,50
173,46,4,50
174,42,8,50
175,41,9,50
176,45,5,50
177,47,3,50
