SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity,z_vcb,z_spl,z_art,Dim.1,Dim.2,lang_type_ortho,lang_type_semantic
101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-0.5661327935807341,-1.276070178452122,-0.25572504116964256,-1.1650271186044685,-0.7995789446538537,Low Orthographic,Low Semantic
103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4890920422893364,0.9253944042210052,1.235729392490725,1.527775111177661,0.13977864861803982,High Orthographic,High Semantic
104,Hampshire,NA,1,1,2017-09-23,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,english,No,62,18,77.5,42,8,84,41,25,16,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,0.6209951467730952,-0.17533788711555845,-0.06929323696209659,0.24516588010218598,-0.33667064417930936,Low Orthographic,High Semantic
105,Hampshire,NA,1,1,2017-10-01,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,english,No,64,16,80,32,18,64,45,21,24,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,-0.698035898064493,0.13915705326631686,0.6764339798680872,0.056115185809714904,0.09333167046493682,High Orthographic,High Semantic
106,Hampshire,NA,1,1,2017-10-02,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,77,3,96.25,44,6,88,42,24,18,NA,NA,26,6,26,6,32,0.8125,0.1875,1.52753935463215,-1.52753935463215,0.625,3.0550787092643,Sensitive,0.8848013557406128,2.183374165748506,0.11713856724544937,1.7485338060443683,1.522936725928761,High Orthographic,High Semantic
107,Hampshire,NA,1,1,2017-10-04,Female,18,Not Hispanic or Latino,More than one race,10,1-3 hours,Yes,English,No,68,12,85,38,12,76,39,27,12,NA,NA,19,13,19,13,32,0.59375,0.40625,0.0702272834813923,-0.0702272834813927,0.1875,0.140454566962785,Insensitive,0.09338272883805995,0.7681469340300675,-0.44215684537718847,0.19009002305426737,0.8008139663338404,High Orthographic,High Semantic
108,Hampshire,NA,1,1,2017-10-09,Female,18,Not Hispanic or Latino,More than one race,11,1-3 hours,Yes,English,No,69,11,86.25,42,8,84,44,22,22,NA,NA,22,10,22,10,32,0.6875,0.3125,0.69478959968886,-0.694789599688861,0.375,1.38957919937772,Sensitive,0.6209951467730952,0.9253944042210052,0.4900021756605413,1.1572718242153608,0.3877205253188876,High Orthographic,High Semantic
109,Hampshire,NA,1,1,2017-10-09,Female,18,Not Hispanic or Latino,Asian,11,1-3 hours,Yes,English,No,70,10,87.5,44,6,88,44,22,22,NA,NA,28,4,28,4,32,0.875,0.125,1.9439142321038,-1.9439142321038,0.75,3.88782846420759,Sensitive,0.8848013557406128,1.0826418744119428,0.4900021756605413,1.4000479556450443,0.431933827117141,High Orthographic,High Semantic
110,Hampshire,NA,1,1,2017-10-18,Female,18,Not Hispanic or Latino,White,10,4-6 hours,Yes,English,No,68,12,85,29,21,58,42,24,18,NA,NA,24,8,24,8,32,0.75,0.25,1.11116447716051,-1.11116447716051,0.5,2.22232895432101,Sensitive,-1.0937452115157693,0.7681469340300675,0.11713856724544937,-0.19527301279644046,0.9889744894948082,High Orthographic,Low Semantic
111,Hampshire,NA,1,1,2017-10-25,Female,21,Not Hispanic or Latino,More than one race,11,1-3 hours,Yes,English,No,66,14,82.5,37,13,74,41,25,16,NA,NA,14,17,14,17,31,0.451612903225806,0.548387096774194,-0.876689776575092,0.876689776575091,-0.0967741935483871,-1.75337955315018,Insensitive,-0.038520375645698865,0.4536519936481922,-0.06929323696209659,0.1711641617067806,0.42970015076229073,High Orthographic,High Semantic
112,Hampshire,NA,1,1,2017-10-29,Female,18,Hispanic or Latino,More than one race,10,1-3 hours,Yes,English,No,69,11,86.25,37,13,74,38,28,10,NA,NA,19,13,19,13,32,0.59375,0.40625,0.0702272834813923,-0.0702272834813927,0.1875,0.140454566962785,Insensitive,-0.038520375645698865,0.9253944042210052,-0.6285886495847345,0.07896377171484066,1.0543921342444522,High Orthographic,High Semantic
113,Hampshire,NA,1,1,2017-11-01,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,63,17,78.75,48,2,96,53,13,40,NA,NA,19,13,19,13,32,0.59375,0.40625,0.0702272834813923,-0.0702272834813927,0.1875,0.140454566962785,Insensitive,1.4124137736756481,-0.01809041692462079,2.1678884135284546,2.1622013884802302,-1.3537155197328374,Low Orthographic,High Semantic
114,Hampshire,NA,1,1,2017-11-02,Male,18,Not Hispanic or Latino,White,7,4-6 hours,Yes,Enlgish,No,51,29,63.75,32,18,64,38,28,10,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,-0.698035898064493,-1.9050600592158726,-0.6285886495847345,-1.7988301657472827,-1.1472200073707368,Low Orthographic,Low Semantic
115,Hampshire,NA,1,1,2017-11-05,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,64,16,80,45,5,90,39,27,12,NA,NA,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.970709910197721,-0.125,-1.94141982039544,Insensitive,1.0167044602243716,0.13915705326631686,-0.44215684537718847,0.42487731746723173,-0.05625184210754192,Low Orthographic,High Semantic
116,Hampshire,NA,1,1,2017-11-30,Female,18,Not Hispanic or Latino,More than one race,8,4-6 hours,Yes,English,NA,64,16,80,46,4,92,43,23,20,NA,NA,26,6,26,6,32,0.8125,0.1875,1.52753935463215,-1.52753935463215,0.625,3.0550787092643,Sensitive,1.1486075647081304,0.13915705326631686,0.3035703714529953,0.956166180447092,-0.394888732308172,Low Orthographic,High Semantic
117,Hampshire,NA,1,1,2017-12-06,Male,23,Not Hispanic or Latino,White,10,4-6 hours,Yes,English,No,63,17,78.75,35,15,70,30,36,-6,NA,NA,21,10,21,10,31,0.67741935483871,0.32258064516129,0.627632361386982,-0.627632361386983,0.354838709677419,1.25526472277396,Sensitive,-0.3023265846132165,-0.01809041692462079,-2.1200430832451023,-1.4755572867176219,0.9222160228574976,High Orthographic,Low Semantic
118,Hampshire,NA,1,1,2017-12-07,Female,18,Not Hispanic or Latino,Black,8,1-3 hours,Yes,English,No,67,13,83.75,46,4,92,44,22,22,NA,NA,18,14,18,14,32,0.5625,0.4375,-0.13796015525443,0.13796015525443,0.125,-0.27592031050886,Insensitive,1.1486075647081304,0.6108994638391299,0.4900021756605413,1.314861865426233,-0.06348613227674914,Low Orthographic,High Semantic
