SubjID,ART,Spelling,Vocabulary,Sex,z_ART,z_Vocabulary,z_Spelling,Dim.1,lang_type_semantic,Dim.2,lang_type_ortho
S101,7,55,33,Male,-0.666166908570445,-1.40785640268341,-1.44005249784219,-1.958643300436860,Low Semantic,-0.6528250463901850,Low Orthographic
S103,15,69,41,Female,1.00095848313405,0.0204885547168065,0.828960109458974,1.0212418753904400,High Semantic,0.46052373966656400,High Orthographic
S104,8,62,42,Female,-0.457776234607382,0.199031674391834,-0.305546194191609,-0.3016885412245450,Low Semantic,-0.21265899135960900,Low Orthographic
S105,12,64,32,Female,0.375786461244866,-1.58639952235844,0.0185984639942719,-0.7637508708481680,Low Semantic,0.43398789074142300,High Orthographic
S106,9,77,44,Female,-0.24938556064432,0.556117913741889,2.1255387422025,1.1210114137042900,High Semantic,1.81889077769402,High Orthographic
S107,6,68,38,Female,-0.874557582533507,-0.515140804308276,0.666887780366034,-0.6039536357045340,Low Semantic,1.0261756516304700,High Orthographic
S108,11,69,42,Female,0.167395787281804,0.199031674391834,0.828960109458974,0.5967947769198070,High Semantic,0.6396551942314970,High Orthographic
S109,11,70,44,Female,0.167395787281804,0.556117913741889,0.991032438551914,0.8958362319281300,High Semantic,0.6688808242139540,High Orthographic
S110,9,68,29,Female,-0.24938556064432,-2.12202888138352,0.666887780366034,-1.2277634494988600,Low Semantic,1.378784628613210,High Orthographic
S111,8,66,37,Female,-0.457776234607382,-0.693683923983304,0.342743122180153,-0.5901150593021580,Low Semantic,0.6715706052712690,High Orthographic
S112,5,69,37,Female,-1.08294825649657,-0.693683923983304,0.828960109458974,-0.7821720398415960,Low Semantic,1.292015914429420,High Orthographic
S113,20,63,48,Female,2.04291185294936,1.270290392442,-0.143473865098668,2.0700900835630900,High Semantic,-1.1340038432956000,Low Orthographic
S114,5,51,32,Male,-1.08294825649657,-1.58639952235844,-2.08834181421395,-2.62473650065002,Low Semantic,-1.0638253773880700,Low Orthographic
S115,6,64,45,Female,-0.874557582533507,0.734661033416917,0.0185984639942719,-0.0871282963790912,Low Semantic,0.023895735507122800,High Orthographic
S116,10,64,46,Female,-0.040994886681258,0.913204153091944,0.0185984639942719,0.5657176233393750,High Semantic,-0.27328603855028000,Low Orthographic
S117,-3,63,35,Male,-2.75007364820107,-1.05077016333336,-0.143473865098668,-2.511719681841480,Low Semantic,1.0027237656946700,High Orthographic
S118,11,67,46,Female,0.167395787281804,0.913204153091944,0.504815451273093,0.9123071518944860,High Semantic,0.1090026562967060,High Orthographic
S119,16,61,43,Male,1.20934915709712,0.377574794066862,-0.467618523284549,0.8191612538279790,High Semantic,-0.8952733292031050,Low Orthographic
S120,9,55,42,Female,-0.24938556064432,0.199031674391834,-1.44005249784219,-0.6615253502743480,Low Semantic,-1.3031297912618800,Low Orthographic
