SubjID,ART,Spelling,Vocabulary,Sex
S201,5,68,37,Female
S202,9,65,32,Female
S203,8,70,42,Female
S204,10,73,38,Male
S205,3,62,33,Male
S206,9,64,42,Female
S207,6,67,21,Female
S208,12,69,44,Male
S209,9,59,36,Male
S210,2,57,30,Female
S211,3,62,32,Female
S212,-3,56,19,Female
S213,1,50,26,Female
S214,5,57,43,Male
S215,2,55,37,Male
S216,8,60,34,Female
S217,2,67,34,Male
S218,10,63,24,Male
S219,8,73,37,Female
S220,2,62,30,Male
S221,3,66,27,Female
S222,15,67,41,Male
S223,4,57,29,Female
S224,4,63,29,Female
S225,2,59,23,Female
S226,8,63,31,Female
S227,-7,54,17,Female
S228,6,58,25,Female
S229,2,53,29,Female
S230,4,61,34,Female
S231,4,61,25,Female
S232,2,61,27,Male
S233,11,62,33,Male
S234,4,52,29,Male
S235,6,57,38,Male
S236,9,68,41,Male
S237,8,64,36,Female
S238,0,47,28,Female
S239,10,55,27,Male
S240,10,60,34,Female
S241,9,65,37,Female
S242,5,64,32,Male
S243,5,53,25,Female
S244,3,61,28,Male
S245,5,55,28,Female
