"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","100","100","883","883","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","63956","1000","0.0156357495778","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","883","NA","NA","NA","NA","174261","883","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_S","DULLNESS","1383","178507","176856","NA","175653","NA","NA","NA","NA","178500","177353","NA","176351","NA","176277","178500","1392","178857","NA","NA","177506","1383","1384","177898","176277","1383","177506","178857","morph21_Oliver/Morris","1","883","1","yes","1280","43"
"350","100","100","712","712","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","78093","1000","0.0128052450284","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","541","NA","NA","NA","NA","174261","541","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_L","PUNCHER","1383","181624","179999","NA","175653","NA","NA","NA","NA","181617","180496","NA","179499","NA","179496","181617","1392","181974","NA","NA","180624","1383","1384","181015","179496","1383","180624","181974","morph21_Oliver/Morris","2","1424","2","yes","1280","1"
"350","100","100","637.666666667","637.666666667","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","80690","1000","0.0123931094312","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","489","NA","NA","NA","NA","174261","489","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_S","AMAZEMENT","1383","186241","183116","184732","175653","NA","NA","NA","NA","184725","183613","NA","182616","NA","182605","184725","1392","186591","NA","NA","183732","1383","1384","184124","182605","1383","183732","186591","morph21_Oliver/Morris","3","1913","3","yes","1280","39"
"400","100","100","641.5","641.5","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","75894","1000","0.0131762721691","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","653","NA","NA","NA","NA","174261","653","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_S","WIDOWED","1383","189433","187824","184732","175653","NA","NA","NA","NA","189427","188321","NA","187324","NA","187314","189427","1392","189833","NA","NA","188432","1383","1384","188824","187314","1383","188432","189833","morph21_Oliver/Morris","4","2566","4","yes","1280","7"
"200","100","100","609","609","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","82011","1000","0.0121934862397","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","479","NA","NA","NA","NA","174261","479","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_L","VERBAL","1383","192574","190991","184732","175653","NA","NA","NA","NA","192567","191488","NA","190491","NA","190481","192567","1392","192774","NA","NA","191574","1383","1384","191966","190481","1383","191574","192774","morph21_Oliver/Morris","5","3045","5","yes","1280","50"
"200","100","100","639.5","639.5","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","70490","1000","0.0141864094198","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","792","NA","NA","NA","NA","174261","792","2","legacy","1024","2","48000","-16","AB_m21","118","even","NW_S_COMP","HAPPENANCE","1383","197009","193916","195499","175653","NA","NA","NA","NA","195497","194413","NA","193416","NA","193406","195497","1392","197209","NA","NA","194508","1383","1384","194899","193406","1383","194508","197209","morph21_Oliver/Morris","6","3837","6","yes","1280","2"
"250","100","100","613","613","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","83004","1000","0.0120476121633","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","454","NA","NA","NA","NA","174261","454","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_S","NOTICEABLE","1383","199959","198376","195499","175653","NA","NA","NA","NA","199952","198873","NA","197876","NA","197868","199952","1392","200209","NA","NA","198959","1383","1384","199351","197868","1383","198959","200209","morph21_Oliver/Morris","7","4291","7","yes","1280","3"
"200","100","100","590.875","590.875","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","83827","1000","0.0119293306453","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","436","NA","NA","NA","NA","174261","436","2","legacy","1024","2","48000","-16","AB_m21","118","even","CW_S","THRUSTER","1383","203001","201417","195499","175653","NA","NA","NA","NA","202998","201915","NA","200917","NA","200910","202998","1392","203201","NA","NA","202001","1383","1384","202401","200910","1383","202001","203201","morph21_Oliver/Morris","8","4727","8","yes","1280","24"
"250","100","100","593.444444444","593.444444444","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","75246","1000","0.0132897429764","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","614","NA","NA","NA","NA","174261","614","2","legacy","1024","2","48000","-16","AB_m21","118","even","FILL_W","FIERCE","1383","207468","204359","205959","175653","NA","NA","NA","NA","205952","204856","NA","203859","NA","203849","205952","1392","207718","NA","NA","204959","1383","1384","205351","203849","1383","204959","207718","morph21_Oliver/Morris","9","5341","9","yes","1280","24"
"300","100","100","599.9","599.9","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","70701","1000","0.0141440715124","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","12/07/17 15:39:44","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-118.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","658","NA","NA","NA","NA","174261","658","2","legacy","1024","2","48000","-16","AB_m21","118","even","NW_S_SIMP","WINKIDY","1383","210459","208876","205959","175653","NA","NA","NA","NA","210452","209373","NA","208376","NA","208369","210452","1392","210760","NA","NA","209459","1383","1384","209851","208369","1383","209459","210760","morph21_Oliver/Morris","10","5999","10","yes","1280","21"
