"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","0","0","990","990","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","50582","1000","0.0197698786129","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","right shift","None","990","NA","NA","NA","NA","197719","990","2","legacy","1024","2","48000","-16","BA_m21","153","odd","NW_S_COMP","TREASONIME","1169","201735","200035","NA","198903","NA","NA","NA","NA","NA","200532","NA","199534","NA","199462","201726","1183","201985","NA","NA","200735","1169","1169","201126","199461","1169","200734","201985","morph21_Oliver/Morris","0","990","1","yes","1280","14"
"400","50","50","926","926","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","61861","1000","0.0161652737589","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","862","NA","NA","NA","NA","197719","862","2","legacy","1024","2","48000","-16","BA_m21","153","odd","CW_L","QUIETLY","1169","204801","203135","NA","198903","NA","NA","NA","NA","204795","203632","NA","202635","NA","202625","204795","1183","205201","NA","NA","203801","1169","1169","204193","202625","1169","203801","205201","morph21_Oliver/Morris","1","1852","2","yes","1280","36"
"250","66.6666666667","66.6666666667","816","816","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","66388","1000","0.0150629631861","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","596","NA","NA","NA","NA","197719","596","2","legacy","1024","2","48000","-16","BA_m21","153","odd","CW_L","EXCITEMENT","1169","209560","206393","208052","198903","NA","NA","NA","NA","208043","206890","NA","205893","NA","205890","208043","1183","209810","NA","NA","207051","1169","1169","207443","205889","1169","207051","209810","morph21_Oliver/Morris","2","2448","3","yes","1280","38"
"400","75","75","853.25","853.25","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","50986","1000","0.0196132271604","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","right shift","z","965","NA","NA","NA","NA","197719","965","2","legacy","1024","2","48000","-16","BA_m21","153","odd","NW_L_COMP","RIPENGE","1169","212593","210935","208052","198903","NA","NA","NA","NA","212589","211432","NA","210435","NA","210428","212589","1183","212993","NA","NA","211602","1169","1169","211993","210428","1169","211602","212993","morph21_Oliver/Morris","3","3413","4","yes","1280","4"
"250","80","80","792.4","792.4","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","66367","1000","0.0150677294439","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","549","NA","NA","NA","NA","197719","549","2","legacy","1024","2","48000","-16","BA_m21","153","odd","FILL_W","SOUGHT","1169","215810","214118","208052","198903","NA","NA","NA","NA","215801","214616","NA","213618","NA","213613","215801","1183","216060","NA","NA","214810","1169","1169","215202","213613","1169","214810","216060","morph21_Oliver/Morris","4","3962","5","yes","1280","40"
"300","66.6666666667","66.6666666667","826.333333333","826.333333333","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","51501","1000","0.0194170986971","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","right shift","None","996","NA","NA","NA","NA","197719","996","2","legacy","1024","2","48000","-16","BA_m21","153","odd","NW_S_SIMP","TILTARY","1169","220420","217261","218911","198903","NA","NA","NA","NA","215801","217758","NA","216761","NA","216749","218907","1183","220720","NA","NA","217911","1169","1169","218311","216749","1169","217911","220720","morph21_Oliver/Morris","4","4958","6","yes","1280","17"
"300","57.1428571429","57.1428571429","827.285714286","827.285714286","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","56758","1000","0.0176186616865","0","undefined","0","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","833","NA","NA","NA","NA","197719","833","2","legacy","1024","2","48000","-16","BA_m21","153","odd","FILL_NW","KEMT","1169","223461","221820","218911","198903","NA","NA","NA","NA","215801","222317","NA","221320","NA","221309","223455","1183","223762","NA","NA","222462","1169","1169","222853","221309","1169","222461","223762","morph21_Oliver/Morris","4","5791","7","yes","1280","32"
"350","62.5","62.5","800","800","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69116","1000","0.014468429886","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","609","NA","NA","NA","NA","197719","609","2","legacy","1024","2","48000","-16","BA_m21","153","odd","FILL_W","BRISK","1169","226670","224962","218911","198903","NA","NA","NA","NA","226666","225459","NA","224462","NA","224452","226666","1183","227020","NA","NA","225678","1169","1169","226070","224451","1169","225678","227020","morph21_Oliver/Morris","5","6400","8","yes","1280","8"
"400","66.6666666667","66.6666666667","803.444444444","803.444444444","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","56537","1000","0.0176875320587","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","831","NA","NA","NA","NA","197719","831","2","legacy","1024","2","48000","-16","BA_m21","153","odd","CW_L","CLOUDLESS","1169","231428","228270","229920","198903","NA","NA","NA","NA","229916","228767","NA","227770","NA","227765","229916","1183","231829","NA","NA","228920","1169","1169","229320","227765","1169","228920","231829","morph21_Oliver/Morris","6","7231","9","yes","1280","33"
"250","70","70","783.1","783.1","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","62995","1000","0.0158742757362","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","11/14/18 16:26:37","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-153.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","right shift","/","600","NA","NA","NA","NA","197719","600","2","legacy","1024","2","48000","-16","BA_m21","153","odd","FILL_W","FIERCE","1169","234696","233037","229920","198903","NA","NA","NA","NA","234686","233534","NA","232537","NA","232528","234686","1183","234946","NA","NA","233695","1169","1169","234087","232528","1169","233695","234946","morph21_Oliver/Morris","7","7831","10","yes","1280","24"
