"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","0","0","0","0","0","1","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","z","None","1200","NA","NA","NA","NA","32303","1200","2","legacy","1024","2","48000","-16","AB_m21","239","odd","FILL_W","OLD","1883","38520","36152","NA","34198","NA","NA","NA","NA","NA","36653","NA","NA","NA","35651","NA","35621","1894","38720","NA","NA","NA","36693","1883","1883","NA","37893","37916","35621","36652","36673","morph21_Oliver/Morris","0","1200","1","yes","1920","44"
"250","0","0","916","916","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","0","undefined","0","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","1","1","1","1","1","2","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","z","z","632","NA","NA","NA","NA","32303","632","2","legacy","1024","2","48000","-16","AB_m21","239","odd","FILL_W","SLIM","1883","42100","40296","NA","34198","NA","NA","NA","NA","NA","40797","NA","NA","NA","39795","NA","39769","1894","42350","NA","NA","NA","40837","1883","1883","NA","41469","41495","39769","40797","40817","morph21_Oliver/Morris","0","1832","2","yes","1920","6"
"400","0","0","782.3333333333334","782.3333333333334","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","2","2","2","2","2","3","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","z","z","515","NA","NA","NA","NA","32303","515","2","legacy","1024","2","48000","-16","AB_m21","239","odd","CW_L","FAITHFUL","1883","47145","43957","45642","34198","NA","NA","NA","NA","NA","44457","NA","NA","NA","43457","NA","43431","1894","47545","NA","NA","NA","44498","1883","1883","NA","45013","45038","43431","44457","44478","morph21_Oliver/Morris","0","2347","3","yes","1920","20"
"200","0","0","862.25","862.25","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","0","undefined","0","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","3","3","3","3","3","4","z","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","z","/","1102","NA","NA","NA","NA","32303","1102","2","legacy","1024","2","48000","-16","AB_m21","239","odd","FILL_NW","SMADE","1883","51402","49129","45642","34198","NA","NA","NA","NA","NA","49631","NA","NA","NA","48626","NA","48597","1894","51602","NA","NA","NA","49671","1883","1883","NA","50773","50798","48597","49631","49651","morph21_Oliver/Morris","0","3449","4","yes","1920","42"
"250","0","0","802.4","802.4","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","4","4","4","4","4","5","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","z","z","563","NA","NA","NA","NA","32303","563","2","legacy","1024","2","48000","-16","AB_m21","239","odd","CW_L","EXCITEMENT","1883","54890","53156","45642","34198","NA","NA","NA","NA","NA","53658","NA","NA","NA","52655","NA","52628","1894","55140","NA","NA","NA","53698","1883","1883","NA","54261","54285","52628","53658","53678","morph21_Oliver/Morris","0","4012","5","yes","1920","38"
"400","0","0","784","784","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","5","5","5","5","5","6","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","z","z","692","NA","NA","NA","NA","32303","692","2","legacy","1024","2","48000","-16","AB_m21","239","odd","CW_L","SHAPELY","1883","60073","56708","58569","34198","NA","NA","NA","NA","NA","57209","NA","NA","NA","56208","NA","56179","1894","60473","NA","NA","NA","57249","1883","1883","NA","57942","57966","56179","57208","57229","morph21_Oliver/Morris","0","4704","6","yes","1920","35"
"300","0","0","757.7142857142857","757.7142857142857","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","0","undefined","0","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","6","6","6","6","6","7","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","z","z","600","NA","NA","NA","NA","32303","600","2","legacy","1024","2","48000","-16","AB_m21","239","odd","CW_S","BUYER","1883","63802","62029","58569","34198","NA","NA","NA","NA","NA","62532","NA","NA","NA","61527","NA","61493","1894","64102","NA","NA","NA","62573","1883","1883","NA","63173","63199","61493","62532","62552","morph21_Oliver/Morris","0","5304","7","yes","1920","21"
"350","0","0","769.125","769.125","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","NA","NA","NA","0","undefined","0","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","7","7","7","7","7","8","z","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","z","/","849","NA","NA","NA","NA","32303","849","2","legacy","1024","2","48000","-16","AB_m21","239","odd","NW_S_SIMP","BASKODY","1883","67672","65655","58569","34198","NA","NA","NA","NA","NA","66155","NA","NA","NA","65155","NA","65126","1894","68023","NA","NA","NA","66196","1883","1883","NA","67045","67069","65126","66155","66176","morph21_Oliver/Morris","0","6153","8","yes","1920","10"
"350","0","0","817","817","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","NA","NA","NA","0","undefined","0","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","8","8","8","8","8","9","/","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","z","None","1200","NA","NA","NA","NA","32303","1200","2","legacy","1024","2","48000","-16","AB_m21","239","odd","CW_S","LENDER","1883","73491","69617","71985","34198","NA","NA","NA","NA","NA","70117","NA","NA","NA","69117","NA","69087","1894","73842","NA","NA","NA","70159","1883","1883","NA","71359","71382","69087","70117","70139","morph21_Oliver/Morris","0","7353","9","yes","1920","11"
"300","10","10","839.9","839.9","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","NA","NA","NA","1","undefined","1","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","9","9","9","9","9","10","z","Thu Feb 29 14:36:05 2024","The main experiment item","yes","m21-ab-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ekealey/Desktop/subject-239.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","z","z","1046","NA","NA","NA","NA","32303","1046","2","legacy","1024","2","48000","-16","AB_m21","239","odd","NW_S_COMP","CURTITY","1883","77626","75410","71985","34198","NA","NA","NA","NA","NA","75911","NA","NA","NA","74909","NA","74878","1894","77926","NA","NA","NA","75951","1883","1883","NA","76998","77021","74878","75911","75931","morph21_Oliver/Morris","1","8399","10","yes","1920","11"
