"ITI","_prepare","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_close_port","count_cond_trigger","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_instructions_1","count_logger","count_logscript","count_new_inline_script","count_new_inline_script_2","count_new_keyboard_response_1","count_open_port","count_reset_counter_prep","count_reset_counter_run","count_reset_counter_run_1","count_response_trigger_trial","count_responsescreen","count_sequence","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_close_port","time_cond_trigger","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_inline_script_2","time_new_keyboard_response_1","time_open_port","time_reset_counter_prep","time_reset_counter_run","time_reset_counter_run_1","time_response_trigger_trial","time_responsescreen","time_sequence","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","NA","NA","0","0","NA","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","1","/","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","63284","1200","2","legacy","1024","2","48000","-16","AB_m21","240","even","CW_L","DANCER","1736","69494","67127","NA","65185","NA","NA","NA","NA","NA","67627","NA","NA","NA","66626","NA","66592","1900","69744","NA","NA","NA","67668","1737","1888","NA","NA","68868","68891","66592","67627","67648","morph21_Oliver/Morris","0","1200","1","yes","1920","11"
"300","","0","0","1200","1200","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","1","1","1","0","1","1","1","NA","0","1","NA","NA","0","1","NA","1","0","1","NA","NA","NA","1","0","0","NA","NA","1","1","1","1","1","2","z","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","63284","1200","2","legacy","1024","2","48000","-16","AB_m21","240","even","NW_L_SIMP","LONGNESS","1736","73689","71322","NA","65185","NA","NA","NA","NA","NA","71822","NA","NA","NA","70821","NA","70790","1900","73989","NA","NA","NA","71863","1737","1888","NA","NA","73063","73086","70790","71822","71843","morph21_Oliver/Morris","0","2400","2","yes","1920","17"
"400","","33.333333333333336","33.333333333333336","1191","1191","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","2","2","2","0","2","2","2","NA","0","2","NA","NA","0","2","NA","2","0","2","NA","NA","NA","2","0","0","NA","NA","2","2","2","2","2","3","/","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","1173","NA","NA","NA","NA","63284","1173","2","legacy","1024","2","48000","-16","AB_m21","240","even","CW_L","LOCKER","1736","79407","75557","77900","65185","NA","NA","NA","NA","NA","76057","NA","NA","NA","75057","NA","75027","1900","79807","NA","NA","NA","76098","1737","1888","NA","NA","77271","77296","75027","76057","76078","morph21_Oliver/Morris","1","3573","3","yes","1920","8"
"250","","50","50","1134.5","1134.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","1","undefined","1","0","3","3","3","0","3","3","3","NA","0","3","NA","NA","0","3","NA","3","0","3","NA","NA","NA","3","0","0","NA","NA","3","3","3","3","3","4","/","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","965","NA","NA","NA","NA","63284","965","2","legacy","1024","2","48000","-16","AB_m21","240","even","FILL_W","TASTE","1736","83532","81397","77900","65185","NA","NA","NA","NA","NA","81898","NA","NA","NA","80895","NA","80865","1900","83782","NA","NA","NA","81938","1737","1888","NA","NA","82904","82928","80865","81898","81918","morph21_Oliver/Morris","2","4538","4","yes","1920","34"
"200","","60","60","1083.8","1083.8","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","1","undefined","1","0","4","4","4","0","4","4","4","NA","0","4","NA","NA","0","4","NA","4","0","4","NA","NA","NA","4","0","0","NA","NA","4","4","4","4","4","5","z","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","z","NA","NA","NA","NA","space","z","881","NA","NA","NA","NA","63284","881","2","legacy","1024","2","48000","-16","AB_m21","240","even","FILL_NW","GILN","1736","87372","85321","77900","65185","NA","NA","NA","NA","NA","85821","NA","NA","NA","84821","NA","84791","1900","87572","NA","NA","NA","85862","1737","1888","NA","NA","86744","86767","84791","85821","85842","morph21_Oliver/Morris","3","5419","5","yes","1920","25"
"300","","50","50","1103.1666666666667","1103.1666666666667","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","NA","NA","NA","0","undefined","0","0","5","5","5","0","5","5","5","NA","0","5","NA","NA","0","5","NA","5","0","5","NA","NA","NA","5","0","0","NA","NA","5","5","5","5","5","6","z","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","63284","1200","2","legacy","1024","2","48000","-16","AB_m21","240","even","FILL_NW","BAFED","1736","92996","89123","91491","65185","NA","NA","NA","NA","NA","89624","NA","NA","NA","88623","NA","88592","1900","93296","NA","NA","NA","89664","1737","1888","NA","NA","90864","90888","88591","89624","89644","morph21_Oliver/Morris","3","6619","6","yes","1920","1"
"300","","42.857142857142854","42.857142857142854","1117","1117","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","NA","NA","NA","0","undefined","0","0","6","6","6","0","6","6","6","NA","0","6","NA","NA","0","6","NA","6","0","6","NA","NA","NA","6","0","0","NA","NA","6","6","6","6","6","7","z","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","63284","1200","2","legacy","1024","2","48000","-16","AB_m21","240","even","NW_L_SIMP","ELBOWISM","1736","97238","94867","91491","65185","NA","NA","NA","NA","NA","95369","NA","NA","NA","94366","NA","94334","1900","97538","NA","NA","NA","95409","1737","1888","NA","NA","96609","96634","94334","95369","95389","morph21_Oliver/Morris","3","7819","7","yes","1920","10"
"250","","37.5","37.5","1127.375","1127.375","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","NA","NA","NA","0","undefined","0","0","7","7","7","0","7","7","7","NA","0","7","NA","NA","0","7","NA","7","0","7","NA","NA","NA","7","0","0","NA","NA","7","7","7","7","7","8","z","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","63284","1200","2","legacy","1024","2","48000","-16","AB_m21","240","even","NW_S_COMP","BRANCHEL","1736","101459","99089","91491","65185","NA","NA","NA","NA","NA","99589","NA","NA","NA","98588","NA","98554","1900","101709","NA","NA","NA","99630","1737","1888","NA","NA","100830","100855","98554","99589","99610","morph21_Oliver/Morris","3","9019","8","yes","1920","16"
"350","","44.44444444444444","44.44444444444444","1123.4444444444443","1123.4444444444443","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","NA","NA","NA","1","undefined","1","0","8","8","8","0","8","8","8","NA","0","8","NA","NA","0","8","NA","8","0","8","NA","NA","NA","8","0","0","NA","NA","8","8","8","8","8","9","/","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","/","NA","NA","NA","NA","space","/","1092","NA","NA","NA","NA","63284","1092","2","legacy","1024","2","48000","-16","AB_m21","240","even","CW_L","FEEDER","1736","107046","103278","105541","65185","NA","NA","NA","NA","NA","103779","NA","NA","NA","102777","NA","102751","1900","107397","NA","NA","NA","103819","1737","1888","NA","NA","104911","104935","102751","103779","103799","morph21_Oliver/Morris","4","10111","9","yes","1920","14"
"350","","40","40","1131.1","1131.1","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","NA","NA","NA","0","undefined","0","0","9","9","9","0","9","9","9","NA","0","9","NA","NA","0","9","NA","9","0","9","NA","NA","NA","9","0","0","NA","NA","9","9","9","9","9","10","/","Mon Mar  4 15:41:39 2024","Executes Python code","yes","m21-ba-lexicalDecision.osexp","C:\Users\ekealey\Desktop","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ekealey/Desktop/subject-240.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","None","NA","NA","NA","NA","space","None","1200","NA","NA","NA","NA","63284","1200","2","legacy","1024","2","48000","-16","AB_m21","240","even","FILL_W","GLOOM","1736","111356","108989","105541","65185","NA","NA","NA","NA","NA","109489","NA","NA","NA","108489","NA","108458","1900","111706","NA","NA","NA","109530","1737","1888","NA","NA","110730","110753","108457","109489","109510","morph21_Oliver/Morris","4","11311","10","yes","1920","14"
