mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amp,-30.874,1,FP1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-25.435,2,Fz,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-26.829,3,F3,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-26.227,4,F7,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-20.498,5,FC5,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-23.268,6,FC1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-14.181,7,C3,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-14.200,8,T7,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-6.928,9,CP5,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-0.735,10,CP1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,9.816,11,Pz,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,13.670,12,P3,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,12.098,13,P7,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,32.415,14,O1,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,12.785,15,O2,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,14.315,16,P4,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,22.773,17,P8,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,9.350,18,CP6,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,4.197,19,CP2,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
mean_amp,-9.901,20,CZ,17,Critical_Word_High_Base_Frequency,S105_LDT_diff_waves
