ITI,cond_trig,cresp,targ_type,target,word_trig
300,205,z,NW_S_SIMP,BOLTOES,13
400,202,/,CW_L,DRYNESS,42
400,207,/,FILL_W,FLIRT,1
400,202,/,CW_L,FAITHFUL,20
350,203,z,NW_S_COMP,FIENDISM,24
350,201,/,CW_S,LENDER,11
350,201,/,CW_S,SINGER,17
300,208,z,FILL_NW,VOGS,47
350,206,z,NW_L_SIMP,CRITICANGE,22
300,205,z,NW_S_SIMP,WARNODY,12
300,207,/,FILL_W,BALD,3
400,208,z,FILL_NW,CORG,7
200,203,z,NW_S_COMP,ADOPTILP,19
300,205,z,NW_S_SIMP,SOCKETEL,1
300,201,/,CW_S,MAGICAL,4
350,202,/,CW_L,BARKER,2
400,201,/,CW_S,DIETARY,6
300,205,z,NW_S_SIMP,TILTADY,17
400,202,/,CW_L,BLINDNESS,40
250,201,/,CW_S,COSTLY,36
200,205,z,NW_S_SIMP,GUMFIL,2
350,208,z,FILL_NW,BLANTH,3
400,202,/,CW_L,STYLISH,29
200,203,z,NW_S_COMP,PILLIZE,13
200,208,z,FILL_NW,FROT,22
400,202,/,CW_L,SHAPELY,35
300,208,z,FILL_NW,TREMP,20
250,207,/,FILL_W,STARVE,15
200,202,/,CW_L,BONELESS,34
300,204,z,NW_L_COMP,ILLIST,9
200,207,/,FILL_W,WRECK,13
200,202,/,CW_L,VERBAL,50
250,204,z,NW_L_COMP,FREENESS,15
350,201,/,CW_S,TOASTER,10
250,201,/,CW_S,AWARENESS,44
200,204,z,NW_L_COMP,PITCHORY,25
250,207,/,FILL_W,PREACH,7
250,207,/,FILL_W,SHIP,37
400,207,/,FILL_W,STEEP,16
300,206,z,NW_L_SIMP,EARILT,12
250,207,/,FILL_W,PACK,41
250,203,z,NW_S_COMP,BEERER,5
400,204,z,NW_L_COMP,BOILOUS,18
400,208,z,FILL_NW,FROES,21
400,205,z,NW_S_SIMP,MEDICALADY,18
250,208,z,FILL_NW,PHEEKS,35
400,205,z,NW_S_SIMP,SCHEMENELS,15
250,201,/,CW_S,GRIMLY,31
200,201,/,CW_S,BOLDNESS,41
300,206,z,NW_L_SIMP,LONGNELS,17
200,208,z,FILL_NW,BLAYS,8
250,206,z,NW_L_SIMP,DRESSODY,21
350,202,/,CW_L,KICKING,23
200,207,/,FILL_W,GOLF,28
400,207,/,FILL_W,CEASE,18
250,205,z,NW_S_SIMP,ZOOMFIL,19
250,207,/,FILL_W,WEAVE,12
200,203,z,NW_S_COMP,MELTANCE,1
300,204,z,NW_L_COMP,EMPLOYNESS,21
400,207,/,FILL_W,CRUNCH,20
250,204,z,NW_L_COMP,STIRANCE,1
350,208,z,FILL_NW,DARF,10
200,201,/,CW_S,LOCALLY,37
250,201,/,CW_S,HUGELY,35
400,205,z,NW_S_SIMP,AIDIG,4
350,202,/,CW_L,BOMBER,7
350,207,/,FILL_W,WEIRD,2
250,204,z,NW_L_COMP,TRIPARY,2
350,205,z,NW_S_SIMP,BASKODY,10
250,202,/,CW_L,EXCITEMENT,38
200,208,z,FILL_NW,DARM,11
200,203,z,NW_S_COMP,FANFUL,6
200,205,z,NW_S_SIMP,OPPOSEMANT,8
350,203,z,NW_S_COMP,WELDIC,21
200,207,/,FILL_W,SAVE,46
400,202,/,CW_L,SPELLER,3
200,208,z,FILL_NW,SMADE,42
300,201,/,CW_S,BUYER,21
300,206,z,NW_L_SIMP,BANDADY,3
300,204,z,NW_L_COMP,KINGISM,19
250,208,z,FILL_NW,PIFTH,36
350,202,/,CW_L,JUMPING,30
400,206,z,NW_L_SIMP,BOGADY,2
350,208,z,FILL_NW,DELP,14
250,208,z,FILL_NW,BUWL,9
400,204,z,NW_L_COMP,FLITENCE,3
250,208,z,FILL_NW,DOWED,16
200,204,z,NW_L_COMP,FLIPORY,16
350,208,z,FILL_NW,JADS,31
350,201,/,CW_S,CHILLY,48
400,201,/,CW_S,AVOIDABLE,2
350,206,z,NW_L_SIMP,WITCHITH,11
250,204,z,NW_L_COMP,BREAKITY,23
250,208,z,FILL_NW,POLT,38
200,201,/,CW_S,THRUSTER,24
250,201,/,CW_S,PEAKING,28
350,205,z,NW_S_SIMP,ACREMANT,16
350,201,/,CW_S,BOSSY,49
300,205,z,NW_S_SIMP,FEVERIME,24
400,205,z,NW_S_SIMP,URNILT,5
350,202,/,CW_L,PAINTER,18
250,202,/,CW_L,FLEXIBLE,22
350,203,z,NW_S_COMP,HUMIDOUS,25
300,208,z,FILL_NW,HEEM,27
300,208,z,FILL_NW,BAFED,1
250,202,/,CW_L,DANCER,11
250,205,z,NW_S_SIMP,DIGODY,11
200,201,/,CW_S,ENJOYMENT,40
250,201,/,CW_S,NOTICEABLE,3
400,206,z,NW_L_SIMP,VALIDEL,23
400,201,/,CW_S,WIDOWED,7
350,206,z,NW_L_SIMP,HABITIG,7
300,208,z,FILL_NW,DASK,12
200,207,/,FILL_W,FLESH,32
350,202,/,CW_L,GUARDING,26
250,202,/,CW_L,DEAFNESS,39
400,203,z,NW_S_COMP,ARIDISM,9
200,208,z,FILL_NW,PORDS,39
200,207,/,FILL_W,OLD,44
350,202,/,CW_L,PARKING,25
400,205,z,NW_S_SIMP,RAMPIME,6
300,208,z,FILL_NW,VOOFS,48
250,207,/,FILL_W,SOUGHT,40
200,203,z,NW_S_COMP,ELMIST,10
200,208,z,FILL_NW,HESK,29
250,206,z,NW_L_SIMP,BEARILT,25
300,202,/,CW_L,KNOCKER,4
350,203,z,NW_S_COMP,PRINCEMENT,17
350,206,z,NW_L_SIMP,NUTLA,14
