ITI,cond_trig,cresp,targ_type,target,word_trig
200,201,/,CW_S,ANGELIC,25
350,203,z,NW_S_COMP,EJECTENGE,20
300,202,/,CW_L,DAMPISH,28
400,208,z,FILL_NW,ULNS,45
400,206,z,NW_L_SIMP,VALIDER,23
200,206,z,NW_L_SIMP,GROWIST,20
300,208,z,FILL_NW,VOGS,47
300,207,/,FILL_W,BOX,42
400,208,z,FILL_NW,BUTE,5
200,201,/,CW_S,THRUSTER,24
350,201,/,CW_S,RICHNESS,45
250,202,/,CW_L,DEAFNESS,39
250,201,/,CW_S,PLANNER,22
200,205,z,NW_S_SIMP,OPPOSEMENT,8
350,201,/,CW_S,CHILLY,48
250,204,z,NW_L_COMP,TRIPADY,2
250,208,z,FILL_NW,PHEEKS,35
300,204,z,NW_L_COMP,SHEETEL,5
350,202,/,CW_L,JUMPING,30
200,207,/,FILL_W,FLOAT,30
250,201,/,CW_S,TOSSING,26
350,202,/,CW_L,GUILELESS,31
250,205,z,NW_S_SIMP,DIGORY,11
400,207,/,FILL_W,LITHE,23
400,205,z,NW_S_SIMP,SCHEMENESS,15
400,207,/,FILL_W,FLIRT,1
300,205,z,NW_S_SIMP,FEVERIZE,24
200,201,/,CW_S,AMUSEMENT,38
200,208,z,FILL_NW,BROUPS,4
400,206,z,NW_L_SIMP,BLOODER,24
250,206,z,NW_L_SIMP,DRESSORY,21
200,202,/,CW_L,BOOTLESS,32
250,201,/,CW_S,SEEKER,16
350,206,z,NW_L_SIMP,PICKENCE,5
250,204,z,NW_L_COMP,FREENELS,15
350,207,/,FILL_W,LIFT,39
300,204,z,NW_L_COMP,FELLOWOES,17
350,205,z,NW_S_SIMP,ACREMENT,16
350,202,/,CW_L,PAINTER,18
250,202,/,CW_L,CREAMY,49
250,206,z,NW_L_SIMP,BEARIST,25
250,208,z,FILL_NW,PIFTH,36
200,208,z,FILL_NW,HESK,29
400,202,/,CW_L,CLOUDLESS,33
250,207,/,FILL_W,STARVE,15
400,207,/,FILL_W,STEEP,16
400,208,z,FILL_NW,SOISE,43
350,201,/,CW_S,DENSELY,32
350,202,/,CW_L,BOMBER,7
300,204,z,NW_L_COMP,ILLILT,9
350,202,/,CW_L,SWIMMER,5
250,205,z,NW_S_SIMP,ZOOMFUL,19
300,205,z,NW_S_SIMP,SOCKETER,1
400,208,z,FILL_NW,CORG,7
350,206,z,NW_L_SIMP,HABITIC,7
300,203,z,NW_S_COMP,FIGEL,4
350,206,z,NW_L_SIMP,NUTLY,14
350,203,z,NW_S_COMP,HUMIDOES,25
350,202,/,CW_L,FEEDER,14
250,201,/,CW_S,AWARENESS,44
350,202,/,CW_L,BARKER,2
350,203,z,NW_S_COMP,WELDIG,21
200,203,z,NW_S_COMP,FANFIL,6
400,208,z,FILL_NW,BORMS,50
400,204,z,NW_L_COMP,RIPENGE,4
350,201,/,CW_S,TOASTER,10
400,207,/,FILL_W,DRUNK,19
250,207,/,FILL_W,WEAVE,12
250,201,/,CW_S,COSTLY,36
250,208,z,FILL_NW,PLAODS,37
300,205,z,NW_S_SIMP,HEIRIC,3
200,208,z,FILL_NW,GILN,25
200,207,/,FILL_W,FLESH,32
350,208,z,FILL_NW,JADS,31
200,208,z,FILL_NW,HOITS,30
200,202,/,CW_L,SHAMEFUL,19
200,208,z,FILL_NW,CINDS,6
300,205,z,NW_S_SIMP,WARNORY,12
400,203,z,NW_S_COMP,ALTARIG,7
350,203,z,NW_S_COMP,FIENDILM,24
200,202,/,CW_L,BONELESS,34
300,207,/,FILL_W,MOURN,26
350,206,z,NW_L_SIMP,CRITICANCE,22
300,206,z,NW_L_SIMP,TAXFUL,6
400,204,z,NW_L_COMP,BOIL,18
250,207,/,FILL_W,SPLICE,22
250,203,z,NW_S_COMP,TREASONIME,14
200,207,/,FILL_W,TEST,47
400,207,/,FILL_W,CRUNCH,20
350,207,/,FILL_W,FAINT,31
250,207,/,FILL_W,PREACH,7
400,207,/,FILL_W,QUIT,21
350,201,/,CW_S,STRANGENESS,46
300,202,/,CW_L,WEEDY,48
350,208,z,FILL_NW,DASP,13
250,207,/,FILL_W,TASTE,34
250,201,/,CW_S,HUGELY,35
250,203,z,NW_S_COMP,BRANCHEL,16
200,203,z,NW_S_COMP,ADOPTISH,19
400,202,/,CW_L,QUIETLY,36
300,201,/,CW_S,BUYER,21
250,202,/,CW_L,FLEXIBLE,22
350,203,z,NW_S_COMP,HEIGHTENGE,18
250,204,z,NW_L_COMP,BREAKIDY,23
200,207,/,FILL_W,TAX,45
300,201,/,CW_S,MAGICAL,4
300,201,/,CW_S,INSISTENT,9
200,201,/,CW_S,CAMPAIGNER,15
250,208,z,FILL_NW,LOLDS,34
350,208,z,FILL_NW,DOADS,15
300,207,/,FILL_W,IRON,33
250,201,/,CW_S,HARMLESS,29
300,205,z,NW_S_SIMP,YIELDIST,20
400,202,/,CW_L,STYLISH,29
400,202,/,CW_L,BLINDNESS,40
200,201,/,CW_S,ENJOYMENT,40
250,207,/,FILL_W,SOFT,43
200,204,z,NW_L_COMP,FLIPODY,16
200,207,/,FILL_W,GOLF,28
200,208,z,FILL_NW,SMADE,42
200,201,/,CW_S,LISTENER,18
200,203,z,NW_S_COMP,YANKODY,23
400,202,/,CW_L,COOLING,24
200,207,/,FILL_W,WRECK,13
400,202,/,CW_L,SHAPELY,35
350,202,/,CW_L,PARKING,25
400,207,/,FILL_W,CEASE,18
200,208,z,FILL_NW,PUCTS,40
400,205,z,NW_S_SIMP,MEDICALARY,18
