"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","0","0","995","995","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","56459","1000","0.0177119679768","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","995","NA","NA","NA","NA","195229","995","2","legacy","1024","2","48000","-16","BA_m21","164","even","NW_S_COMP","ELMILT","1933","200067","198392","NA","197173","NA","NA","NA","NA","NA","198889","NA","197887","NA","197827","200062","1944","200267","NA","NA","199067","1933","1933","199467","197827","1933","199067","200267","morph21_Oliver/Morris","0","995","1","yes","1280","10"
"300","50","50","810.5","810.5","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","67721","1000","0.0147664683038","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","626","NA","NA","NA","NA","195229","626","2","legacy","1024","2","48000","-16","BA_m21","164","even","NW_L_COMP","BINDIG","1933","203052","201342","NA","197173","NA","NA","NA","NA","203045","201839","NA","200842","NA","200834","203045","1944","203352","NA","NA","202051","1933","1933","202442","200834","1933","202051","203352","morph21_Oliver/Morris","1","1621","2","yes","1280","22"
"400","33.3333333333","33.3333333333","696","696","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","74322","1000","0.013454966228","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","467","NA","NA","NA","NA","195229","467","2","legacy","1024","2","48000","-16","BA_m21","164","even","NW_L_COMP","BOIL","1933","207710","204518","206202","197173","NA","NA","NA","NA","203045","205016","NA","204018","NA","204008","206196","1944","208110","NA","NA","205202","1933","1933","205593","204008","1933","205202","208110","morph21_Oliver/Morris","1","2088","3","yes","1280","18"
"400","50","50","731.75","731.75","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","61747","1000","0.0161951187912","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","839","NA","NA","NA","NA","195229","839","2","legacy","1024","2","48000","-16","BA_m21","164","even","NW_L_SIMP","BLOODER","1933","210910","209235","206202","197173","NA","NA","NA","NA","210904","209732","NA","208735","NA","208726","210904","1944","211310","NA","NA","209910","1933","1933","210302","208726","1933","209910","211310","morph21_Oliver/Morris","2","2927","4","yes","1280","24"
"300","60","60","676.6","676.6","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","74771","1000","0.0133741691297","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","456","NA","NA","NA","NA","195229","456","2","legacy","1024","2","48000","-16","BA_m21","164","even","CW_L","DOUBTFUL","1933","214085","212427","206202","197173","NA","NA","NA","NA","214079","212924","NA","211927","NA","211915","214079","1944","214385","NA","NA","213085","1933","1933","213477","211915","1933","213085","214385","morph21_Oliver/Morris","3","3383","5","yes","1280","21"
"250","66.6666666667","66.6666666667","671.5","671.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","67734","1000","0.0147636342162","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","646","NA","NA","NA","NA","195229","646","2","legacy","1024","2","48000","-16","BA_m21","164","even","FILL_W","SUIT","1933","218627","215461","217119","197173","NA","NA","NA","NA","217110","215958","NA","214961","NA","214957","217110","1944","218877","NA","NA","216119","1933","1933","216510","214957","1933","216119","218877","morph21_Oliver/Morris","4","4029","6","yes","1280","49"
"400","57.1428571429","57.1428571429","638.142857143","638.142857143","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","73841","1000","0.0135426118281","0","undefined","0","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","438","NA","NA","NA","NA","195229","438","2","legacy","1024","2","48000","-16","BA_m21","164","even","NW_L_COMP","PASSMANT","1933","221687","220011","217119","197173","NA","NA","NA","NA","217110","220508","NA","219511","NA","219506","221678","1944","222087","NA","NA","220687","1933","1933","221078","219506","1933","220687","222087","morph21_Oliver/Morris","4","4467","7","yes","1280","14"
"400","62.5","62.5","620.125","620.125","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","74129","1000","0.0134899971671","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","494","NA","NA","NA","NA","195229","494","2","legacy","1024","2","48000","-16","BA_m21","164","even","CW_L","COOLING","1933","224895","223212","217119","197173","NA","NA","NA","NA","224887","223709","NA","222712","NA","222707","224887","1944","225295","NA","NA","223895","1933","1933","224287","222707","1933","223895","225295","morph21_Oliver/Morris","5","4961","8","yes","1280","24"
"400","55.5555555556","55.5555555556","649","649","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","61502","1000","0.016259633833","0","undefined","0","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","880","NA","NA","NA","NA","195229","880","2","legacy","1024","2","48000","-16","BA_m21","164","even","NW_L_SIMP","CLASSOUS","1933","229737","226579","228229","197173","NA","NA","NA","NA","224887","227076","NA","226079","NA","226074","228221","1944","230137","NA","NA","227229","1933","1933","227620","226074","1933","227229","230137","morph21_Oliver/Morris","5","5841","9","yes","1280","18"
"250","60","60","662.1","662.1","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","64177","1000","0.0155819062904","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","03/02/19 15:27:05","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-164.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","780","NA","NA","NA","NA","195229","780","2","legacy","1024","2","48000","-16","BA_m21","164","even","CW_S","HUGELY","1933","232937","231287","228229","197173","NA","NA","NA","NA","232933","231784","NA","230787","NA","230778","232933","1944","233187","NA","NA","231937","1933","1933","232337","230778","1933","231937","233187","morph21_Oliver/Morris","6","6621","10","yes","1280","35"
