"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","100","100","738","738","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","70069","1000","0.0142716465199","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","738","NA","NA","NA","NA","74362","738","2","legacy","1024","2","48000","-16","BA_m21","144","even","CW_S","HARMLESS","1621","78821","77238","NA","75999","NA","NA","NA","NA","78817","77735","NA","76732","NA","76661","78817","1637","79071","NA","NA","77821","1621","1621","78221","76661","1621","77821","79071","morph21_Oliver/Morris","1","738","1","yes","1280","29"
"350","100","100","773","773","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","67457","1000","0.0148242584165","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","808","NA","NA","NA","NA","74362","808","2","legacy","1024","2","48000","-16","BA_m21","144","even","CW_L","BARKER","1621","81822","80230","NA","75999","NA","NA","NA","NA","81818","80727","NA","79730","NA","79727","81818","1637","82172","NA","NA","80822","1621","1621","81222","79727","1621","80822","82172","morph21_Oliver/Morris","2","1546","2","yes","1280","2"
"300","100","100","738","738","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","72966","1000","0.0137050132939","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","668","NA","NA","NA","NA","74362","668","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_NW","DASK","1621","86431","83322","84922","75999","NA","NA","NA","NA","84915","83819","NA","82822","NA","82818","84915","1637","86731","NA","NA","83922","1621","1621","84313","82817","1621","83922","86731","morph21_Oliver/Morris","3","2214","3","yes","1280","12"
"250","100","100","756.5","756.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","65493","1000","0.0152688073535","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","812","NA","NA","NA","NA","74362","812","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_W","SMOKE","1621","89523","87931","84922","75999","NA","NA","NA","NA","89513","88428","NA","87431","NA","87426","89513","1637","89773","NA","NA","88523","1621","1621","88915","87426","1621","88523","89773","morph21_Oliver/Morris","4","3026","4","yes","1280","50"
"250","100","100","759.4","759.4","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69422","1000","0.0144046555847","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","771","NA","NA","NA","NA","74362","771","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_W","STARVE","1621","92548","90948","84922","75999","NA","NA","NA","NA","92542","91445","NA","90448","NA","90442","92542","1637","92798","NA","NA","91548","1621","1621","91940","90442","1621","91548","92798","morph21_Oliver/Morris","5","3797","5","yes","1280","15"
"200","100","100","769.333333333","769.333333333","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","68802","1000","0.0145344612075","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","819","NA","NA","NA","NA","74362","819","2","legacy","1024","2","48000","-16","BA_m21","144","even","CW_S","AMUSEMENT","1621","97048","93956","95540","75999","NA","NA","NA","NA","95533","94454","NA","93456","NA","93449","95533","1637","97248","NA","NA","94540","1621","1621","94931","93449","1621","94540","97248","morph21_Oliver/Morris","6","4616","6","yes","1280","38"
"350","100","100","756.571428571","756.571428571","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","68149","1000","0.0146737296219","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","680","NA","NA","NA","NA","74362","680","2","legacy","1024","2","48000","-16","BA_m21","144","even","NW_S_COMP","PRINCEMANT","1621","99982","98415","95540","75999","NA","NA","NA","NA","99974","98912","NA","97915","NA","97909","99974","1637","100332","NA","NA","98982","1621","1621","99373","97909","1621","98982","100332","morph21_Oliver/Morris","7","5296","7","yes","1280","17"
"250","100","100","751.375","751.375","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","62432","1000","0.0160174269605","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","715","NA","NA","NA","NA","74362","715","2","legacy","1024","2","48000","-16","BA_m21","144","even","NW_S_COMP","LIDADY","1621","103115","101515","95540","75999","NA","NA","NA","NA","103105","102012","NA","101015","NA","101007","103105","1637","103365","NA","NA","102115","1621","1621","102507","101007","1621","102115","103365","morph21_Oliver/Morris","8","6011","8","yes","1280","3"
"200","100","100","736.555555556","736.555555556","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","74392","1000","0.0134423056243","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","618","NA","NA","NA","NA","74362","618","2","legacy","1024","2","48000","-16","BA_m21","144","even","FILL_W","FLOAT","1621","107650","104541","106141","75999","NA","NA","NA","NA","106136","105038","NA","104041","NA","104032","106136","1637","107850","NA","NA","105141","1621","1621","105541","104032","1621","105141","107850","morph21_Oliver/Morris","9","6629","9","yes","1280","30"
"250","100","100","732.8","732.8","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","69081","1000","0.0144757603393","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","10/24/18 16:30:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-144-2.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","699","NA","NA","NA","NA","74362","699","2","legacy","1024","2","48000","-16","BA_m21","144","even","CW_S","JAILER","1621","110708","109100","106141","75999","NA","NA","NA","NA","110700","109597","NA","108600","NA","108590","110700","1637","110958","NA","NA","109708","1621","1621","110100","108590","1621","109708","110958","morph21_Oliver/Morris","10","7328","10","yes","1280","13"
