"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","100","100","898","898","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","58708","1000","0.0170334537031","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","898","NA","NA","NA","NA","152763","898","2","legacy","1024","2","48000","-16","AB_m21","168","even","FILL_NW","KRAISE","2032","157661","155994","NA","154807","NA","NA","NA","NA","157655","156491","NA","155490","NA","155418","157655","2044","158011","NA","NA","156661","2032","2032","157053","155417","2032","156661","158011","morph21_Oliver/Morris","1","898","1","yes","1280","33"
"250","100","100","802","802","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","64427","1000","0.0155214428733","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","706","NA","NA","NA","NA","152763","706","2","legacy","1024","2","48000","-16","AB_m21","168","even","NW_S_SIMP","ZOOMFIL","2032","160853","159161","NA","154807","NA","NA","NA","NA","160848","159658","NA","158661","NA","158656","160848","2044","161103","NA","NA","159853","2032","2032","160253","158656","2032","159853","161103","morph21_Oliver/Morris","2","1604","2","yes","1280","19"
"400","100","100","756","756","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","63545","1000","0.0157368793768","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","664","NA","NA","NA","NA","152763","664","2","legacy","1024","2","48000","-16","AB_m21","168","even","FILL_NW","BALFS","2032","165579","162361","164069","154807","NA","NA","NA","NA","164060","162858","NA","161861","NA","161850","164060","2044","165979","NA","NA","163070","2032","2032","163461","161850","2032","163070","165979","morph21_Oliver/Morris","3","2268","3","yes","1280","2"
"250","100","100","740.75","740.75","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","66368","1000","0.0150675024108","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","695","NA","NA","NA","NA","152763","695","2","legacy","1024","2","48000","-16","AB_m21","168","even","CW_S","SEEKER","2032","168887","167204","164069","154807","NA","NA","NA","NA","168883","167701","NA","166704","NA","166700","168883","2044","169137","NA","NA","167896","2032","2032","168287","166700","2032","167896","169137","morph21_Oliver/Morris","4","2963","4","yes","1280","16"
"200","100","100","721.6","721.6","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","65980","1000","0.0151561079115","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","645","NA","NA","NA","NA","152763","645","2","legacy","1024","2","48000","-16","AB_m21","168","even","CW_S","LOCALLY","2032","171937","170246","164069","154807","NA","NA","NA","NA","171934","170743","NA","169746","NA","169741","171934","2044","172138","NA","NA","170938","2032","2032","171337","169741","2032","170937","172138","morph21_Oliver/Morris","5","3608","5","yes","1280","37"
"300","83.3333333333","83.3333333333","751.333333333","751.333333333","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","59694","1000","0.0167521023888","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","900","NA","NA","NA","NA","152763","900","2","legacy","1024","2","48000","-16","AB_m21","168","even","NW_S_SIMP","HELMETOES","2032","176479","173321","174971","154807","NA","NA","NA","NA","171934","173818","NA","172821","NA","172814","174965","2044","176780","NA","NA","173971","2032","2032","174363","172814","2032","173971","176780","morph21_Oliver/Morris","5","4508","6","yes","1280","14"
"350","85.7142857143","85.7142857143","738.142857143","738.142857143","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","60244","1000","0.0165991634022","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","659","NA","NA","NA","NA","152763","659","2","legacy","1024","2","48000","-16","AB_m21","168","even","FILL_W","BRISK","2032","179588","177896","174971","154807","NA","NA","NA","NA","179579","178393","NA","177396","NA","177393","179579","2044","179938","NA","NA","178588","2032","2032","178979","177393","2032","178588","179938","morph21_Oliver/Morris","6","5167","7","yes","1280","8"
"300","87.5","87.5","743.25","743.25","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","58820","1000","0.0170010200612","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","779","NA","NA","NA","NA","152763","779","2","legacy","1024","2","48000","-16","AB_m21","168","even","NW_S_SIMP","TILTADY","2032","182772","181113","174971","154807","NA","NA","NA","NA","182767","181610","NA","180613","NA","180603","182767","2044","183072","NA","NA","181780","2032","2032","182164","180603","2032","181780","183072","morph21_Oliver/Morris","7","5946","8","yes","1280","17"
"350","77.7777777778","77.7777777778","745.777777778","745.777777778","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","62616","1000","0.0159703590137","0","undefined","0","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","766","NA","NA","NA","NA","152763","766","2","legacy","1024","2","48000","-16","AB_m21","168","even","NW_S_COMP","HEIGHTENCE","2032","187406","184247","185897","154807","NA","NA","NA","NA","182767","184745","NA","183747","NA","183740","185889","2044","187756","NA","NA","184897","2032","2032","185289","183740","2032","184897","187756","morph21_Oliver/Morris","7","6712","9","yes","1280","18"
"250","80","80","764.9","764.9","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","57767","1000","0.0173109214603","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","03/25/19 15:35:59","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-168.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","937","NA","NA","NA","NA","152763","937","2","legacy","1024","2","48000","-16","AB_m21","168","even","NW_S_COMP","BEERER","2032","190606","188914","185897","154807","NA","NA","NA","NA","190598","189411","NA","188414","NA","188407","190598","2044","190856","NA","NA","189606","2032","2032","189998","188407","2032","189606","190856","morph21_Oliver/Morris","8","7649","10","yes","1280","5"
