"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","100","100","484","484","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","66174","1000","0.0151116752803","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","484","NA","NA","NA","NA","207860","484","2","legacy","1024","2","48000","-16","BA_m21","175","odd","CW_L","VERBAL","1230","211960","210310","NA","209099","NA","NA","NA","NA","211956","210808","NA","209807","NA","209743","211956","1239","212160","NA","NA","210960","1231","1231","211360","209743","1230","210960","212160","morph21_Oliver/Morris","1","484","1","yes","1280","50"
"200","100","100","499.5","499.5","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","72367","1000","0.0138184531624","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","515","NA","NA","NA","NA","207860","515","2","legacy","1024","2","48000","-16","BA_m21","175","odd","FILL_NW","CINDS","1230","214961","213294","NA","209099","NA","NA","NA","NA","214950","213791","NA","212794","NA","212787","214950","1239","215161","NA","NA","213961","1231","1231","214352","212787","1230","213961","215161","morph21_Oliver/Morris","2","999","2","yes","1280","6"
"200","100","100","466.666666667","466.666666667","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","76297","1000","0.0131066752297","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","401","NA","NA","NA","NA","207860","401","2","legacy","1024","2","48000","-16","BA_m21","175","odd","FILL_W","TEST","1230","219511","216336","218002","209099","NA","NA","NA","NA","217999","216833","NA","215836","NA","215826","217999","1239","219711","NA","NA","217011","1231","1231","217402","215826","1230","217011","219711","morph21_Oliver/Morris","3","1400","3","yes","1280","47"
"350","100","100","486.25","486.25","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","70330","1000","0.0142186833499","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","545","NA","NA","NA","NA","207860","545","2","legacy","1024","2","48000","-16","BA_m21","175","odd","FILL_NW","DELP","1230","222578","220878","218002","209099","NA","NA","NA","NA","222567","221375","NA","220378","NA","220369","222567","1239","222928","NA","NA","221578","1231","1231","221969","220369","1230","221578","222928","morph21_Oliver/Morris","4","1945","4","yes","1280","14"
"250","100","100","487.4","487.4","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69132","1000","0.0144650812938","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","492","NA","NA","NA","NA","207860","492","2","legacy","1024","2","48000","-16","BA_m21","175","odd","FILL_W","SMOKE","1230","225711","224036","218002","209099","NA","NA","NA","NA","225705","224533","NA","223536","NA","223527","225705","1239","225961","NA","NA","224711","1231","1231","225103","223527","1230","224711","225961","morph21_Oliver/Morris","5","2437","5","yes","1280","50"
"350","100","100","478.333333333","478.333333333","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","75244","1000","0.0132900962203","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","433","NA","NA","NA","NA","207860","433","2","legacy","1024","2","48000","-16","BA_m21","175","odd","CW_L","JUMPING","1230","230287","227103","228779","209099","NA","NA","NA","NA","228770","227600","NA","226603","NA","226598","228770","1239","230637","NA","NA","227779","1231","1231","228170","226598","1230","227779","230637","morph21_Oliver/Morris","6","2870","6","yes","1280","30"
"400","100","100","480.285714286","480.285714286","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","70881","1000","0.0141081531017","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","492","NA","NA","NA","NA","207860","492","2","legacy","1024","2","48000","-16","BA_m21","175","odd","CW_S","ALLOWANCE","1230","233496","231804","228779","209099","NA","NA","NA","NA","233491","232301","NA","231304","NA","231294","233491","1239","233896","NA","NA","232496","1231","1231","232896","231294","1230","232496","233896","morph21_Oliver/Morris","7","3362","7","yes","1280","5"
"250","100","100","485.75","485.75","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","69481","1000","0.0143924238281","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","524","NA","NA","NA","NA","207860","524","2","legacy","1024","2","48000","-16","BA_m21","175","odd","CW_L","DREAMER","1230","236871","235171","228779","209099","NA","NA","NA","NA","236862","235668","NA","234671","NA","234668","236862","1239","237121","NA","NA","235871","1231","1231","236262","234667","1230","235871","237121","morph21_Oliver/Morris","8","3886","8","yes","1280","12"
"400","100","100","484.222222222","484.222222222","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","74144","1000","0.013487268019","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","472","NA","NA","NA","NA","207860","472","2","legacy","1024","2","48000","-16","BA_m21","175","odd","CW_L","COOLING","1230","241488","238296","239979","209099","NA","NA","NA","NA","239973","238793","NA","237796","NA","237784","239973","1239","241888","NA","NA","238979","1231","1231","239371","237784","1230","238979","241888","morph21_Oliver/Morris","9","4358","9","yes","1280","24"
"350","100","100","481.4","481.4","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","71941","1000","0.0139002793956","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","04/25/19 15:47:08","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-175.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","456","NA","NA","NA","NA","207860","456","2","legacy","1024","2","48000","-16","BA_m21","175","odd","CW_L","PARKING","1230","244772","243104","239979","209099","NA","NA","NA","NA","244762","243602","NA","242604","NA","242593","244762","1239","245122","NA","NA","243771","1231","1231","244163","242593","1230","243771","245122","morph21_Oliver/Morris","10","4814","10","yes","1280","25"
