Derived,Base,affix,Source,FinalCut,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,,,"FS, BF","FS, SF","BF, SF",,
DETECTABLE,DETECT,ABLE,XuTaft,S,7,982,6.89,27,3.30,6,10,2030,3008,,,0.029,0.001,0.39,,
AVOIDABLE,AVOID,ABLE,XuTaft,S,5,2172,7.68,20,3.00,5,9,996.38,701,,log,0.13,-0.06,0.41,,
NOTICEABLE,NOTICE,ABLE,FORD,S,6,3426,8.14,184,5.21,6,10,1980.22,1888,,,,,,,
MAGICAL,MAGIC,AL,RastleFiller,S,5,1014,6.92,224,5.41,5,7,1700.17,1761,,,Cutoffs,FS Low,FS High,,
ALLOWANCE,ALLOW,ANCE,RastleFiller,S,5,5014,8.52,310,5.74,5,9,1751.63,1305,,,,1,8,,
DIETARY,DIET,ARY,Rastle,S,6,1181,7.07,102,4.62,4,7,1660,1749,,,,8,63,,
WIDOWED,WIDOW,ED,RastleFiller,S,5,499,6.21,55,4.01,5,7,1259.5,1344,,,,,,,
BEARDED,BEARD,ED,Rastle,S,7,578,6.36,123,4.81,5,7,2225.33,2720,,, 2nd Cut Count,50,50,,
INSISTENT,INSIST,ENT,RastleFiller,S,5,1631,7.40,77,4.34,6,9,3502.13,3770,,,FS Cut 1 average,5.18,15.52,,
TOASTER,TOAST,ER,Rastle,S,6,339,5.83,11,2.40,5,7,2893.33,2653,,,FS x LogBF,7.168913306,7.213795489,,
LENDER,LEND,ER,FORD,S,3,505,6.22,7,1.95,4,6,3551.4,2983,,,FS x BF,1840.16,1722.42,,
RAIDER,RAID,ER,RastleFiller,S,4,505,6.22,21,3.04,4,6,2727.6,2407,,,Base Length,4.84,4.68,,
JAILER,JAIL,ER,RastleFiller,S,5,678,6.52,22,3.09,4,6,2410.2,2442,,,Surface Length,7.4,7.2,,
DESTROYER,DESTROY,ER,FORD,S,3,1906,7.55,66,4.19,7,9,2621.13,3004,,,SF,165.74,166.56,,
CAMPAIGNER,CAMPAIGN,ER,FORD,S,3,2003,7.60,30,3.40,8,10,,,,,LogSF,4.220062513,4.062236009,,
SEEKER,SEEK,ER,Rastle,S,7,2155,7.68,13,2.56,4,6,2005,2360,,,BG_Mean,2108.584889,2122.201778,,
SINGER,SING,ER,FORD,S,4,2186,7.69,109,4.69,4,6,3977,2763,,,BG_Freq_By_Pos,2136.511111,2396.222222,,
LISTENER,LISTEN,ER,FORD,S,4,3081,8.03,84,4.43,6,8,3674.29,4031,,,,,,,
DESIGN,DESIGNER,ER,RastleFiller,S,7,3296,8.10,1372,7.22,8,6,1970,1857,,,,,,,
ATTACKER,ATTACK,ER,FORD,S,6,3385,8.13,100,4.61,6,8,2313.71,1164,,,,,,,
BUYER,BUY,ER,FORD,S,3,4386,8.39,68,4.22,3,5,1718.75,1685,,,,,,,
PLANNER,PLAN,ER,FORD,S,4,5475,8.61,44,3.78,4,7,2513.67,2568,,,,,,,
TEACHER,TEACH,ER,RastleFiller,S,6,5662,8.64,1206,7.10,5,7,2850.33,2958,,,,,,,
THRUSTER,THRUST,ER,Graves,S,4,584,6.37,355,5.87,6,8,,,,,,,,,
ANGELIC,ANGEL,IC,Rastle,S,7,567,6.34,35,3.56,5,7,2564.5,1619,,,,,,,
TOSSING,TOSS,ING,RastleFiller,S,5,407,6.01,84,4.43,4,7,2715.67,2896,,,,,,,
TUTORING,TUTOR,ING,RastleFiller,S,5,499,6.212606096,4,1.386294361,5,8,2784.14,3256,,,,,,,
PEAKING,PEAK,ING,RastleFiller,S,6,546,6.30,3,1.10,4,7,,,,,,,,,
HARMLESS,HARM,LESS,FORD,S,7,1101,7.00,241,5.48,4,8,2029.43,3270,,,,,,,
EFFORTLESS,EFFORT,LESS,FORD,S,4,2456,7.81,32,3.47,6,10,1677,1721,,,,,,,
GRIMLY,GRIM,LY,FORD,S,6,552,6.31,125,4.83,4,6,1217.8,1250,,,,,,,
DENSELY,DENSE,LY,FORD,S,7,655,6.48,43,3.76,5,7,,,,,,,,,
NEATLY,NEAT,LY,FORD,S,3,924,6.83,365,5.90,4,6,2047,1586,,,,,,,
GUILTY,GUILT,LY,RastleFiller,S,7,1576,7.36,865,6.76,5,6,663.6,684,,,,,,,
HUGELY,HUGE,LY,FORD,S,3,1918,7.56,50,3.91,4,6,,,,,,,,,
