SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,725,0,NW_S_COMP,203,1,MELTANCE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,meltance,melt,Complex,ance,Crepaldi,5,429,6.06,S,S,4,8,1,Small
S101,664,0,NW_S_COMP,203,2,HAPPENANCE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,happenance,happen,Complex,ance,Crepaldi,3,6982,8.85,S,L,6,10,1,Small
S101,736,1,NW_S_COMP,203,3,LIDARY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,lidary,lid,Complex,ary,Crepaldi,3,523,6.26,S,S,3,6,1,Small
S101,775,1,NW_S_COMP,203,4,FIGER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,figer,fig,Complex,er,Crepaldi,3,196,5.28,S,S,3,5,1,Small
S101,992,0,NW_S_COMP,203,5,BEERER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,beerer,beer,Complex,er,Crepaldi,2,853,6.75,S,L,4,6,1,Small
S101,789,1,NW_S_COMP,203,6,FANFUL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,fanful,fan,Complex,ful,Crepaldi,4,473,6.16,S,S,3,6,1,Small
S101,990,0,NW_S_COMP,203,7,ALTARIC,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,altaric,altar,Complex,ic,Crepaldi,2,403,6,S,S,5,7,1,Small
S101,671,1,NW_S_COMP,203,8,ANTISM,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,antism,ant,Complex,ish,Crepaldi,1,206,5.33,S,S,3,6,1,Small
S101,989,0,NW_S_COMP,203,9,ARIDISM,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,aridism,arid,Complex,ish,Crepaldi,3,100,4.61,S,S,4,7,1,Small
S101,870,1,NW_S_COMP,203,10,ELMIST,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,elmist,elm,Complex,ist,Crepaldi,2,175,5.16,S,S,3,6,1,Small
